Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic
CH_ZQ_T1_OM_ANNA25A_A,13-Mar-23,100,99.83,0.19,9837.99,223.66,100,0,8.65,,0,100,100,92.31,,0.37,0.22,5.7484,6.44
,14-Mar-23,99.87,99.93,0.15,1667.85,820.57,99.45,0,5.94,,0,96.14,100,83.33,100,0.22,0.23,5.56,8.04
,15-Mar-23,99.85,99.81,0.17,4226.48,919.42,99.54,0,5.95,,1.56,100,100,90,,0.26,0.07,6.8081,4.03
,16-Mar-23,99.79,100,0,7558.06,500.41,100,0,8.16,,0,100,100,89.74,100,0.57,0.22,6.3487,3.9
,17-Mar-23,100,100,0,11121.22,661.05,100,0,7.34,,0,100,100,100,,0.1,0.13,5.8835,5.87
CH_ZQ_T1_OM_ANNA25B_B,13-Mar-23,99.88,99.94,0.02,5929.82,410.85,100,0,8.54,,0,99.65,100,100,,0.01,0.02,21.5119,0.74
,14-Mar-23,99.89,99.98,0.04,5245.39,665.87,99.86,0,8.55,,0,99.84,100,100,,0.15,0.09,23.0059,0.5
,15-Mar-23,99.94,99.98,0.03,5661.64,828,100,0,8.53,,10,99.85,100,100,,0.88,0.28,26.612,0.51
,16-Mar-23,100,99.96,0.02,5862.21,733.56,100,0,8.68,,0,99.85,100,100,,0.03,0.01,27.7154,0.7
,17-Mar-23,99.92,99.95,0.01,5779.44,795.74,100,0,8.62,,0,100,100,100,,0.01,0,26.5528,0.87
