Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic
CH_E_F1_IM_BELLSC_C,16-Mar-23,98.61,99.17,1.09,9120.85,381.18,98.77,100,8.31,-109.14,0,80.19,99.26,99.76,,0.37,0.38,27.4976,132.98
,17-Mar-23,98.69,96.28,1.35,12990.19,362.83,97.94,100,8.15,-109.13,0.29,84.56,100,99.73,,0.24,0.39,22.906,109.92
,18-Mar-23,96.41,98.38,1.03,12810.48,392.79,99.44,100,8.32,-109.22,0.25,84.41,100,99.55,,0.17,0.26,30.8356,119.82
,19-Mar-23,98.29,97.32,1.2,8244.51,144.15,96.83,100,8.18,-109.37,0.36,92.98,100,99.7,,0.22,0.71,22.4692,94.54
,20-Mar-23,97.88,96.73,1.25,6647.94,88.39,97.47,100,8.26,-107.89,0,89.03,100,98.89,,0.14,0.3,19.3323,129.19
CH_E_F3_IM_BELLSC_C,16-Mar-23,99.78,99.82,0.89,16217.18,186.77,96.8,100,8.41,-91.11,2.27,99.18,100,99.38,,44.18,1.98,16.0121,10.86
,17-Mar-23,100,99.48,0.36,22795.1,1314.49,95.42,100,9.01,-92.7,0,100,100,99.17,,44.25,0.44,23.7008,8.54
,18-Mar-23,100,99.95,0.23,31132.74,192.59,93.86,100,8.52,-95.99,1.92,97.45,100,100,,1.76,0.26,31.2311,9.26
,19-Mar-23,100,99.93,0.37,18277.47,217.07,97.28,100,8.97,-96.72,5.88,99.6,100,99.21,,0.29,0.14,24.1075,6.48
,20-Mar-23,100,99.97,0.09,17726.77,356.14,94.41,100,8.75,-97.13,6.67,95.62,100,98.05,,0.69,0.3,22.0616,8.85
