"Short name",,"MV_RRC Setup Success Rate [CDBH]","MV_ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","MV_E-UTRAN Average CQI [CDBH]","UL RSSI PUCCH","MV_VoLTE DCR [CBBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","MV_4G Data Volume_GB","MV_VoLTE Traffic","MV_Average number of used DL PRBs [CDBH]","UL RSSI PUCCH","CSFB Redirection Success Rate [CDBH]"
"CH_E_T1_IM_MATHU5C_C","19 Apr 23",99.87,99.94,0.06,7812.22,207.38,99.44,0.00,8.16,,0.00,100.00,100.00,100.00,,0.07,0.00,17.5545,0.28,52.09,-89.29,0.00
,"20 Apr 23",100.00,99.93,0.00,3173.05,444.29,99.78,0.00,8.28,,0.00,100.00,99.17,100.00,100.00,0.03,0.04,28.8526,0.47,79.15,-100.23,0.00
,"21 Apr 23",99.98,99.95,0.02,4727.70,673.01,100.00,0.00,8.47,,0.00,100.00,100.00,100.00,,0.03,0.00,30.7469,0.39,66.06,-108.66,0.00
,"22 Apr 23",99.94,99.90,0.03,5436.75,599.21,100.00,0.00,8.42,,0.00,98.40,100.00,100.00,,0.26,0.39,19.9839,0.23,54.18,-107.05,0.00
,"23 Apr 23",100.00,99.96,0.07,3587.24,443.92,100.00,,8.13,,0.00,100.00,100.00,,,0.00,0.00,23.7994,0.23,79.78,-113.19,
"CH_E_T1_IM_PATT27B_B","19 Apr 23",99.91,99.75,0.03,5984.35,513.82,100.00,0.00,8.65,,0.00,100.00,100.00,100.00,,0.03,0.09,38.0730,2.03,61.14,-104.58,0.00
,"20 Apr 23",99.90,99.96,0.02,4217.60,233.54,100.00,0.00,9.01,,0.00,99.83,100.00,100.00,,0.00,0.17,40.4834,2.60,80.01,-109.60,0.00
,"21 Apr 23",99.93,99.79,0.00,4249.72,440.19,98.76,0.00,8.23,,0.00,99.86,100.00,100.00,,0.04,0.01,38.6022,1.57,82.25,-113.29,0.00
,"22 Apr 23",99.93,99.96,0.02,3559.74,424.55,100.00,0.00,8.66,,0.00,99.86,100.00,100.00,,0.05,0.01,33.0566,1.03,73.13,-113.68,0.00
,"23 Apr 23",99.87,99.89,0.00,4767.24,554.23,99.29,0.00,8.58,,0.00,99.64,100.00,,,0.01,0.01,41.1698,3.49,57.45,-116.16,0.00
"CH_E_T1_IM_PERUN3A_A","19 Apr 23",99.98,99.96,0.00,2620.95,476.44,99.88,0.00,8.30,,0.00,99.57,100.00,100.00,100.00,0.29,0.07,26.9958,0.97,75.59,-107.68,0.00
,"20 Apr 23",99.95,99.88,0.02,2655.55,695.25,99.77,0.00,8.01,,0.00,99.76,100.00,100.00,100.00,0.17,3.57,23.5791,0.95,76.65,-110.69,0.00
,"21 Apr 23",99.97,99.98,0.01,2538.17,799.39,99.79,0.00,8.07,,0.00,99.77,100.00,100.00,100.00,0.03,0.19,22.5042,1.00,73.44,-112.88,0.00
,"22 Apr 23",99.92,99.75,0.00,6040.37,886.72,99.78,0.00,8.38,,0.00,100.00,100.00,100.00,100.00,0.45,0.03,13.4076,0.56,48.14,-114.38,0.00
,"23 Apr 23",99.85,99.83,0.00,4312.24,1371.09,99.75,0.00,7.76,,0.00,98.84,100.00,100.00,,0.00,0.10,8.7400,0.24,35.27,-115.80,0.00
"CH_E_T1_IM_SWELL2A_A","19 Apr 23",99.29,99.65,0.06,7853.80,98.07,100.00,0.00,8.81,,0.00,90.37,100.00,100.00,,0.57,0.17,34.4113,0.49,57.62,-97.68,0.00
,"20 Apr 23",99.75,99.92,0.05,6628.58,189.25,100.00,0.00,9.34,,0.00,86.81,99.07,100.00,100.00,0.20,1.15,27.1105,0.43,60.64,-102.25,0.00
