Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH],PS handover success rate_Nom [LTE Intra System] [CDBH],PS handover success rate_Denom [LTE Intra System] [CDBH],PS handover success rate_Nom [LTE Inter System] [CDBH],PS handover success rate_Denom [LTE Inter System] [CDBH],VoLTE DCR_Nom [CBBH],PS Drop Call Rate_Nom [CDBH],VoLTE ERAB Setup Success Rate_NOM [CBBH],VoLTE ERAB Setup Success Rate_Denom [CBBH],VoLTE IntraF HOSR Exec_Nom [CBBH],VoLTE IntraF HOSR Exec_Denom [CBBH],VoLTE InterF HOSR Exec_Nom [CBBH],VoLTE InterF HOSR Exec_Denom [CBBH],VoLTE DCR_Denom [CBBH],PS Drop Call Rate_Denom [CDBH]
CH_E_T1_OM_BELLS6A_A,24-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27-Apr-23,100,99.23,0.2,12325.11,1438.78,95.65,,9.13,-118.1,0,100,100,100,100,0.14,14.89,3.1923,0.07,16.85,,,2024,2116,1369,1369,0,1,7,7,4,4,,4,2,496
,28-Apr-23,99.86,99.52,0.56,9452.17,565.26,99.17,,9.25,-117.78,0,87.06,100,100,100,0.81,6.63,13.486,0.17,46.56,,,14280,14400,6438,7395,0,8,24,24,10,10,,20,2,1430
CH_E_T1_OM_BELLS6A_L,24-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27-Apr-23,100,100,0.62,11058.19,403.98,100,,9.77,-118.31,,104.76,100,100,100,0.13,0,0.9632,0.02,18.09,,,900,900,484,462,0,1,3,3,2,2,,1,0,160
,28-Apr-23,100,99.86,0.76,14957.99,57.07,98.9,,8.83,-117.25,0,92.87,100,100,100,1.59,0.14,5.3596,0.1,22.95,,,8190,8281,4664,5022,0,5,16,16,6,6,,14,5,658
