Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH]
CH_E_F1_OM_ASHO23A_A,24-Mar-23,100,100,0.08,5351.31,544.58,99.18,,9.1,-111.11,0,100,100,100,,0.02,0.07,62.9328,110.65,82.82,,
,25-Mar-23,100,99.81,0.05,5539.43,2153.02,99.72,100,8.7,-111.02,0.29,100,100,100,,0.06,0.05,66.0464,105.18,78.99,,
,26-Mar-23,100,99.57,0.11,8415.15,632.1,100,100,9.55,-112.81,0,93.33,100,100,,0.02,0.02,62.8549,95.63,62.81,,
,27-Mar-23,99.83,99.81,0.09,5230.71,949.73,99.36,100,8.5,-112.4,0,100,100,99.73,,0.04,0.06,68.5995,132.13,79.39,,
,28-Mar-23,99.86,100,0.04,6087.38,449.78,99.76,100,8.66,-112.02,0,98.51,100,100,,0.02,0.05,63.3045,105.67,71.18,,
CH_E_F1_OM_ASHO23B_B,24-Mar-23,99.27,98.62,0.5,3656.27,227.08,99.18,100,7.05,-108.5,0.37,97.73,100,99.45,,0.09,0.07,52.5021,85.44,79.36,,
,25-Mar-23,99,98.14,0.26,6117.19,240.96,98.23,100,7.97,-108.49,0.36,98.32,98.58,98.63,,0.23,0.23,51.4669,88.65,70.29,,
,26-Mar-23,99.83,99.01,0.06,3972.9,194.45,98.46,100,7.71,-109.6,0,98.58,100,100,,0.08,0.07,63.5305,76.92,86.32,,
,27-Mar-23,99.7,99.23,0.17,2947.81,189.43,99.82,100,7.6,-109.47,0,97.96,100,99.52,,0.08,0.13,61.0407,94.23,80.75,,
,28-Mar-23,99.52,98.06,0.29,3334.45,194.43,99.79,100,7.4,-108.93,0,99.42,100,100,,0.09,0.15,53.8669,86.87,80.26,,
CH_E_F1_OM_ASHO23C_C,24-Mar-23,99.76,99.85,0.04,8051.06,528.69,99.79,100,7.77,-112.26,0,98.59,100,100,,0.03,0.03,33.7814,64.99,54.91,,
,25-Mar-23,99.42,99.67,0.12,12304.7,885.53,99.79,100,8.87,-112.76,0,98.77,100,100,,0.03,0.03,32.1784,54.46,41.22,,
,26-Mar-23,100,99.81,0,8187.63,468.22,100,100,8.54,-114.53,0,100,100,100,,0.04,0.05,38.718,44.38,53.09,,
,27-Mar-23,99.9,99.83,0.13,8180.23,154,99.73,100,7.85,-114.11,0,98.41,100,100,,0.03,0.03,33.5477,58.51,46.16,,
,28-Mar-23,99.9,98.79,0.16,7190.95,705.05,99.65,100,8.04,-113.88,0,100,100,100,,0.03,0.03,31.6183,60.1,52.93,,
CH_E_F1_OM_BESA12A_A,24-Mar-23,99.87,99.54,0.06,3808.5,368.21,100,100,9.2,-113.57,0,100,100,100,100,0.02,0.02,87.8899,142.61,87.22,,
,25-Mar-23,99.8,99.54,0.19,3697.87,399,99.53,100,8.91,-113.8,0,99.83,100,98.1,100,0.03,0.03,92.0231,132.28,90.11,,
,26-Mar-23,99.79,99.61,0.24,3661.84,356.17,100,100,9.02,-114.02,0,99.84,100,99.55,99.09,0.05,0.08,93.6497,118.26,88.18,,
,27-Mar-23,99.89,99.72,0.02,5508.7,615.86,100,,9.7,-115.19,0,99.68,100,100,99.3,0.04,0.05,67.4553,90.67,72.33,,
,28-Mar-23,99.59,99.44,0.17,6496.09,398.53,99.15,100,9.98,-116.81,0,99.73,99,100,100,0.03,0.04,49.3408,61.81,65.47,,
CH_E_F1_OM_BESA12A_A,24-Mar-23,,,,,,,,,,,,,,,,,,,,,
,25-Mar-23,,,,,,,,,,,,,,,,,,,,,
,26-Mar-23,,,,,,,,,,,,,,,,,,,,,
,27-Mar-23,,,,,,,,,,,,,,,,,,,,,
,28-Mar-23,99.69,99.31,0.38,3638.4,504.54,99.82,100,9.38,-113.48,0.73,99.57,100,99.25,100,0.02,0.17,38.3998,24.62,88,,
CH_E_F1_OM_BESA12B_B,24-Mar-23,99.76,99.4,0.13,3666.1,316.28,99.31,100,8.6,-113.12,0,100,100,100,100,0.02,0.03,73.2245,120.87,86.87,,
,25-Mar-23,100,99.84,0,7344.87,648.17,100,100,9.03,-113.61,0,100,100,100,100,0.02,0.03,73.4562,113.08,69.1,,
,26-Mar-23,99.91,100,0.02,6213.2,326,100,,9.3,-114.42,0,100,100,100,98.36,0.02,0.07,84.8087,98.34,72.5,,
,27-Mar-23,99.82,99.92,0.13,6707.94,467.02,99.66,100,9.48,-113.11,0.38,99.01,100,100,100,0.03,0.03,55.0392,95.08,69.79,,
,28-Mar-23,99.78,99.78,0.26,8666.37,393.4,99.6,100,9.4,-115.76,0,98.87,100,100,100,0.02,0.04,52.7393,74.44,63.52,,
CH_E_F1_OM_BESA12B_B,24-Mar-23,,,,,,,,,,,,,,,,,,,,,
,25-Mar-23,,,,,,,,,,,,,,,,,,,,,
,26-Mar-23,,,,,,,,,,,,,,,,,,,,,
,27-Mar-23,,,,,,,,,,,,,,,,,,,,,
,28-Mar-23,99.9,99.35,0.12,2080.39,368.08,99.82,100,9.92,-112.27,0,98.42,100,100,100,0.06,0.05,48.5239,38.06,97.17,,
CH_E_F1_OM_BESA12C_C,24-Mar-23,99.45,99.64,0.35,10073.87,329.93,98.49,,8.78,-115.5,0,98.89,100,100,100,0.06,0.02,35.0366,47.06,45.07,,
,25-Mar-23,99.31,99.94,0.14,15501.1,841.14,98.81,100,9.41,-115.7,0,100,100,99.17,100,0.08,0.08,33.1478,54.53,30.42,,
,26-Mar-23,99.29,99.43,0.14,18013.77,855.63,98.38,100,10.01,-116.31,0,100,100,100,100,0.29,0.28,26.5187,40.96,29.37,,
,27-Mar-23,99.29,99.5,0.19,21814.59,648.38,99.12,100,10.02,-115.77,0,98.97,100,99.21,100,0.08,0.03,18.4525,38.26,24.09,,
,28-Mar-23,99.59,99.51,0.15,10958.06,437.19,99.59,100,9.38,-116.99,0,100,100,98.9,100,0.14,0.43,12.9126,27.66,25.62,,
CH_E_F1_OM_BESA12C_C,24-Mar-23,,,,,,,,,,,,,,,,,,,,,
,25-Mar-23,,,,,,,,,,,,,,,,,,,,,
,26-Mar-23,,,,,,,,,,,,,,,,,,,,,
,27-Mar-23,,,,,,,,,,,,,,,,,,,,,
,28-Mar-23,99.59,99.12,0.14,14318.66,630.49,100,100,9.54,-115.42,0,100,100,100,100,0.04,0.03,9.5989,11.66,26.24,,
CH_E_F1_OM_BHAR19A_A,24-Mar-23,99.67,99.49,0,12054.98,208.54,99.07,,7.77,-110.54,0.81,98.04,100,98.99,100,0.22,0.12,20.0708,33.58,25.15,,
,25-Mar-23,99.85,99.42,0.19,5550.65,757.08,99.11,,7.59,-110.45,0,100,100,99.06,100,0.12,0.09,22.1043,35.4,55.7,,
,26-Mar-23,99.78,99.86,0.2,7218.58,308,98.62,100,8.05,-110.94,0,99.5,100,99.67,100,0.18,0.07,22.1606,25.55,42.61,,
,27-Mar-23,99.83,99.15,0.08,6895.57,412.77,98.76,100,7.5,-110.58,0,98.87,100,98.11,100,0.14,0.06,21.4842,28.7,41.07,,
,28-Mar-23,99.58,98.65,0.21,6722.25,258.68,98.79,100,7.57,-110.49,0,100,100,99.11,100,0.19,0.09,20.9525,32.2,42.54,,
CH_E_F1_OM_BHAR19B_B,24-Mar-23,100,100,0.05,6851.81,975.99,99.82,100,7.91,-114.6,0,99.15,100,99.63,100,0.07,0.15,39.8181,58.03,47.88,,
,25-Mar-23,100,100,0,6967.1,550.59,99.29,100,8.05,-113.71,0,100,100,100,100,0.02,0.04,34.9414,50.09,46.98,,
,26-Mar-23,100,100,0,7901.99,1884.23,99.38,,7.37,-113.96,0,97.5,100,100,100,0.03,0.05,40.9172,41.94,52.46,,
,27-Mar-23,100,100,0,6386.15,452.26,100,,8.25,-113.86,0,100,100,100,100,0.02,0.02,35.3831,58.72,54.44,,
,28-Mar-23,99.88,99.53,0.1,13697.38,1451.41,100,100,9.16,-113.95,0,100,100,100,100,0.03,0.03,32.5095,59.53,33.58,,
CH_E_F1_OM_BHAR19D_D,24-Mar-23,99.86,99.84,0.08,6325.77,477.96,99.47,100,9.13,-114.56,0,99.58,99.6,99.76,100,0.03,0.12,72.9291,150.29,74.21,,
,25-Mar-23,99.95,99.8,0.08,7376.83,310.81,99.89,100,9.42,-113.73,0.27,99.78,100,100,100,0.05,0.09,71.6191,135.32,65.2,,
,26-Mar-23,99.83,99.51,0.12,9032.23,306.66,99.83,100,8.97,-114.15,0,99.12,100,99.72,100,0.04,0.1,52.7515,102.64,50.74,,
,27-Mar-23,99.86,99.84,0.18,5627.08,446.15,99.17,100,8.77,-113.55,0,98.31,100,100,100,0.03,0.05,68.809,122.16,79.14,,
,28-Mar-23,99.96,99.39,0.06,7957.45,2675.32,99.78,100,9.19,-114.38,0,99.4,100,98.1,98.28,0.04,0.06,64.7991,134.12,50.86,,
CH_E_F1_OM_CWM225A_A,24-Mar-23,99.89,99.76,0.09,5210.47,1033.21,99.67,100,8.53,-115.08,0,100,100,99.83,,0.06,0.05,50.9088,120.34,72.32,,
,25-Mar-23,99.88,99.87,0.08,11726.58,1528.09,99.39,100,9.41,-115.76,0,98.11,100,100,,0.03,0.04,53.5174,114.24,42.92,,
,26-Mar-23,99.87,100,0.11,11866.74,1256.8,99.43,100,9.44,-116.39,0,100,100,99.76,,0.03,0.06,61.3728,85.26,55.67,,
,27-Mar-23,99.73,99.69,0.12,9394.07,3654.66,99.76,100,8.44,-115.24,0.31,100,100,99.67,,0.06,0.07,49.7072,112.03,54.86,,
