"Short name",,"MV_RRC Setup Success Rate [CDBH]","MV_ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","MV_E-UTRAN Average CQI [CDBH]","UL RSSI PUCCH","MV_VoLTE DCR [CBBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","MV_4G Data Volume_GB","MV_VoLTE Traffic","MV_Average number of used DL PRBs [CDBH]","UL RSSI PUCCH","CSFB Redirection Success Rate [CDBH]"
"CH_E_T1_HS_HPSC0027A_A","10 Apr 23",99.83,99.22,0.22,11698.32,120.66,97.14,100.00,9.51,-112.76,16.67,97.56,100.00,100.00,100.00,1.21,0.14,2.4195,0.95,4.03,,
,"11 Apr 23",99.13,98.22,0.56,15476.04,40.32,88.89,,10.10,-106.45,0.00,93.68,100.00,100.00,100.00,0.51,0.01,4.9714,1.32,12.20,,
,"12 Apr 23",99.40,98.12,0.24,14985.35,44.75,87.50,100.00,10.34,-105.22,0.00,96.55,100.00,100.00,89.36,0.97,0.40,5.6605,0.74,12.45,,
,"13 Apr 23",99.15,98.76,0.92,12042.05,52.01,97.50,100.00,10.06,-103.93,0.00,97.12,100.00,100.00,100.00,0.66,0.15,5.8421,0.70,15.54,,
,"14 Apr 23",99.91,98.80,0.43,16293.91,83.48,100.00,100.00,9.16,,0.00,99.13,100.00,100.00,100.00,1.30,8.96,,,10.49,,
"CH_E_T1_HS_HPSC0027B_B","10 Apr 23",100.00,98.31,0.00,16240.93,162.91,100.00,100.00,9.05,-116.15,0.00,97.92,100.00,,100.00,10.10,0.00,0.3756,0.13,2.26,,
,"11 Apr 23",100.00,99.78,0.00,9672.15,148.89,100.00,100.00,7.65,-110.78,0.00,92.39,100.00,,100.00,0.30,0.00,0.4651,0.10,2.78,,
,"12 Apr 23",100.00,98.38,1.56,4647.91,72.84,100.00,100.00,7.43,-107.95,0.00,91.92,100.00,,93.75,1.17,0.07,0.7571,0.12,7.19,,
,"13 Apr 23",100.00,95.61,2.93,11312.69,121.36,100.00,100.00,7.92,-106.53,0.00,79.82,100.00,,100.00,0.22,0.00,1.0489,0.10,8.40,,
,"14 Apr 23",100.00,100.00,0.00,9400.25,117.23,100.00,,9.30,,0.00,98.21,100.00,100.00,100.00,0.07,0.08,,,4.14,,
"CH_E_T1_HS_HPSC0027C_C","10 Apr 23",100.00,99.42,0.42,5335.28,1023.26,66.67,,8.11,-116.58,0.00,100.00,100.00,100.00,100.00,0.45,0.60,2.2492,1.01,4.50,,
,"11 Apr 23",99.59,92.26,20.14,8339.80,19.53,96.67,100.00,8.49,-111.53,,98.12,100.00,100.00,100.00,0.07,0.00,1.5524,1.96,7.61,,
,"12 Apr 23",100.00,99.70,0.10,5688.55,424.20,100.00,100.00,8.22,-110.88,0.00,100.00,100.00,,100.00,0.76,0.07,1.5105,0.85,7.78,,
,"13 Apr 23",100.00,98.86,0.00,4936.57,458.07,100.00,100.00,7.52,-110.36,0.00,98.68,100.00,100.00,100.00,0.07,0.02,1.7243,1.30,10.62,,
,"14 Apr 23",99.82,99.90,0.06,7905.24,99.72,81.82,100.00,8.71,,0.00,100.00,100.00,,96.77,0.44,0.00,,,9.86,,
"CH_E_T1_HS_HPSC0079A_A","10 Apr 23",99.78,99.55,0.25,7702.32,439.02,99.56,0.00,9.88,-110.92,0.00,99.56,100.00,100.00,100.00,0.40,0.49,40.0163,2.18,68.62,,
,"11 Apr 23",99.80,99.60,0.23,7374.35,218.50,99.33,0.00,10.40,-107.83,0.00,99.71,99.48,100.00,93.46,4.45,1.30,30.7242,1.43,57.64,,
,"12 Apr 23",99.57,99.49,0.33,3987.13,169.33,98.59,0.00,9.93,-109.01,0.00,100.00,99.32,100.00,100.00,0.44,0.37,37.3211,1.46,83.18,,
,"13 Apr 23",99.76,99.36,0.24,4249.81,254.79,99.31,0.00,9.75,-107.92,0.00,100.00,100.00,100.00,99.73,1.50,0.46,38.7245,2.26,79.38,,
,"14 Apr 23",99.87,99.71,0.14,7029.15,518.20,99.32,0.00,9.58,,0.00,100.00,100.00,100.00,100.00,0.65,2.08,,,64.97,,
"CH_E_T1_HS_HPSC0079B_B","10 Apr 23",98.53,98.07,0.73,2904.42,562.91,96.89,0.00,5.36,-114.83,0.00,98.16,100.00,100.00,100.00,5.70,1.42,4.1242,0.30,40.76,,
,"11 Apr 23",97.02,97.72,0.39,2799.18,69.16,98.40,0.00,5.96,-113.63,,110.29,100.00,,100.00,6.02,1.54,3.7843,0.24,36.25,,
,"12 Apr 23",98.36,98.57,0.88,2815.70,425.03,94.82,0.00,5.62,-113.29,0.00,100.00,100.00,,97.06,6.48,13.62,4.3667,0.24,40.70,,
,"13 Apr 23",96.30,96.07,0.78,4013.00,294.21,93.95,0.00,6.28,-113.11,0.00,100.00,100.00,,97.83,4.08,12.76,3.8072,0.25,30.48,,
,"14 Apr 23",99.19,98.88,0.38,2560.02,1084.49,94.12,0.00,5.22,,,100.00,100.00,,100.00,13.70,9.40,,,30.37,,
