"Short name",,"MV_RRC Setup Success Rate [CDBH]","MV_ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","MV_E-UTRAN Average CQI [CDBH]","UL RSSI PUCCH","MV_VoLTE DCR [CBBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","MV_4G Data Volume_GB","MV_VoLTE Traffic","MV_Average number of used DL PRBs [CDBH]","UL RSSI PUCCH","CSFB Redirection Success Rate [CDBH]"
"CH_E_T1_HS_HPSC0027A_A","27 Mar 23",99.91,99.89,0.06,7232.69,224.67,98.39,100.00,8.67,-116.09,0.00,97.30,100.00,100.00,94.87,0.39,0.08,2.6499,0.95,8.08,,
,"28 Mar 23",99.62,99.67,0.10,7391.95,337.52,91.67,,9.82,-117.05,0.00,97.60,100.00,100.00,100.00,0.14,0.07,2.9367,1.68,10.27,,
,"29 Mar 23",100.00,98.75,0.74,8893.13,97.70,88.24,100.00,9.44,-116.18,0.00,96.52,96.97,,100.00,0.06,0.00,2.8793,1.44,5.82,,
,"30 Mar 23",100.00,99.83,0.07,9939.15,113.93,94.12,100.00,9.68,-116.12,0.00,98.96,100.00,,92.31,0.07,0.00,3.3529,2.13,8.11,,
,"31 Mar 23",99.77,97.99,3.32,6964.96,92.83,97.22,100.00,9.90,-114.08,0.00,99.22,100.00,100.00,75.56,2.07,0.05,4.4514,0.61,22.82,,
"CH_E_T1_HS_HPSC0027B_B","27 Mar 23",100.00,100.00,0.00,6684.83,241.59,100.00,100.00,8.30,-117.50,0.00,98.33,100.00,,100.00,3.32,0.09,0.5186,0.10,6.14,,
,"28 Mar 23",99.66,99.61,0.00,7960.05,115.48,100.00,100.00,8.78,-117.85,0.00,100.00,100.00,,100.00,0.18,0.00,0.4709,0.20,2.85,,
,"29 Mar 23",100.00,98.91,0.00,8005.59,124.19,100.00,,9.09,-116.81,0.00,100.00,100.00,,100.00,0.05,0.04,0.5151,0.16,2.86,,
,"30 Mar 23",100.00,96.28,0.65,3222.45,309.86,100.00,100.00,6.43,-117.35,0.00,102.38,100.00,,100.00,6.03,0.33,0.9702,0.17,8.71,,
,"31 Mar 23",100.00,94.76,0.27,10714.74,169.66,100.00,,9.87,-115.26,0.00,98.61,96.30,,100.00,0.47,0.04,0.9911,1.15,3.95,,
