Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH],PS handover success rate_Nom [LTE Intra System] [CDBH],PS handover success rate_Denom [LTE Intra System] [CDBH],PS handover success rate_Nom [LTE Inter System] [CDBH],PS handover success rate_Denom [LTE Inter System] [CDBH],VoLTE DCR_Nom [CBBH],PS Drop Call Rate_Nom [CDBH],VoLTE ERAB Setup Success Rate_NOM [CBBH],VoLTE ERAB Setup Success Rate_Denom [CBBH],VoLTE IntraF HOSR Exec_Nom [CBBH],VoLTE IntraF HOSR Exec_Denom [CBBH],VoLTE InterF HOSR Exec_Nom [CBBH],VoLTE InterF HOSR Exec_Denom [CBBH],VoLTE DCR_Denom [CBBH],PS Drop Call Rate_Denom [CDBH]
CH_E_T1_HS_HPSC0027A_A,24-Apr-23,99.73,99.55,0.29,11326.1,987.11,96.67,100,9.85,-117.24,,99.52,100,100,100,0.74,0.42,6.9011,0.67,11.88,,,870,900,43056,43264,0,4,2,2,1,1,,1,0,1375
,25-Apr-23,99.42,97.97,0.71,10578.52,169.29,96.83,100,9.87,-117.1,0,100.75,100,100,100,5.88,6.4,4.9221,0.61,9.39,,,3843,3969,17956,17822,0,10,6,6,2,2,,7,4,1401
,26-Apr-23,100,98.76,2.57,9550.5,252.71,100,100,9.27,-116.52,0,121.62,100,100,100,1.35,1.21,3.5149,0.44,9.7,,,36,36,2070,1702,0,38,38,38,3,3,,35,3,1478
,27-Apr-23,99.84,98.38,3.58,4784.61,799.38,80,100,7.92,-116.77,33.33,98.18,100,100,100,12.31,2.33,4.1209,0.51,20.14,,,320,400,2970,3025,1,32,29,29,6,6,,24,3,894
,28-Apr-23,100,99.54,0.07,9197.61,603.91,100,100,9.1,-116.25,0,100,100,100,100,5.56,5.73,3.8264,0.54,10.63,,,961,961,16641,16641,0,1,39,39,4,4,,31,5,1495
CH_E_T1_HS_HPSC0027B_B,24-Apr-23,100,99.31,2.16,11694.76,38.22,90.91,,10.55,-118.29,0,128.57,100,,100,0.17,0.19,0.9269,0.08,4.85,,,110,121,1296,1008,0,5,9,9,0,0,,8,1,231
,25-Apr-23,100,99.73,0.15,4498.89,467.3,0,100,6.81,-118.3,0,100,100,100,100,4.15,2.26,1.3644,0.1,11.1,,,0,1,2809,2809,0,1,11,11,6,6,,3,2,650
,26-Apr-23,99.73,99.68,0,12010.11,280.25,100,,10.78,-117.56,0,300,100,,100,0.05,0.13,0.8766,0.1,3.17,,,16,16,144,48,0,0,5,5,0,0,,5,2,604
,27-Apr-23,100,100,0,9793.67,438.3,100,100,9.88,-118.15,0,107.14,100,100,100,1.65,0.1,4.4823,0.17,20.23,,,16,16,225,210,0,0,14,14,4,4,,11,1,859
,28-Apr-23,99.08,98.88,0.41,10040.72,118.99,100,100,9.92,-117.73,0,98.57,100,,100,0.08,0.07,0.6602,0.31,4.44,,,4,4,4899,4970,0,1,14,14,0,0,,10,5,241
CH_E_T1_HS_HPSC0027C_C,24-Apr-23,100,99.54,0.22,4462.13,380.44,100,100,7.84,-117.99,0,99.01,100,,100,0.23,0.05,3.7,0.57,23.86,,,729,729,40803,41209,0,2,25,25,0,0,,24,2,903
,25-Apr-23,100,99.93,0,2809.04,183.6,96.77,100,6.87,-117.88,0,100,100,100,100,0.28,0.09,3.7171,0.45,25.1,,,930,961,21904,21904,0,0,36,36,11,11,,18,10,1168
,26-Apr-23,99.73,99.42,0.39,4162.11,181.63,80,100,7.57,-117.82,0,100,100,100,100,0.79,1.18,4.1762,0.62,24.2,,,180,225,4096,4096,0,4,50,50,2,2,,42,12,1015
,27-Apr-23,100,99.73,0.35,5267.56,315,100,100,7.96,-117.68,0,99.25,100,,100,0.29,0.04,3.737,0.78,18.8,,,841,841,17688,17822,0,3,15,15,0,0,,13,2,856
,28-Apr-23,100,100,0,5341.21,247.02,100,,6.5,-117.16,0,100,100,100,100,0.12,0.43,4.4903,1.49,21.33,,,289,289,10609,10609,0,0,50,50,3,3,,44,5,768
CH_E_T1_HS_HPSC0079A_A,24-Apr-23,99.88,99.87,0.11,7815.98,869.16,99.49,0,9.86,-113.47,0,99.76,99.38,90.91,99.69,2.05,2.04,42.6527,2.29,62.96,,,346330,348100,171810,172225,0,9,322,324,10,11,,327,12,8054
,25-Apr-23,99.86,99.61,0.1,6203.48,725.63,99.36,0,9.58,-114.07,0,100,100,93.75,100,1.47,3.23,32.5638,1.42,71.53,,,391244,393756,132860,132860,0,7,194,194,15,16,,190,13,6943
