"Short name",,"4G_ECGI","Radio NW Availability","E-UTRAN Average CQI [CDBH]","UL User Throughput_Kbps [CDBH]","VoLTE Traffic_24Hrs","UL PUCCH SINR [CDBH]","Data Volume DL - Total [MB] [CDBH]","RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","VoLTE DCR_Nom [CBBH]","VoLTE DCR_Denom [CBBH]","VoLTE DCR [CBBH]","PS handover success rate [LTE Intra System] [CDBH]","VoLTE SRVCC SR_Nom [CBBH]","VoLTE SRVCC SR_Denom [CBBH]","VoLTE SRVCC SR [CBBH]","VoLTE ERAB Setup Success Rate [CBBH]","VoLTE SRVCC SR_Denom","VoLTE SRVCC SR","DL User Throughput_Kbps [CDBH]","Average number of used DL PRBs [CDBH]","Average UE Distance_KM [CDBH]","VoLTE Packet Loss DL [CBBH]","VoLTE Packet Loss UL [CBBH]","4G Data Volume_L1800 [GB]","4G Data Volume_L900 [GB]","MV_4G Data Volume_GB_TDD","4G Data Volume_L2100 [GB]","MV_4G Data Volume_GB","4G Data Volume [GB]","PS Drop Call Rate % [CDBH]"
"@Nokia-BIH10-PLMN-PLMN/MRBTS-820680/LNBTS-820680/LNCEL-11","11 Jan 23","405-52-820680-11",84.05,7.78,275.97,12.51,1.61,2238.50,98.98,98.89,0.00,33.00,0.00,97.80,0.00,0.00,,100.00,0.00,,7677.30,35.05,0.168,0.40,0.14,,,23.49,,23.4916,23.49,
,"12 Jan 23","405-52-820680-11",100.00,8.47,112.18,12.09,0.45,2350.31,100.00,98.09,0.00,26.00,0.00,97.74,0.00,0.00,,100.00,0.00,,8503.63,35.10,0.157,0.69,1.14,,,22.16,,22.1619,22.16,
,"13 Jan 23","405-52-820680-11",100.00,8.02,134.21,9.72,0.72,1750.79,99.72,99.69,0.00,18.00,0.00,97.97,0.00,0.00,,100.00,0.00,,7572.33,30.38,0.153,0.26,0.35,,,21.23,,21.2258,21.23,
,"14 Jan 23","405-52-820680-11",99.88,7.63,239.74,8.54,3.31,1974.50,99.26,90.20,0.00,39.00,0.00,99.39,0.00,0.00,,100.00,0.00,,6179.48,39.02,0.169,0.80,0.08,,,24.09,,24.0942,24.09,
,"15 Jan 23","405-52-820680-11",97.44,8.44,1234.68,8.67,3.36,1905.84,98.96,99.84,0.00,60.00,0.00,99.60,0.00,0.00,,100.00,0.00,,7867.78,35.90,0.161,0.68,0.17,,,25.19,,25.1888,25.19,
"@Nokia-BIH10-PLMN-PLMN/MRBTS-820680/LNBTS-820680/LNCEL-12","11 Jan 23","405-52-820680-12",84.06,8.07,421.46,8.69,3.17,1852.48,100.00,99.70,0.00,35.00,0.00,99.41,0.00,0.00,,100.00,0.00,,9277.24,27.10,0.150,0.19,0.06,,,20.82,,20.8173,20.82,
,"12 Jan 23","405-52-820680-12",100.00,8.41,131.92,11.20,0.51,1854.75,100.00,98.93,0.00,45.00,0.00,98.51,0.00,0.00,,99.12,0.00,,10561.73,25.25,0.127,0.44,0.46,,,26.06,,26.0648,26.06,
,"13 Jan 23","405-52-820680-12",100.00,8.21,158.23,10.62,0.40,2398.06,100.00,100.00,0.00,62.00,0.00,96.34,0.00,0.00,,100.00,0.00,,8657.27,35.92,0.132,0.16,0.17,,,28.14,,28.1426,28.14,
,"14 Jan 23","405-52-820680-12",99.88,7.41,437.83,7.80,2.78,1842.28,100.00,99.81,0.00,41.00,0.00,98.90,0.00,0.00,,100.00,0.00,,4425.92,46.52,0.141,0.26,0.19,,,25.82,,25.8193,25.82,
,"15 Jan 23","405-52-820680-12",97.44,7.95,317.69,7.69,2.87,1762.78,100.00,100.00,0.00,17.00,0.00,98.91,0.00,0.00,,100.00,0.00,,6048.61,37.92,0.128,0.15,0.03,,,24.43,,24.4343,24.43,
"@Nokia-BIH10-PLMN-PLMN/MRBTS-820680/LNBTS-820680/LNCEL-13","11 Jan 23","405-52-820680-13",84.05,8.25,314.80,4.58,1.73,1260.90,100.00,99.81,0.00,30.00,0.00,100.00,0.00,0.00,,100.00,0.00,,8165.13,22.57,0.130,0.24,0.08,,,13.90,,13.9021,13.90,
