"Short name",,"4G_ECGI","TA Sampls > 1.5 Km % [CDBH]","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","VoLTE InterF HOSR Exec_Denom [CBBH]","VoLTE InterF HOSR Exec_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE Packet Loss DL_NOM [CBBH]","VoLTE Packet Loss UL_NOM [CBBH]","MV_VoLTE IntraF HOSR Exec_Denom [CBBH]","MV_VoLTE IntraF HOSR Exec_Nom [CBBH]"
"HR_E_F3_OM_HADW36A_A","23 Feb 23","404-96-902936-1",25.03,100.00,100.00,0.00,3722.64,7616.90,8.99,99.60,95.92,100.00,0.00,33.26,100.00,0.00,0.27,0.11,,14.43,100.00,100.00,0.00,-119.75,14.1615,9.19,,,0.00,26.00,10.23,248.00,249.00,235.00,245.00,588.00,219.00,,
,"24 Feb 23","404-96-902936-1",16.43,100.00,100.00,0.35,2511.86,6806.18,8.47,98.18,87.90,0.00,0.00,43.45,100.00,0.00,0.09,0.10,,14.02,100.00,100.00,0.00,-119.67,14.2335,10.73,,,0.00,28.00,11.78,162.00,165.00,218.00,248.00,318.00,205.00,,
,"25 Feb 23","404-96-902936-1",19.00,100.00,100.00,0.41,2334.57,8278.98,9.15,98.22,59.64,0.00,0.00,45.04,100.00,0.00,0.21,0.57,,8.25,100.00,100.00,0.00,-119.74,16.8962,10.89,,,0.00,24.00,12.63,166.00,169.00,201.00,337.00,490.00,918.00,,
,"26 Feb 23","404-96-902936-1",21.88,100.00,100.00,0.11,2654.64,9752.23,9.04,97.25,96.75,0.00,0.00,33.31,100.00,0.00,0.03,0.05,,13.11,95.45,100.00,0.00,-119.76,17.8779,9.30,,,0.00,25.00,10.31,353.00,363.00,238.00,246.00,45.00,49.00,,
,"27 Feb 23","404-96-902936-1",28.07,100.00,99.69,0.18,,,8.18,98.67,97.38,0.00,0.00,47.37,100.00,9.09,0.27,0.13,,14.55,100.00,100.00,0.00,-119.74,9.8923,11.28,,,0.00,28.00,13.03,148.00,150.00,223.00,229.00,810.00,276.00,,
"HR_E_F3_OM_HADW36B_B","23 Feb 23","404-96-902936-2",43.56,100.00,100.00,1.14,3462.68,7184.93,7.58,98.70,90.61,0.00,0.00,26.33,100.00,0.00,0.06,0.10,,15.30,100.00,100.00,0.00,-119.24,3.5834,2.04,,,0.00,3.00,4.39,76.00,77.00,164.00,181.00,41.00,44.00,,
,"24 Feb 23","404-96-902936-2",35.98,100.00,100.00,0.00,2050.64,6447.69,7.17,99.17,95.09,0.00,0.00,13.75,100.00,50.00,0.00,0.06,,13.00,100.00,100.00,0.00,-119.35,2.3797,3.00,,,0.00,2.00,2.49,119.00,120.00,155.00,163.00,3.00,29.00,,
,"25 Feb 23","404-96-902936-2",44.06,98.28,100.00,0.00,2723.60,7866.27,7.89,100.00,99.13,0.00,0.00,18.97,100.00,0.00,0.12,0.21,,8.98,100.00,100.00,0.00,-119.45,3.3497,1.87,,,0.00,13.00,3.43,104.00,104.00,229.00,231.00,122.00,130.00,,
,"26 Feb 23","404-96-902936-2",38.58,100.00,100.00,0.60,2185.34,11338.33,8.26,100.00,98.96,0.00,0.00,11.36,100.00,0.00,0.03,0.14,,11.99,100.00,100.00,0.00,-119.28,2.0177,2.00,,,0.00,9.00,1.92,95.00,95.00,95.00,96.00,15.00,40.00,,
,"27 Feb 23","404-96-902936-2",,100.00,93.33,0.00,,,7.86,98.18,100.00,0.00,0.00,7.25,100.00,0.00,0.03,0.05,,12.23,100.00,100.00,0.00,-119.34,1.2153,2.53,,,0.00,6.00,3.49,54.00,55.00,39.00,39.00,9.00,13.00,,
