Short name,,2G CGI,SDCCH Blocking Rate [BBH],SDCCH Drop Call Rate [BBH],TCH Blocking Rate [BBH],TCH Drop Call Rate [BBH],Handover Success Rate [BBH],RX Quality [BBH],Total Voice Traffic,Handover Success Rate_Denom [BBH],Drop Call Rate_Nom [BBH],Drop Call Rate_Denom [BBH],Number of TRX [BBH],ICM%[BBH],Cell Downtime [sec] [BBH],TCH Utilization [BBH],Handover Success Rate_Nom [BBH]
ZTE-HAR4-ANDH39A,16-Feb-23,404-96-2540-46391,0,0,0,0,85.19,93.47,13.61,27,0,27,2,0.15,0,27.41,23
,17-Feb-23,404-96-2540-46391,0,0,0,0,66.67,92.32,12.12,3,0,31,2,0.06,0,28.11,2
,18-Feb-23,404-96-2540-46391,0,0,0,0,90.91,90.51,16.04,11,0,29,2,0.21,0,26.37,10
,19-Feb-23,404-96-2540-46391,0,0,0,0,88.89,90.76,13.88,27,0,45,2,0.53,0,24.52,24
,20-Feb-23,404-96-2540-46391,0,0,0,0,96.55,90.93,13.16,29,0,31,2,0.06,0,23.74,28
ZTE-HAR4-ANDH39B,16-Feb-23,404-96-2540-46392,0,0,0,1.67,83.78,96.49,14.67,37,1,29,2,0.18,0,34.56,31
,17-Feb-23,404-96-2540-46392,0,0,0,2.82,93.33,95.19,14.73,30,0,45,2,0.22,0,23.73,28
,18-Feb-23,404-96-2540-46392,0,0,0,1.15,94.12,94.78,12.52,34,0,28,2,0.12,0,18.95,32
,19-Feb-23,404-96-2540-46392,0,0,0,1.15,95.45,95.48,12.87,44,1,61,2,0.07,0,20.41,42
,20-Feb-23,404-96-2540-46392,0,0,0,0.55,100,96.42,11.11,56,0,35,2,0.12,0,23.55,56
ZTE-HAR4-ANDH39C,16-Feb-23,404-96-2540-46393,0,0,0,0,90.91,96.99,8.57,22,0,33,2,0,0,19.19,20
,17-Feb-23,404-96-2540-46393,0,0,0,0,87.5,96.23,11.85,56,0,24,2,0,0,27.59,49
,18-Feb-23,404-96-2540-46393,0,0,0,0,94.44,94.07,18.14,18,1,23,2,0.11,0,27.69,17
,19-Feb-23,404-96-2540-46393,0,0,0,1.45,95.95,94.38,16.5,74,0,46,2,0,0,24.93,71
,20-Feb-23,404-96-2540-46393,0,0,0,1.45,100,93.7,17.28,25,0,34,2,0,0,34.36,25
ZTE-HAR4-CHAR33A,16-Feb-23,404-96-2580-58331,0,0,0,0.78,95.92,98.12,17.73,98,1,33,2,0,0,29.13,94
,17-Feb-23,404-96-2580-58331,0,0,0,1.01,96.67,97.73,17.03,150,1,26,2,0.28,0,27.45,145
,18-Feb-23,404-96-2580-58331,0,0,0,2.29,95.28,97.7,14.88,127,0,31,2,0.11,0,25.61,121
,19-Feb-23,404-96-2580-58331,0,0,0,2.29,98.33,97.04,20.66,120,0,50,2,0.06,0,28.88,118
,20-Feb-23,404-96-2580-58331,0,0,0,1.28,97.16,97.21,17.63,141,0,59,2,0,0,38.57,137
ZTE-HAR4-CHAR33B,16-Feb-23,404-96-2580-58332,0,0,0,0.29,93.75,95.79,46.7,96,0,114,2,0.16,0,94.54,90
,17-Feb-23,404-96-2580-58332,0,0,0,0,100,95.52,48.9,114,0,55,2,0,0,77.61,114
,18-Feb-23,404-96-2580-58332,0,0,0,0,98.47,96.85,44.37,131,0,150,2,0,0,88.83,129
,19-Feb-23,404-96-2580-58332,0,0,0,0,95.86,97.66,53.64,145,0,148,2,0.09,0,99.69,139
