Short name,,2G CGI,SDCCH Blocking Rate [BBH],SDCCH Drop Call Rate [BBH],TCH Blocking Rate [BBH],TCH Drop Call Rate [BBH],Handover Success Rate [BBH],RX Quality [BBH],Total Voice Traffic,Handover Success Rate_Denom [BBH],Drop Call Rate_Nom [BBH],Drop Call Rate_Denom [BBH],Number of TRX [BBH],ICM%[BBH],Cell Downtime [sec] [BBH],TCH Utilization [BBH],Handover Success Rate_Nom [BBH]
ANDH39A,24-Feb-23,404-96-2540-46391,0,0,0,1.09,86,89.83,12.29,50,1,41,2,0.07,0,19.65,43
,25-Feb-23,404-96-2540-46391,0,0,0,1.33,79.63,91.96,17.33,54,0,49,2,0.13,0,29.61,43
,26-Feb-23,404-96-2540-46391,0,0,0,1.33,89.58,93.34,23.43,48,0,26,2,0,0,43.44,43
,27-Feb-23,404-96-2540-46391,,,,0.81,88.98,95.94,17.82,118,0,,2,,0,31.11,105
,28-Feb-23,404-96-2540-46391,0,0,0,0,86.67,96.77,14.43,75,0,59,2,0.18,0,20.28,65
ANDH39B,24-Feb-23,404-96-2540-46392,0,0,0,2.15,86.96,97.11,9.61,46,0,25,2,0,0,18.82,40
,25-Feb-23,404-96-2540-46392,0,0,0,0,100,96.3,9.28,38,0,15,2,0.12,0,21.09,38
,26-Feb-23,404-96-2540-46392,0,0,0,0,98.18,96.45,12.07,55,0,23,2,0.11,0,21.38,54
,27-Feb-23,404-96-2540-46392,,,,0,97.06,96.98,10.76,68,0,,2,,0,24.68,66
,28-Feb-23,404-96-2540-46392,0,0,0,0,100,97.73,8.13,9,0,30,2,0.16,0,14.07,9
ANDH39C,24-Feb-23,404-96-2540-46393,0,0,0,0,89.74,96.24,13.81,78,1,32,2,0,0,25.1,70
,25-Feb-23,404-96-2540-46393,0,0,0,1.04,86.05,96.33,11.69,43,0,10,2,0,0,22.89,37
,26-Feb-23,404-96-2540-46393,0,0,0,1.04,89.92,96.51,15.57,129,0,49,2,0.18,0,33.77,116
,27-Feb-23,404-96-2540-46393,0,0,0,1.04,87.14,94.92,13.99,70,0,28,2,0.2,0,27.44,61
,28-Feb-23,404-96-2540-46393,0,0,0,0,74.19,96.13,14.42,93,1,47,2,0.14,0,33.43,69
CHAR33A,24-Feb-23,404-96-2580-58331,0,0,0,0.75,95.15,97.8,27.03,206,0,71,2,0.06,0,40.44,196
,25-Feb-23,404-96-2580-58331,0,0,0,0.37,97.09,98.63,17.05,103,0,23,2,0,0,32.29,100
,26-Feb-23,404-96-2580-58331,0,1.35,0,0,96,98.72,22.1,125,0,31,2,0.12,0,41.85,120
,27-Feb-23,404-96-2580-58331,0,0,0,0,99.12,99.38,14.62,114,0,35,2,0,0,24.11,113
,28-Feb-23,404-96-2580-58331,0,1,0,0,96.55,99.01,23.18,174,0,60,2,0,0,39.8,168
CHAR33B,24-Feb-23,404-96-2580-58332,0,0.37,0,1.36,97.65,97.4,50.22,213,1,144,2,0.48,0,97.1,208
,25-Feb-23,404-96-2580-58332,0,0,0,1,98.04,98.44,44.87,153,0,65,2,0.34,0,72.83,150
,26-Feb-23,404-96-2580-58332,0,0,0,0.81,98.17,98.35,47.18,164,0,70,2,0.77,0,70.95,161
,27-Feb-23,404-96-2580-58332,0,0,0,0.23,97.94,97.87,49.18,194,0,130,2,1.62,0,93.67,190
,28-Feb-23,404-96-2580-58332,0,0,0,0,95.14,97.62,51.88,185,0,82,2,0.62,0,97.88,176
CHAR33C,24-Feb-23,404-96-2580-58333,0,0,0,0.9,87.78,96.06,22.49,90,1,63,2,0.12,0,47.03,79
,25-Feb-23,404-96-2580-58333,0,0,0,1.01,89.71,96.72,16.92,68,0,58,2,0.11,0,25.18,61
,26-Feb-23,404-96-2580-58333,0,0,0,1.01,87.72,97.3,20.93,57,0,50,2,0,0,36.55,50
,27-Feb-23,404-96-2580-58333,0,0,0,0.53,88.89,96.78,20.29,63,1,67,2,0.17,0,29.59,56
,28-Feb-23,404-96-2580-58333,0,0,0,0.5,93.33,95.98,18.49,90,0,89,2,0,0,37.66,84
GDLI79A,24-Feb-23,404-96-2550-45791,0,0,0,0,94.29,99.21,8.11,35,0,55,2,0.22,0,22.95,33
,25-Feb-23,404-96-2550-45791,0,0,0,0,96.77,98.85,9.94,31,0,17,2,0,0,20.68,30
,26-Feb-23,404-96-2550-45791,0,0,0,0,100,99.12,18.73,47,0,61,2,0,0,50.42,47
,27-Feb-23,404-96-2550-45791,0,0,0,0,97.73,99.17,26.46,44,0,90,2,0,0,56.69,43
,28-Feb-23,404-96-2550-45791,0,0,0,0,98.08,99.66,25.75,52,0,51,2,0,0,46.59,51
GDLI79B,24-Feb-23,404-96-2550-45792,0,0,0,0,97.4,98.17,51.61,77,1,94,2,0.61,0,83.1,75
