Short name,,4G_ECGI,TA Sampls > 1.5 Km % [CDBH],MV_RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_E-UTRAN Average CQI [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],Paging record discarded At eNodeB [CDBH],MV_Average number of used DL PRBs [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE DCR [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],MV_PUSCH SINR [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE SRVCC Per Call Rate [CBBH],UL RSSI,MV_4G Data Volume_GB,MV_VoLTE Traffic,VoLTE InterF HOSR Exec_Denom [CBBH],VoLTE InterF HOSR Exec_Nom [CBBH],MV_VoLTE SRVCC Per Call Rate_Nom [CBBH],MV_VoLTE SRVCC Per Call Rate_Denom [CBBH],MV_Average number of used UL PRBs [CDBH],PS handover success rate_NOM [LTE Intra System] [CDBH],PS handover success rate_DENOM [LTE Intra System] [CDBH],PS handover success rate_NOM [LTE Inter System] [CDBH],PS handover success rate_DENOM [LTE Inter System] [CDBH],VoLTE Packet Loss DL_NOM [CBBH],VoLTE Packet Loss UL_NOM [CBBH],MV_VoLTE IntraF HOSR Exec_Denom [CBBH],MV_VoLTE IntraF HOSR Exec_Nom [CBBH]
HR_E_F1_OM_GORA28A_A,1-Mar-23,404-96-916228-34,3,99.98,99.98,0.04,1032.67,13136.52,11.46,97.6,99.64,100,0,49.85,100,0,0.07,0.05,,9.59,98.25,100,0,-119.82,67.1804,28.62,,,0,190,13.16,203,208,4711,4728,243,131,,
,2-Mar-23,404-96-916228-34,3.09,99.98,99.95,0.01,1183.07,13285.01,11.43,96.17,98.94,100,0,47.84,100,0,0.12,0.09,,10.75,100,100,0,-119.84,63.2305,28.19,,,0,172,12.55,201,209,4584,4633,450,221,,
,3-Mar-23,404-96-916228-34,5.23,100,99.98,0.01,908.62,11035.09,11.7,97.97,98.03,100,0,55.44,100,0,0.04,0.04,,11.85,96.61,98.31,0,-119.81,59.6261,30.41,,,0,130,14.62,241,246,4586,4678,177,97,,
,4-Mar-23,404-96-916228-34,2.97,100,99.99,0,909.99,10769.6,11.64,99.44,99.69,100,0,49.45,100,0.41,0.21,0.07,,9.34,98.97,96.52,0,-119.76,61.7581,32.36,,,0,319,12.59,178,179,4194,4207,475,97,,
,5-Mar-23,404-96-916228-34,3.46,99.96,99.98,0,1035.31,16961.11,12.16,95.65,99.61,100,0,41.91,100,0,0.09,0.17,,12.01,97.94,98.08,0,-119.82,64.5546,30,,,0,182,12.81,198,207,4330,4347,383,488,,
HR_E_F1_OM_GORA28C_C,1-Mar-23,404-96-916228-33,66.83,99.95,100,0,1385.49,8426.21,8.76,99.72,98.13,100,0,32.12,100,0,0.13,0.06,,9.73,100,98,0,-119.45,14.6,14.38,,,0,58,8.27,709,711,1052,1072,352,125,,
,2-Mar-23,404-96-916228-33,74.48,99.91,99.96,0,965.42,7889.61,7.69,98.85,97.53,100,0,28.27,100,2,0.08,0.11,,11.5,99.11,100,0,-119.4,15.7648,14.32,,,0,67,6.71,603,610,1147,1176,222,165,,
,3-Mar-23,404-96-916228-33,62.2,99.95,99.92,0,1543.11,17769.88,10.28,99.27,98.57,100,0,23.25,100,1.69,0.05,0.05,,11.55,100,98.39,0,-119.53,21.6404,15.93,,,0,86,8.56,410,413,620,629,117,89,,
,4-Mar-23,404-96-916228-33,58.66,100,99.95,0,1275.74,6054.1,8.48,98.86,96.72,100,0,51.32,100,0,0.04,0.05,,11.61,100,100,0,-119.26,28.8006,18.8,,,0,87,9.5,261,264,619,640,111,119,,
,5-Mar-23,404-96-916228-33,75.47,99.93,100,0,1803.42,14454.81,9.27,98.46,99.57,100,0,28.91,100,0,0.12,0.11,,9.71,100,100,0,-119.65,29.1218,18.01,,,0,53,8.53,832,845,924,928,420,256,,
HR_E_F3_OM_PATO73A_A,1-Mar-23,404-96-901673-1,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,2-Mar-23,404-96-901673-1,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,3-Mar-23,404-96-901673-1,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,4-Mar-23,404-96-901673-1,12.88,99.75,99.47,0.78,3633.08,2269.85,7.05,100,,0,0,72.07,100,0,0.01,0.37,,6.13,100,,0,-119.92,8.953,4.06,,,0,24,19.53,44,44,0,0,19,436,,
,5-Mar-23,404-96-901673-1,17.22,100,99.5,0,1777.7,1715.83,7.31,98.65,,0,0,89.2,98.8,0,0.13,0.35,,7.18,100,,0,-119.69,32.1601,23.83,,,0,87,23.02,73,74,0,0,577,1521,,
HR_E_F3_OM_PATO73B_B,1-Mar-23,404-96-901673-2,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,2-Mar-23,404-96-901673-2,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,3-Mar-23,404-96-901673-2,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,4-Mar-23,404-96-901673-2,23.3,100,100,0,2776.57,9375.85,9.57,95,,0,0,36.17,100,0,0.25,0.16,,10.65,100,,0,-119.95,6.24,2.45,,,0,15,7.88,19,20,0,0,287,194,,
,5-Mar-23,404-96-901673-2,43.43,100,99.57,0.62,2952.81,6712.26,8.71,100,,0,0,42.54,100,0,0.17,0.05,,5.71,50,,0,-119.91,22.4279,15.88,,,0,36,10.58,31,31,0,0,402,102,,
HR_E_F3_OM_PATO73C_C,1-Mar-23,404-96-901673-3,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,2-Mar-23,404-96-901673-3,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,3-Mar-23,404-96-901673-3,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,4-Mar-23,404-96-901673-3,21.87,100,100,0,1977.36,1427.64,7.59,100,,100,0,79.74,100,0,0.28,0.27,,7.08,100,,0,-119.85,11.0992,5.7,,,0,62,19.78,39,39,0,0,590,481,,
,5-Mar-23,404-96-901673-3,11.36,100,100,0.16,2270.7,3515.2,8.09,98.85,,100,0,56.55,100,0,0.14,0.09,,4.6,100,,0,-119.52,35.8997,17.64,,,0,22,14.13,86,87,0,0,349,206,,
HR_E_T1_OM_BZPR19A_L,1-Mar-23,404-96-233844-65,5.55,100,99.32,0,538.22,5801.58,11.29,99.23,99.75,0,0,78.28,100,0,0.01,0.87,,1.88,100,100,0,-114.33,89.6121,0.93,,,0,69,46.48,129,130,404,405,1,55,,
,2-Mar-23,404-96-233844-65,3.24,100,99.84,0.06,401.67,4294.96,11.26,98.65,99.7,100,0,82.88,100,0,0.3,0.01,,8.87,100,100,0,-113.94,84.3302,1.11,,,0,94,52.78,73,74,337,338,49,1,,
