"Short name",,"4G_ECGI","TA Sampls > 1.5 Km % [CDBH]","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","VoLTE InterF HOSR Exec_Denom [CBBH]","VoLTE InterF HOSR Exec_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE Packet Loss DL_NOM [CBBH]","VoLTE Packet Loss UL_NOM [CBBH]","MV_VoLTE IntraF HOSR Exec_Denom [CBBH]","MV_VoLTE IntraF HOSR Exec_Nom [CBBH]"
"HR_E_F3_OM_HADW36A_A","17 Feb 23","404-96-902936-1",15.49,100.00,100.00,0.28,8289.45,6452.65,8.46,100.00,93.94,0.00,0.00,33.56,100.00,0.00,0.06,0.11,,9.98,94.59,100.00,0.00,-119.82,14.6624,11.71,,,0.00,31.00,13.80,163.00,163.00,93.00,99.00,82.00,146.00,,
,"18 Feb 23","404-96-902936-1",19.43,100.00,100.00,0.00,3609.34,9445.40,8.97,98.58,84.80,0.00,0.00,30.40,100.00,0.00,0.21,0.12,,13.66,93.75,80.00,0.00,-119.86,16.8448,15.31,,,0.00,43.00,9.67,208.00,211.00,145.00,171.00,602.00,310.00,,
,"19 Feb 23","404-96-902936-1",34.77,99.73,100.00,0.61,4919.08,9101.53,8.96,99.08,76.53,0.00,0.00,25.44,100.00,0.00,0.14,0.10,,13.81,96.72,100.00,0.00,-119.75,21.1369,13.58,,,0.00,30.00,18.38,215.00,217.00,163.00,213.00,265.00,165.00,,
,"20 Feb 23","404-96-902936-1",16.24,100.00,100.00,0.64,4082.46,11244.26,8.95,98.85,91.87,100.00,0.00,33.39,100.00,0.00,0.19,0.18,,12.40,100.00,100.00,0.00,-119.81,16.7921,8.84,,,0.00,22.00,11.07,86.00,87.00,113.00,123.00,331.00,250.00,,
,"21 Feb 23","404-96-902936-1",14.24,99.66,100.00,0.25,2396.12,10371.87,8.99,98.18,88.24,0.00,0.00,34.78,100.00,0.00,0.27,0.12,,13.70,90.91,86.67,0.00,-119.84,16.7434,8.74,,,0.00,33.00,14.02,108.00,110.00,135.00,153.00,595.00,249.00,,
"HR_E_F3_OM_HADW36B_B","17 Feb 23","404-96-902936-2",18.69,96.08,100.00,0.40,2057.11,6598.23,7.93,100.00,97.83,0.00,0.00,17.94,100.00,0.00,0.06,0.03,,14.55,100.00,97.47,0.00,-119.39,2.7185,1.27,,,0.00,13.00,3.59,83.00,83.00,811.00,829.00,25.00,7.00,,
,"18 Feb 23","404-96-902936-2",39.05,100.00,100.00,0.00,2292.51,4944.61,7.51,99.32,100.00,0.00,0.00,13.00,75.00,0.00,0.05,0.06,,13.62,100.00,100.00,0.00,-119.39,2.3022,1.02,,,0.00,4.00,2.42,146.00,147.00,471.00,471.00,16.00,12.00,,
,"19 Feb 23","404-96-902936-2",23.59,100.00,100.00,0.00,3106.98,12141.75,9.42,98.63,98.83,0.00,0.00,11.72,,,0.00,0.10,,15.54,,100.00,,-119.21,2.1947,1.58,,,0.00,0.00,2.40,144.00,146.00,253.00,256.00,3.00,54.00,,
,"20 Feb 23","404-96-902936-2",21.29,100.00,100.00,0.00,1851.87,7956.47,8.66,100.00,100.00,0.00,0.00,14.27,100.00,0.00,0.01,0.04,,11.54,100.00,100.00,0.00,-119.17,2.6221,3.13,,,0.00,11.00,4.59,43.00,43.00,193.00,193.00,19.00,44.00,,
,"21 Feb 23","404-96-902936-2",36.18,97.01,100.00,0.42,2337.27,9090.34,8.00,99.18,88.96,0.00,0.00,19.61,100.00,0.00,0.00,0.16,,12.86,100.00,100.00,0.00,-119.44,4.4641,2.68,,,0.00,5.00,3.20,121.00,122.00,274.00,308.00,3.00,249.00,,
