Short name,,4G_ECGI,TA Sampls > 1.5 Km % [CDBH],MV_RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_E-UTRAN Average CQI [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],Paging record discarded At eNodeB [CDBH],MV_Average number of used DL PRBs [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE DCR [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],MV_PUSCH SINR [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE SRVCC Per Call Rate [CBBH],UL RSSI,MV_4G Data Volume_GB,MV_VoLTE Traffic,VoLTE InterF HOSR Exec_Denom [CBBH],VoLTE InterF HOSR Exec_Nom [CBBH],MV_VoLTE SRVCC Per Call Rate_Nom [CBBH],MV_VoLTE SRVCC Per Call Rate_Denom [CBBH],MV_Average number of used UL PRBs [CDBH],PS handover success rate_NOM [LTE Intra System] [CDBH],PS handover success rate_DENOM [LTE Intra System] [CDBH],PS handover success rate_NOM [LTE Inter System] [CDBH],PS handover success rate_DENOM [LTE Inter System] [CDBH],VoLTE Packet Loss DL_NOM [CBBH],VoLTE Packet Loss UL_NOM [CBBH],MV_VoLTE IntraF HOSR Exec_Denom [CBBH],MV_VoLTE IntraF HOSR Exec_Nom [CBBH]
HR_E_F1_OM_GORA28A_A,27-Feb-23,404-96-916228-34,3.59,100,99.98,0.03,1501.72,12746.82,12.22,97.98,99.62,100,0,49.32,100,0,0.05,0.14,,11.29,100,99.54,0,-119.82,72.2365,41.12,,,0,336,18.88,242,247,8743,8776,260,549,,
,28-Feb-23,404-96-916228-34,3.14,100,99.99,0.07,1161.54,11765.25,11.72,98.03,99.44,100,0,52.96,100,0.2,0.02,0.04,,12.72,91.89,99.7,0,-119.7,86.7404,62.13,,,0,657,14.81,199,203,5319,5349,149,212,,
,1-Mar-23,404-96-916228-34,3,99.98,99.98,0.04,1032.67,13136.52,11.46,97.6,99.64,100,0,49.85,100,0,0.07,0.05,,9.59,98.25,100,0,-119.82,67.1804,28.62,,,0,190,13.16,203,208,4711,4728,243,131,,
,2-Mar-23,404-96-916228-34,3.09,99.98,99.95,0.01,1183.07,13285.01,11.43,96.17,98.94,100,0,47.84,100,0,0.12,0.09,,10.75,100,100,0,-119.84,63.2305,28.19,,,0,172,12.55,201,209,4584,4633,450,221,,
,3-Mar-23,404-96-916228-34,5.23,100,99.98,0.01,908.62,11035.09,11.7,97.97,98.03,100,0,55.44,100,0,0.04,0.04,,11.85,96.61,98.31,0,-119.81,59.6261,30.41,,,0,130,14.62,241,246,4586,4678,177,97,,
HR_E_F1_OM_GORA28C_C,27-Feb-23,404-96-916228-33,80.61,99.48,99.92,0.05,1155.83,13893.49,8.52,99.72,99.04,100,0,18.87,100,0,0.23,0.14,,9.45,100,100,0,-119.42,15.747,14.8,,,0,86,7.19,722,724,933,942,396,157,,
,28-Feb-23,404-96-916228-33,54.67,99.93,100,0,661.07,7416.97,7.82,98.91,98.99,100,0,25.64,100,0,0.12,0.08,,10.9,100,100,0,-119.3,15.9683,14.81,,,0,48,7.37,272,275,886,895,386,181,,
,1-Mar-23,404-96-916228-33,66.83,99.95,100,0,1385.49,8426.21,8.76,99.72,98.13,100,0,32.12,100,0,0.13,0.06,,9.73,100,98,0,-119.45,14.6,14.38,,,0,58,8.27,709,711,1052,1072,352,125,,
,2-Mar-23,404-96-916228-33,74.48,99.91,99.96,0,965.42,7889.61,7.69,98.85,97.53,100,0,28.27,100,2,0.08,0.11,,11.5,99.11,100,0,-119.4,15.7648,14.32,,,0,67,6.71,603,610,1147,1176,222,165,,
,3-Mar-23,404-96-916228-33,62.2,99.95,99.92,0,1543.11,17769.88,10.28,99.27,98.57,100,0,23.25,100,1.69,0.05,0.05,,11.55,100,98.39,0,-119.53,21.6404,15.93,,,0,86,8.56,410,413,620,629,117,89,,
HR_E_F3_OM_PATO73A_A,27-Feb-23,404-96-901673-1,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,28-Feb-23,404-96-901673-1,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,1-Mar-23,404-96-901673-1,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,2-Mar-23,404-96-901673-1,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,3-Mar-23,404-96-901673-1,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
HR_E_F3_OM_PATO73B_B,27-Feb-23,404-96-901673-2,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,28-Feb-23,404-96-901673-2,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,1-Mar-23,404-96-901673-2,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,2-Mar-23,404-96-901673-2,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
,3-Mar-23,404-96-901673-2,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
HR_E_F3_OM_PATO73C_C,27-Feb-23,404-96-901673-3,,,,,,,,,,0,,,,,,,,,,,,-120,0,0,,,0,0,0,0,0,0,0,0,0,,
