Short nam,,2G CGI,SDCCH Blocking Rate [BBH],SDCCH Drop Call Rate [BBH],TCH Blocking Rate [BBH],TCH Drop Call Rate [BBH],Handover Success Rate [BBH],RX Quality [BBH],Total Voice Traffic,Handover Success Rate_Denom [BBH],Drop Call Rate_Nom [BBH],Drop Call Rate_Denom [BBH],Number of TRX [BBH],ICM%[BBH],Cell Downtime [sec] [BBH],TCH Utilization [BBH],Handover Success Rate_Nom [BBH]
ANDH39A,28-Feb-23,404-96-2540-46391,0,0,0,0,86.67,96.77,14.43,75,0,59,2,0.18,0,20.28,65
,01-Mar-23,404-96-2540-46391,0,0,0,0,93.2,94.85,17.64,103,0,39,2,0.18,0,25.07,96
,02-Mar-23,404-96-2540-46391,0,0,0,0,94.44,94.15,13.04,54,0,46,2,0.13,0,20.84,51
,03-Mar-23,404-96-2540-46391,0,0,0,0,83.18,92.81,19.1,107,0,56,2,0.24,0,43.8,89
,04-Mar-23,404-96-2540-46391,0,0,0,0,75.22,93.5,20.18,113,0,87,2,0,0,39.66,85
ANDH39B,28-Feb-23,404-96-2540-46392,0,0,0,0,100,97.73,8.13,9,0,30,2,0.16,0,14.07,9
,01-Mar-23,404-96-2540-46392,0,0,0,0,95.56,95.31,10.57,45,1,57,2,0.06,0,27.2,43
,02-Mar-23,404-96-2540-46392,0,0,0,0.88,88.1,94.7,12.49,42,1,40,2,0,0,26.79,37
,03-Mar-23,404-96-2540-46392,0,0,0,1.42,92.86,94.83,10.55,70,0,19,2,0,0,21.79,65
,04-Mar-23,404-96-2540-46392,0,0,0,1.42,94.44,95.05,11.94,36,0,20,2,0.11,0,18.03,34
ANDH39C,28-Feb-23,404-96-2540-46393,0,0,0,0,74.19,96.13,14.42,93,1,47,2,0.14,0,33.43,69
,01-Mar-23,404-96-2540-46393,0,0,0,0.71,87.21,95.82,17.44,86,1,33,2,0.05,0,30.77,75
,02-Mar-23,404-96-2540-46393,0,0,0,1.72,90.41,97.05,15.85,73,0,35,2,0,0,25.7,66
,03-Mar-23,404-96-2540-46393,0,0,0,1.72,83.93,97.14,18.05,56,0,25,2,0.05,0,27.25,47
,04-Mar-23,404-96-2540-46393,0,1.3,0,1.01,85.56,97.8,14.99,90,2,23,2,0.11,0,32.45,77
CHAR33A,28-Feb-23,404-96-2580-58331,0,1,0,0,96.55,99.01,23.18,174,0,60,2,0,0,39.8,168
,01-Mar-23,404-96-2580-58331,0,0,0,0,98.6,98.86,20.99,143,0,39,2,0.12,0,30.21,141
,02-Mar-23,404-96-2580-58331,0,0,0,0,97.01,98.83,19.1,134,0,88,2,0.06,0,31.61,130
,03-Mar-23,404-96-2580-58331,0,0,0,0,97.67,99.07,17.6,129,0,21,2,0.06,0,34.97,126
,04-Mar-23,404-96-2580-58331,0,0,0,0,92.68,99.19,18.67,164,1,57,2,0,0,33.22,152
CHAR33B,28-Feb-23,404-96-2580-58332,0,0,0,0,95.14,97.62,51.88,185,0,82,2,0.62,0,97.88,176
,01-Mar-23,404-96-2580-58332,0,0,0,0,97.5,97.68,49.41,200,0,116,2,0.08,0,78.49,195
,02-Mar-23,404-96-2580-58332,0,0,0,0,97.79,97.72,56.08,181,0,92,2,0.19,0,84.08,177
,03-Mar-23,404-96-2580-58332,0,0,0,0,99.5,97.37,56.16,200,2,132,2,0.17,0,82.37,199
,04-Mar-23,404-96-2580-58332,0,0,0,0.51,99.37,97.18,54.3,159,0,128,2,0.33,0,89.83,158
CHAR33C,28-Feb-23,404-96-2580-58333,0,0,0,0.5,93.33,95.98,18.49,90,0,89,2,0,0,37.66,84
,01-Mar-23,404-96-2580-58333,0,0,0,0.5,89.83,95.81,15.35,59,1,46,2,0.06,0,27.13,53
,02-Mar-23,404-96-2580-58333,0,0,0,1.22,93.33,95.76,15.81,75,0,35,2,0.12,0,20.82,70
,03-Mar-23,404-96-2580-58333,0,0,0,0.72,92.54,96.95,23.69,67,1,34,2,0.12,0,35.69,62
,04-Mar-23,404-96-2580-58333,0,0,0,1.71,85.48,97.11,17.56,62,0,73,2,0.31,0,31.27,53
GDLI79A,28-Feb-23,404-96-2550-45791,0,0,0,0,98.08,99.66,25.75,52,0,51,2,0,0,46.59,51
,01-Mar-23,404-96-2550-45791,0,0,0,0,95,99.62,20.41,40,0,58,2,0,0,42.47,38
,02-Mar-23,404-96-2550-45791,0,0,0,0,88.46,99.52,20.06,26,0,70,2,0.17,0,38.8,23
,03-Mar-23,404-96-2550-45791,0,0,0,0,100,99.5,19.05,30,0,6,2,0,0,31.45,30
,04-Mar-23,404-96-2550-45791,0,0,0,0,95.83,99.59,17.68,24,0,55,2,0.05,0,34.07,23
GDLI79B,28-Feb-23,404-96-2550-45792,0,0,0,0.86,95.45,98.1,136.37,66,0,125,2,0.11,0,186.96,63
,01-Mar-23,404-96-2550-45792,0,0,0,0.32,96.43,98.93,58.68,84,0,99,2,1.13,0,91.94,81
,02-Mar-23,404-96-2550-45792,0,0,0,0.16,97.92,98.66,74.04,96,0,85,2,0.29,0,122.18,94
,03-Mar-23,404-96-2550-45792,0,0,0,0,98.21,98.87,66.31,56,1,64,2,0.29,0,101.11,55
,04-Mar-23,404-96-2550-45792,0,0,0,0.52,95.31,98.7,59.02,64,0,84,2,0.6,0,98.07,61
GDLI79C,28-Feb-23,404-96-2550-45793,0,0,0,0.32,97.54,98.74,74.77,122,2,154,2,0,0,129.36,119
,01-Mar-23,404-96-2550-45793,0,0,0,0.76,95,98.56,64.98,100,0,138,2,0.09,0,138.93,95
,02-Mar-23,404-96-2550-45793,0,0,0,0.43,94.87,98.52,63.2,117,1,124,2,0.36,0,113.37,111
,03-Mar-23,404-96-2550-45793,0,0,0,0.7,96.4,98.27,61.88,111,0,106,2,0,0,156.11,107
,04-Mar-23,404-96-2550-45793,0,0,0,0.27,94.03,98.2,49.98,67,1,102,2,0.06,0,95.55,63
PIPL70A,28-Feb-23,404-96-2470-58701,0,0,0,0,97.44,97.02,26.29,117,0,44,2,0,0,38.57,114
,01-Mar-23,404-96-2470-58701,0,0,0,0,97.61,96.91,20.67,209,0,91,2,0,0,40.26,204
,02-Mar-23,404-96-2470-58701,0,0,0,0,100,96.9,28.33,95,0,78,2,0,0,49.64,95
,03-Mar-23,404-96-2470-58701,0,0,0,0,100,98.68,26.5,113,0,100,2,0,0,39.75,113
,04-Mar-23,404-96-2470-58701,0,0,0,0,95.7,99.08,24.21,93,0,73,2,0,0,42.3,89
PIPL70B,28-Feb-23,404-96-2470-58702,0,0,0,0,98.65,96.92,64.53,297,1,192,2,0,0,111.51,293
,01-Mar-23,404-96-2470-58702,0,0,0,0.26,97.55,97.15,45.38,326,0,220,2,0,0,102.34,318
,02-Mar-23,404-96-2470-58702,0,0,0,0.26,100,97.45,25.56,136,0,98,2,0,0,38.56,136
,03-Mar-23,404-96-2470-58702,0,0,0,0.17,99.19,97.51,26.48,124,0,101,2,0,0,48.1,123
,04-Mar-23,404-96-2470-58702,0,0,0,0,99.03,96.49,24.55,103,0,96,2,0,0,37.06,102
PIPL70C,28-Feb-23,404-96-2470-58703,0,0,0,0.22,95.38,98.42,31.76,65,0,91,2,0,0,54.7,62
,01-Mar-23,404-96-2470-58703,0,0,0,0.22,97.71,98.59,43.78,218,0,172,2,0,0,89.58,213
,02-Mar-23,404-96-2470-58703,0,0,0,0.22,99.55,98.66,67.43,223,0,221,2,0,0,121.46,222
,03-Mar-23,404-96-2470-58703,0,0,0,0,99.08,99.05,66.42,325,0,185,2,0,0,138.43,322
,04-Mar-23,404-96-2470-58703,0,0,0,0,96.74,98.76,50.88,215,0,148,2,0,0,85.38,208
KWPR75A,28-Feb-23,404-96-2535-53751,0,0,0,1.11,92.99,95.01,83.53,442,3,232,2,0.86,0,149.13,411
,01-Mar-23,404-96-2535-53751,0,0,0,1.54,92.96,94.35,94.14,483,2,209,2,1.72,0,196.38,449
,02-Mar-23,404-96-2535-53751,0,0,0,1.67,94.22,94.62,71.59,415,6,168,2,0.44,0,148.38,391
,03-Mar-23,404-96-2535-53751,0,0.15,0,1.94,95.24,94.37,86.21,483,0,239,2,1.51,0,170.07,460
,04-Mar-23,404-96-2535-53751,0,0,0,1.51,92.28,95.13,61.74,259,5,168,2,0.55,0,106.27,239
KWPR75B,28-Feb-23,404-96-2535-53752,0,0,0,0,90.2,95.49,58.16,102,0,89,2,0.29,0,93.98,92
,01-Mar-23,404-96-2535-53752,0,0,0,0,94.64,95.5,60.68,168,0,131,2,0.59,0,90.29,159
,02-Mar-23,404-96-2535-53752,0,0,0,0,94.86,94.91,58.35,214,0,137,2,0.74,0,119.51,203
,03-Mar-23,404-96-2535-53752,0,0,0,0,96.55,94.19,66.2,116,0,107,2,0.85,0,100.46,112
,04-Mar-23,404-96-2535-53752,0,0,0,0,94.16,94.2,60.94,137,0,75,2,1.11,0,90.45,129
KWPR75C,28-Feb-23,404-96-2535-53753,0,0,0,1.19,93.82,95.47,42.24,275,0,140,2,0.22,0,82.94,258
,01-Mar-23,404-96-2535-53753,0,0.3,0,0.84,92.07,96.19,46.2,328,0,103,2,1.4,0,74.1,302
,02-Mar-23,404-96-2535-53753,0,0,0,0.84,92.71,96.3,36.41,384,0,129,2,1.46,0,86.11,356
,03-Mar-23,404-96-2535-53753,0,0.28,0,0,94.07,96.19,47.12,337,0,130,2,0.67,0,95.3,317
,04-Mar-23,404-96-2535-53753,0,0,0,0,93.8,96.48,38.06,242,0,78,2,0.71,0,58.02,227
AJRA18A,28-Feb-23,404-96-2630-19181,,,,,,,,,,,,,,,
,01-Mar-23,404-96-2630-19181,,,,,,,,,,,,,,,
,02-Mar-23,404-96-2630-19181,,,,,,,,,,,,,,,
,03-Mar-23,404-96-2630-19181,0,0,0,,,,12.28,0,0,74,2,0,0,36.72,0
,04-Mar-23,404-96-2630-19181,0,1,0,0,,98.47,16.61,0,0,55,2,0,0,34.39,0
AJRA18B,28-Feb-23,404-96-2630-19182,,,,,,,,,,,,,,,
,01-Mar-23,404-96-2630-19182,,,,,,,,,,,,,,,
,02-Mar-23,404-96-2630-19182,,,,,,,,,,,,,,,
,03-Mar-23,404-96-2630-19182,0,0,0,,,,16.86,0,0,79,2,0,0,37.38,0
,04-Mar-23,404-96-2630-19182,0,0,0,0,,91.92,28.02,0,0,32,2,0,0,53.76,0
AJRA18C,28-Feb-23,404-96-2630-19183,,,,,,,,,,,,,,,
,01-Mar-23,404-96-2630-19183,,,,,,,,,,,,,,,
,02-Mar-23,404-96-2630-19183,,,,,,,,,,,,,,,
,03-Mar-23,404-96-2630-19183,0,0,0,,,,14.91,0,0,45,2,0,0,39.29,0
,04-Mar-23,404-96-2630-19183,0,0.49,0,0,,95.62,30.01,0,0,59,2,0,0,49.16,0
ALPR10A,28-Feb-23,404-96-2480-59101,0,0,0,0,92.13,96.71,35.51,89,0,92,2,0,0,58.63,82
,01-Mar-23,404-96-2480-59101,0,0,0,0,79.76,96.21,32.37,84,0,127,2,0,0,83.21,67
,02-Mar-23,404-96-2480-59101,0,0,0,0,77.17,95.64,35.64,92,0,254,2,0,0,63.92,71
,03-Mar-23,404-96-2480-59101,0,0,0,0,84.11,95.7,34.96,107,0,108,2,0,0,57.4,90
,04-Mar-23,404-96-2480-59101,0,0,0,0,81.69,96.48,38.72,71,0,94,2,0,0,50.94,58
ALPR10B,28-Feb-23,404-96-2480-59102,0,0,0,0,100,98.13,14.37,39,0,21,2,0,0,31.94,39
,01-Mar-23,404-96-2480-59102,0,0,0,0,100,97.86,20.04,29,0,50,2,0,0,31.78,29
,02-Mar-23,404-96-2480-59102,0,0,0,0,93.94,97.28,19.79,33,0,48,2,0,0,31.5,31
,03-Mar-23,404-96-2480-59102,0,0,0,0,93.75,97.44,14.52,64,0,71,2,0,0,27.06,60
,04-Mar-23,404-96-2480-59102,0,0,0,0,93.62,96.7,19.59,47,0,53,2,0,0,51.28,44
ALPR10C,28-Feb-23,404-96-2480-59103,0,1.18,0,0,88.24,96.62,8.5,17,0,34,2,0,0,17.48,15
,01-Mar-23,404-96-2480-59103,0,0,0,0,100,96.88,6.01,18,0,5,2,0,0,16.33,18
,02-Mar-23,404-96-2480-59103,0,0,0,0,96.43,97.8,8.5,28,0,37,2,0,0,18.22,27
,03-Mar-23,404-96-2480-59103,0,0,0,0,100,98.43,11.06,48,0,17,2,0,0,17.71,48
,04-Mar-23,404-96-2480-59103,0,0,0,0,93.33,97.84,9.95,30,0,18,2,0,0,20.57,28
BAHO92A,28-Feb-23,404-96-2535-57921,0,0,0,1.85,90.91,95.8,8.3,22,0,16,2,0.11,0,17.42,20
,01-Mar-23,404-96-2535-57921,0,0,0,1.85,84,96.7,7.36,50,0,40,2,0,0,13.06,42
,02-Mar-23,404-96-2535-57921,0,0,0,0,85.71,97.15,8.36,42,0,44,2,0.3,0,21.96,36
,03-Mar-23,404-96-2535-57921,0,0,0,0,96.15,96.85,8.6,52,0,17,2,0.17,0,13.97,50
,04-Mar-23,404-96-2535-57921,0,0,0,0,93.02,96.52,12.95,43,1,38,2,0,0,19.11,40
BAHO92B,28-Feb-23,404-96-2535-57922,0,0,0,0,92,98.09,19.87,50,0,71,2,0.07,0,50.11,46
,01-Mar-23,404-96-2535-57922,0,0.93,0,0,78.26,98.63,16.85,23,0,44,2,0.26,0,35.24,18
,02-Mar-23,404-96-2535-57922,0,0,0,0,92.73,98.8,11.24,55,0,33,2,0.64,0,24.88,51
,03-Mar-23,404-96-2535-57922,0,0,0,0,95.83,98.55,19.84,72,0,16,2,0,0,46.53,69
,04-Mar-23,404-96-2535-57922,0,0,0,0,91.43,98.77,19.96,70,0,67,2,0.22,0,36.95,64
BAHO92C,28-Feb-23,404-96-2535-57923,0,0,0,0.76,53.66,94.62,11.64,41,3,30,2,0.6,0,27.68,22
,01-Mar-23,404-96-2535-57923,0,0,0,3.33,91.67,92.58,8.38,24,0,24,2,0.07,0,19.15,22
,02-Mar-23,404-96-2535-57923,0,0,0,3.33,89.61,92.1,9.8,77,0,36,2,0.33,0,22.48,69
,03-Mar-23,404-96-2535-57923,0,0,0,3.33,64.71,93.39,13.16,34,3,30,2,0.08,0,27.01,22
,04-Mar-23,404-96-2535-57923,0,0,0,3.33,79.59,94.37,16.08,49,0,31,2,0.51,0,28.21,39
BARS49A,28-Feb-23,404-96-2580-21491,0,0.74,0,1.45,97.67,95.07,66.39,86,5,177,2,0,0,115.46,84
,01-Mar-23,404-96-2580-21491,0,0.94,0,1.94,97.5,95.2,59.44,80,4,181,2,0,0,85.68,78
,02-Mar-23,404-96-2580-21491,0,0,0,2.19,95.45,95.23,56.35,110,1,163,2,0,0,98.27,105
,03-Mar-23,404-96-2580-21491,0,0,0,1.88,94.37,94.92,53.16,71,0,133,2,0,0,77.97,67
,04-Mar-23,404-96-2580-21491,0,0,0,0.94,97.7,94.26,51.37,87,0,145,2,0,0,103.27,85
BARS49B,28-Feb-23,404-96-2580-21492,0,0,0,4.99,100,92.36,40.56,29,3,64,2,0,0,87.49,29
,01-Mar-23,404-96-2580-21492,0,0.59,0,6.29,100,92.49,40.92,17,1,96,2,0,0,71.37,17
,02-Mar-23,404-96-2580-21492,0,0,0,4.43,94.23,92.05,46.13,52,2,53,2,0,0,71.93,49
,03-Mar-23,404-96-2580-21492,0,0,0,3.17,92.16,93.88,38.69,51,1,55,2,0,0,80.98,47
,04-Mar-23,404-96-2580-21492,0,0,0,2.21,98.59,93.42,40.37,71,0,73,2,0,0,64.73,70
BARS49C,28-Feb-23,404-96-2580-21493,0,0,0,0.68,90.62,93.54,43.55,32,1,91,2,0,0,70.57,29
,01-Mar-23,404-96-2580-21493,0,0.63,0,1.05,96.67,95.38,34.63,30,0,63,2,0,0,68.98,29
,02-Mar-23,404-96-2580-21493,0,0,0,1.05,100,96.15,24.69,24,1,48,2,0,0,39.48,24
,03-Mar-23,404-96-2580-21493,0,0,0,1.06,89.13,96.81,21.91,46,0,23,2,0,0,43.5,41
,04-Mar-23,404-96-2580-21493,0,0,0,0.69,98.55,97.44,20.8,69,0,37,2,0,0,41.27,68
BDPT94A,28-Feb-23,404-96-1850-35941,0,1.65,0,0,100,98.52,19.39,25,0,59,2,0,0,29.87,25
,01-Mar-23,404-96-1850-35941,0,2.17,0,0,97.06,98.37,19.24,34,0,37,2,0,0,35.73,33
,02-Mar-23,404-96-1850-35941,0,0,0,0,95.83,98.41,21.17,24,0,53,2,0,0,49.12,23
,03-Mar-23,404-96-1850-35941,0,0,0,0,100,98.36,20.19,27,0,47,2,0,0,40.47,27
,04-Mar-23,404-96-1850-35941,0,1.23,0,0,94.12,98.17,19.63,17,0,45,2,0,0,42.67,16
BDPT94B,28-Feb-23,404-96-1850-35942,0,0,0,7.06,92.65,98.53,32.65,136,1,70,2,0,0,82.47,126
,01-Mar-23,404-96-1850-35942,0,0.5,0,6.77,91.43,98.79,37.89,105,0,51,2,0,0,72.54,96
,02-Mar-23,404-96-1850-35942,0,0,0,0.71,84.21,99.22,25.78,38,0,86,2,0,0,41.5,32
,03-Mar-23,404-96-1850-35942,0,0,0,0.48,86.54,98.93,29.44,52,0,76,2,0.32,0,53.51,45
,04-Mar-23,404-96-1850-35942,9.77,0.65,0,0,89.04,98.79,21.04,73,1,64,2,0,20,41.55,65
BDPT94C,28-Feb-23,404-96-1850-35943,0,0.59,0,2.03,98.4,95.85,74.54,125,1,128,2,0,0,155.27,123
,01-Mar-23,404-96-1850-35943,0,0.5,0,2.29,98.21,95.22,68.5,112,3,151,2,0,0,160.44,110
,02-Mar-23,404-96-1850-35943,0,0,0,1.53,100,95.33,78.68,53,0,157,2,0,0,139.69,53
,03-Mar-23,404-96-1850-35943,0,0,0.57,0.92,98.67,95.38,79.1,75,0,172,2,0,0,192.24,74
,04-Mar-23,404-96-1850-35943,4.03,0,0,0.66,96.2,95.77,70.51,79,10,133,2,0,42,178.12,76
BHR45A,28-Feb-23,404-96-1670-26451,0,2.51,0,6,91.48,97.64,45.71,176,5,112,2,0,0,92.57,161
,01-Mar-23,404-96-1670-26451,0,2.04,0,5.23,89.24,96.38,46.32,158,0,150,2,0,0,61.37,141
,02-Mar-23,404-96-1670-26451,0,0,0,3.49,94.23,95.41,41.62,52,1,90,2,0,0,66.01,49
,03-Mar-23,404-96-1670-26451,0,0,0,1.86,78.43,95.02,34.76,51,0,45,2,0,0,49.54,40
,04-Mar-23,404-96-1670-26451,0,0,0,0.37,86.96,95.6,46.1,92,0,125,2,0,0,75.46,80
BHR45B,28-Feb-23,404-96-1670-26452,0,1.26,0,1.18,94.33,93.42,86.44,141,3,177,2,0,0,147.15,133
