"Short name",,"4G_ECGI","TA Sampls > 1.5 Km % [CDBH]","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","VoLTE InterF HOSR Exec_Denom [CBBH]","VoLTE InterF HOSR Exec_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE Packet Loss DL_NOM [CBBH]","VoLTE Packet Loss UL_NOM [CBBH]","MV_VoLTE IntraF HOSR Exec_Denom [CBBH]","MV_VoLTE IntraF HOSR Exec_Nom [CBBH]"
"HR_E_F1_OM_GORA28A_A","28 Feb 23","404-96-916228-34",3.14,100.00,99.99,0.07,1161.54,11765.25,11.72,98.03,99.44,100.00,0.00,52.96,100.00,0.20,0.02,0.04,,12.72,91.89,99.70,0.00,-119.70,86.7404,62.13,,,0.00,657.00,14.81,199.00,203.00,5319.00,5349.00,149.00,212.00,,
,"1 Mar 23","404-96-916228-34",3.00,99.98,99.98,0.04,1032.67,13136.52,11.46,97.60,99.64,100.00,0.00,49.85,100.00,0.00,0.07,0.05,,9.59,98.25,100.00,0.00,-119.82,67.1804,28.62,,,0.00,190.00,13.16,203.00,208.00,4711.00,4728.00,243.00,131.00,,
,"2 Mar 23","404-96-916228-34",3.09,99.98,99.95,0.01,1183.07,13285.01,11.43,96.17,98.94,100.00,0.00,47.84,100.00,0.00,0.12,0.09,,10.75,100.00,100.00,0.00,-119.84,63.2305,28.19,,,0.00,172.00,12.55,201.00,209.00,4584.00,4633.00,450.00,221.00,,
,"3 Mar 23","404-96-916228-34",5.23,100.00,99.98,0.01,908.62,11035.09,11.70,97.97,98.03,100.00,0.00,55.44,100.00,0.00,0.04,0.04,,11.85,96.61,98.31,0.00,-119.81,59.6261,30.41,,,0.00,130.00,14.62,241.00,246.00,4586.00,4678.00,177.00,97.00,,
,"4 Mar 23","404-96-916228-34",2.97,100.00,99.99,0.00,909.99,10769.60,11.64,99.44,99.69,100.00,0.00,49.45,100.00,0.41,0.21,0.07,,9.34,98.97,96.52,0.00,-119.76,61.7581,32.36,,,0.00,319.00,12.59,178.00,179.00,4194.00,4207.00,475.00,97.00,,
"HR_E_F1_OM_GORA28C_C","28 Feb 23","404-96-916228-33",54.67,99.93,100.00,0.00,661.07,7416.97,7.82,98.91,98.99,100.00,0.00,25.64,100.00,0.00,0.12,0.08,,10.90,100.00,100.00,0.00,-119.30,15.9683,14.81,,,0.00,48.00,7.37,272.00,275.00,886.00,895.00,386.00,181.00,,
,"1 Mar 23","404-96-916228-33",66.83,99.95,100.00,0.00,1385.49,8426.21,8.76,99.72,98.13,100.00,0.00,32.12,100.00,0.00,0.13,0.06,,9.73,100.00,98.00,0.00,-119.45,14.6000,14.38,,,0.00,58.00,8.27,709.00,711.00,1052.00,1072.00,352.00,125.00,,
,"2 Mar 23","404-96-916228-33",74.48,99.91,99.96,0.00,965.42,7889.61,7.69,98.85,97.53,100.00,0.00,28.27,100.00,2.00,0.08,0.11,,11.50,99.11,100.00,0.00,-119.40,15.7648,14.32,,,0.00,67.00,6.71,603.00,610.00,1147.00,1176.00,222.00,165.00,,
,"3 Mar 23","404-96-916228-33",62.20,99.95,99.92,0.00,1543.11,17769.88,10.28,99.27,98.57,100.00,0.00,23.25,100.00,1.69,0.05,0.05,,11.55,100.00,98.39,0.00,-119.53,21.6404,15.93,,,0.00,86.00,8.56,410.00,413.00,620.00,629.00,117.00,89.00,,
,"4 Mar 23","404-96-916228-33",58.66,100.00,99.95,0.00,1275.74,6054.10,8.48,98.86,96.72,100.00,0.00,51.32,100.00,0.00,0.04,0.05,,11.61,100.00,100.00,0.00,-119.26,28.8006,18.80,,,0.00,87.00,9.50,261.00,264.00,619.00,640.00,111.00,119.00,,
