"Short name",,"4G_ECGI","TA Sampls > 1.5 Km % [CDBH]","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","VoLTE InterF HOSR Exec_Denom [CBBH]","VoLTE InterF HOSR Exec_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE Packet Loss DL_NOM [CBBH]","VoLTE Packet Loss UL_NOM [CBBH]","MV_VoLTE IntraF HOSR Exec_Denom [CBBH]","MV_VoLTE IntraF HOSR Exec_Nom [CBBH]"
"HR_E_F3_OM_HADW36A_A","15 Feb 23","404-96-902936-1",27.08,100.00,100.00,0.16,4022.22,8055.60,8.93,98.01,100.00,100.00,0.00,40.13,100.00,0.00,0.21,0.06,,10.49,100.00,41.67,0.00,-119.83,20.6325,13.82,,,0.00,24.00,10.20,148.00,151.00,113.00,113.00,942.00,185.00,,
,"16 Feb 23","404-96-902936-1",28.09,100.00,100.00,0.00,2110.14,9575.33,8.73,99.39,51.27,0.00,0.00,41.05,100.00,0.00,0.10,0.09,,14.72,96.67,100.00,0.00,-119.80,17.1030,12.93,,,0.00,46.00,11.21,162.00,163.00,81.00,158.00,278.00,190.00,,
,"17 Feb 23","404-96-902936-1",15.49,100.00,100.00,0.28,8289.45,6452.65,8.46,100.00,93.94,0.00,0.00,33.56,100.00,0.00,0.06,0.11,,9.98,94.59,100.00,0.00,-119.82,14.6624,11.71,,,0.00,31.00,13.80,163.00,163.00,93.00,99.00,82.00,146.00,,
,"18 Feb 23","404-96-902936-1",19.43,100.00,100.00,0.00,3609.34,9445.40,8.97,98.58,84.80,0.00,0.00,30.40,100.00,0.00,0.21,0.12,,13.66,93.75,80.00,0.00,-119.86,16.8448,15.31,,,0.00,43.00,9.67,208.00,211.00,145.00,171.00,602.00,310.00,,
,"19 Feb 23","404-96-902936-1",34.77,99.73,100.00,0.61,4919.08,9101.53,8.96,99.08,76.53,0.00,0.00,25.44,100.00,0.00,0.14,0.10,,13.81,96.72,100.00,0.00,-119.75,21.1369,13.58,,,0.00,30.00,18.38,215.00,217.00,163.00,213.00,265.00,165.00,,
"HR_E_F3_OM_HADW36B_B","15 Feb 23","404-96-902936-2",28.18,100.00,100.00,0.12,3317.38,7720.24,7.97,97.14,99.39,0.00,0.00,14.99,100.00,0.00,0.30,0.36,,10.57,100.00,95.65,0.00,-119.45,1.7852,0.96,,,0.00,9.00,3.54,170.00,175.00,647.00,651.00,62.00,40.00,,
,"16 Feb 23","404-96-902936-2",63.04,100.00,100.00,0.00,3194.28,9676.36,8.31,96.91,99.51,0.00,0.00,9.25,100.00,0.00,0.12,0.07,,13.24,100.00,94.59,0.00,-119.38,1.7722,1.17,,,0.00,8.00,5.91,94.00,97.00,202.00,203.00,31.00,16.00,,
,"17 Feb 23","404-96-902936-2",18.69,96.08,100.00,0.40,2057.11,6598.23,7.93,100.00,97.83,0.00,0.00,17.94,100.00,0.00,0.06,0.03,,14.55,100.00,97.47,0.00,-119.39,2.7185,1.27,,,0.00,13.00,3.59,83.00,83.00,811.00,829.00,25.00,7.00,,
,"18 Feb 23","404-96-902936-2",39.05,100.00,100.00,0.00,2292.51,4944.61,7.51,99.32,100.00,0.00,0.00,13.00,75.00,0.00,0.05,0.06,,13.62,100.00,100.00,0.00,-119.39,2.3022,1.02,,,0.00,4.00,2.42,146.00,147.00,471.00,471.00,16.00,12.00,,
,"19 Feb 23","404-96-902936-2",23.59,100.00,100.00,0.00,3106.98,12141.75,9.42,98.63,98.83,0.00,0.00,11.72,,,0.00,0.10,,15.54,,100.00,,-119.21,2.1947,1.58,,,0.00,0.00,2.40,144.00,146.00,253.00,256.00,3.00,54.00,,
"HR_E_F3_OM_HADW36C_C","15 Feb 23","404-96-902936-3",26.47,100.00,98.06,1.42,1852.76,3437.95,8.36,97.80,28.93,0.00,0.00,31.57,100.00,0.00,0.02,0.05,,12.81,100.00,100.00,0.00,-119.46,4.1844,2.68,,,0.00,7.00,8.61,89.00,91.00,35.00,121.00,12.00,31.00,,
,"16 Feb 23","404-96-902936-3",19.59,100.00,100.00,0.00,2032.89,6123.77,8.34,100.00,100.00,0.00,0.00,17.47,100.00,0.00,0.02,0.11,,8.54,100.00,100.00,0.00,-119.50,3.5543,2.61,,,0.00,2.00,4.17,54.00,54.00,51.00,51.00,16.00,79.00,,
,"17 Feb 23","404-96-902936-3",10.34,99.47,100.00,0.00,2019.68,7300.32,8.18,100.00,92.68,0.00,0.00,38.18,100.00,0.00,0.01,0.11,,5.38,96.67,100.00,0.00,-119.47,8.7666,3.71,,,0.00,2.00,7.52,68.00,68.00,76.00,82.00,9.00,68.00,,
,"18 Feb 23","404-96-902936-3",10.61,100.00,100.00,1.09,2069.57,12940.41,8.97,100.00,61.54,0.00,0.00,22.21,100.00,0.00,0.04,0.07,,10.57,100.00,,0.00,-119.28,10.8709,3.05,,,0.00,10.00,8.20,45.00,45.00,48.00,78.00,37.00,57.00,,
,"19 Feb 23","404-96-902936-3",11.48,100.00,98.26,0.00,4074.74,12491.23,9.19,98.36,60.26,0.00,0.00,19.06,100.00,0.00,0.02,0.83,,9.87,95.65,100.00,0.00,-119.07,10.7175,4.66,,,0.00,23.00,14.64,60.00,61.00,47.00,78.00,39.00,1274.00,,
"HR_E_T1_OM_DDKH46C_C","15 Feb 23","404-96-234546-63",58.76,99.86,99.88,0.06,403.86,7664.71,10.44,96.80,99.49,100.00,0.00,64.07,100.00,0.00,0.12,0.76,,10.01,100.00,100.00,0.00,-105.84,70.9937,13.97,,,0.00,179.00,67.00,1028.00,1062.00,787.00,791.00,232.00,942.00,,
,"16 Feb 23","404-96-234546-63",47.68,99.89,99.88,0.02,441.69,2888.42,9.57,97.54,99.06,100.00,0.00,83.16,100.00,0.00,0.08,1.55,,8.87,92.31,100.00,0.00,-114.74,89.8283,15.15,,,0.00,199.00,52.29,675.00,692.00,635.00,641.00,222.00,2979.00,,
,"17 Feb 23","404-96-234546-63",51.54,99.90,99.96,0.04,568.92,5959.30,10.13,97.76,100.00,100.00,0.00,65.80,100.00,0.00,0.20,0.28,,13.88,98.11,100.00,0.00,-112.30,84.3799,12.02,,,0.00,175.00,49.18,1003.00,1026.00,604.00,604.00,320.00,274.00,,
,"18 Feb 23","404-96-234546-63",55.77,99.84,99.41,0.27,371.99,13588.73,10.42,97.55,99.82,100.00,0.00,40.70,100.00,0.00,0.20,0.74,,5.07,100.00,100.00,0.00,-102.49,54.3484,6.15,,,0.00,88.00,45.01,637.00,653.00,555.00,556.00,156.00,374.00,,
,"19 Feb 23","404-96-234546-63",56.78,99.79,100.00,0.14,879.44,6882.17,10.02,97.78,99.18,100.00,0.00,48.09,100.00,0.00,0.09,3.35,,5.24,100.00,100.00,0.00,-103.77,48.4444,6.22,,,0.00,94.00,55.78,706.00,722.00,485.00,489.00,95.00,2641.00,,
"HR_E_T1_OM_KST479B_B","15 Feb 23","404-96-801479-62",0.12,99.91,99.91,0.00,555.24,10045.38,10.01,98.67,99.72,100.00,0.00,59.63,100.00,0.00,0.42,0.29,,-0.48,100.00,100.00,0.00,-109.61,59.2822,0.73,,,0.00,154.00,42.55,371.00,376.00,701.00,703.00,21.00,4.00,,
,"16 Feb 23","404-96-801479-62",0.00,99.96,99.91,0.19,512.76,6967.39,10.16,100.00,99.89,0.00,0.00,66.14,100.00,0.00,1.05,0.21,,12.65,100.00,100.00,0.00,-113.83,73.0129,0.74,,,0.00,178.00,45.23,115.00,115.00,879.00,880.00,74.00,4.00,,
,"17 Feb 23","404-96-801479-62",0.06,99.97,99.94,0.02,580.11,5879.58,10.09,98.03,100.00,0.00,0.00,73.09,99.07,0.00,0.19,10.89,,-1.93,100.00,100.00,0.00,-111.99,70.9904,0.80,,,0.00,107.00,50.20,149.00,152.00,858.00,858.00,15.00,112.00,,
,"18 Feb 23","404-96-801479-62",0.03,100.00,100.00,0.06,802.83,6176.87,9.58,99.40,99.88,0.00,0.00,60.28,100.00,0.00,0.01,1.26,,-0.54,100.00,100.00,0.00,-106.65,54.4570,0.60,,,0.00,116.00,42.23,332.00,334.00,814.00,815.00,1.00,48.00,,
