Short name,,4G_ECGI,RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],PS handover success rate [LTE Intra System] [CDBH],PS handover success rate [LTE Inter System] [CDBH],CSFB Redirection Success Rate [CDBH],E-UTRAN Average CQI [CDBH],MV_Average number of used DL PRBs [CDBH],VoLTE ERAB Setup Success Rate [CBBH],VoLTE Drop Call Rate [CBBH]],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],VoLTE Intra-LTE Handover Success Ratio [CBBH],VoLTE Inter-Frequency Handover Success Ratio [CBBH],UL RSSI [CBBH],MV_4G Data Volume_GB,VoLTE Traffic,Radio NW Availability
PB_E_F3_HS_UBT070A_A,23-Apr-23,404-02-720070-21,99.93,99.85,0.04,4966.21,507.66,100,88.24,100,8.24,78.92,100,0.61,0.09,0.03,,100,100,-102.74,58.23,23.82,84.12
,24-Apr-23,404-02-720070-21,100,99.83,0.03,4058.62,769.05,100,87.03,100,8.69,82.2,100,0,0.06,0.04,,97.67,94.59,-102.88,72.3,30.95,90.65
,25-Apr-23,404-02-720070-21,100,99.74,0,9126.54,746.11,98.04,98.97,100,8.41,70.58,100,0,0.15,0.03,,99.31,100,-105.31,74.53,28.05,89.58
,26-Apr-23,404-02-720070-21,99.87,98.53,0.1,5183.5,437.57,99.28,98.09,100,8.61,71.72,100,0,0.01,0.04,,100,100,-104.12,87.53,35.56,100
,27-Apr-23,404-02-720070-21,99.94,99.87,0.02,9947.49,913.46,100,96.24,100,9.48,50.6,100,0,0.08,0.04,,99.25,100,-104.38,81.11,30.59,100
PB_E_F3_HS_UBT070B_B,23-Apr-23,404-02-720070-22,99.97,100,0.05,9143.23,550.04,97.13,96.02,100,8.47,42.6,100,0,0.04,0.02,,97.01,94.12,-104.51,32.49,20.67,84.12
,24-Apr-23,404-02-720070-22,99.93,99.87,0.02,6280.1,519.27,100,92.66,100,7.51,53.73,100,0,0.03,0.04,,100,100,-105.49,34.56,21.63,90.65
,25-Apr-23,404-02-720070-22,99.96,99.95,0.08,6806.95,873.98,98.57,88.55,100,7.84,51.58,100,1.05,0.01,0.04,,99,100,-104.98,35.74,20.64,89.58
,26-Apr-23,404-02-720070-22,99.65,99.77,0.06,6541.68,352.23,96.67,97.41,100,7.28,43.33,100,0,0.05,0.04,,100,100,-107.45,35.97,23.16,100
,27-Apr-23,404-02-720070-22,99.81,100,0.08,5884.51,1387.5,100,87.13,100,7.48,60.25,100,1.22,0.05,0.03,,100,100,-104.55,38.73,18.92,100
PB_E_F3_HS_UBT070C_C,23-Apr-23,404-02-720070-23,99.88,99.9,0.11,18385.77,1002.51,100,97.06,100,8.85,39.42,100,1.14,0.21,0.07,,96.77,90.38,-108.09,55.68,26.43,84.12
,24-Apr-23,404-02-720070-23,99.8,99.91,0.16,4489.6,418.79,100,87.57,100,8.36,66.65,100,0,0.03,0.05,,99.24,100,-107.1,57.11,33.62,90.65
,25-Apr-23,404-02-720070-23,99.87,99.94,0.08,4145.39,589.13,96.55,94.21,100,8.92,75.42,100,0,0.15,0.08,,93.31,85.71,-109.85,62.93,31.23,89.58
,26-Apr-23,404-02-720070-23,99.76,99.87,0.08,7832.16,517.91,100,88.5,100,8.69,51.48,100,0,0.18,0.08,,99.34,98.73,-107.96,62.73,28.57,100
,27-Apr-23,404-02-720070-23,99.77,99.94,0.12,7171.02,542.69,99.01,97.14,100,8.48,47.3,100,1.22,0.08,0.06,,95.87,89.41,-108.82,61.43,27.64,100
PB_E_F3_HS_UGD031A_A,23-Apr-23,404-02-700231-21,99.95,99.89,0.03,9788.44,976.7,98.97,96.18,100,8.49,48.83,100,0,0.01,0.02,,99.32,100,-100.82,59.3,32.82,100
,24-Apr-23,404-02-700231-21,100,99.83,0.11,3205.53,656,96.3,94.51,100,7.03,87.25,100,0,0.02,0.05,,100,100,-100.24,83.69,70.75,100
,25-Apr-23,404-02-700231-21,99.94,99.92,0.08,2049.46,818.87,99.73,97.5,100,7.19,82.92,100,0,0.09,0.05,,98.28,96.39,-100.18,94.17,80.21,100
,26-Apr-23,404-02-700231-21,99.97,99.72,0.1,2324.89,617.05,98.69,94.55,100,7.16,87.9,99.82,0.19,0.03,0.04,,99.12,97.67,-100.23,107.71,82.77,100
,27-Apr-23,404-02-700231-21,99.98,99.76,0.08,4217.26,1132.88,99.4,96.75,100,7.62,84.67,100,0,0.02,0.06,,99.12,98.59,-100.09,103.89,83.49,100
PB_E_F3_HS_UGD031B_B,23-Apr-23,404-02-700231-22,99.73,99.72,0.2,4598.88,797.5,99.66,91.83,100,6.25,58.8,100,0,0.04,0.03,,93.62,91.43,-100.64,40.33,24.04,100
,24-Apr-23,404-02-700231-22,99.85,99.86,0.17,5932.25,1037.07,99.79,92.83,100,6.72,66.62,100,0,0.01,0.04,,94.67,97.22,-98.46,62.27,55.13,100
,25-Apr-23,404-02-700231-22,99.95,99.87,0.16,2423.03,816.2,99.56,90.25,100,5.9,85.83,100,0,0.01,0.06,,98.25,98.44,-99.75,59.48,50.47,100
,26-Apr-23,404-02-700231-22,99.93,99.69,0.1,2100.6,556.9,99.27,88.78,100,5.63,88.22,100,0.67,0.14,0.07,,95.12,93.26,-98.93,59.05,54.3,100
,27-Apr-23,404-02-700231-22,99.98,99.83,0.11,2093.6,725.46,99.01,84.29,100,5.61,92.72,100,0.34,0.06,0.05,,79.39,76.38,-99.6,68.36,51.07,100
PB_E_F3_HS_UGD031C_C,23-Apr-23,404-02-700231-23,99.93,99.88,0.08,2574.45,909.55,97.67,88.62,100,7.9,93.12,100,0.44,0.04,0.03,,88.83,80.68,-101.96,151.7,84.24,100
,24-Apr-23,404-02-700231-23,99.93,99.76,0.08,2589.09,1083.45,99.04,89.03,100,8.05,90.33,100,0.68,0.08,0.07,,90.12,91.23,-103.13,140.97,73.98,100
,25-Apr-23,404-02-700231-23,99.98,99.95,0.13,1744.92,792.83,100,90.62,100,7.88,92.55,100,0.4,0.03,0.03,,90.73,88.3,-102.65,134.56,83.69,100
,26-Apr-23,404-02-700231-23,99.99,99.9,0.23,1647.39,683.65,94.92,83.66,100,7.92,93.5,99.67,0,0.11,0.04,,92,90.85,-103.74,141.82,87.18,100
,27-Apr-23,404-02-700231-23,99.98,99.96,0.02,2168.29,640.68,95.31,75.74,100,8.04,92.95,100,0,0.02,0.03,,95.85,92.2,-103.5,142.17,91.33,100
PB_E_F3_HS_ULD209A_A,23-Apr-23,404-02-700209-21,99.96,79.54,0.4,3346.15,1034.75,98.35,27.27,89.47,6.3,37.5,97.39,0,0.35,0.27,,100,100,-99.44,21,38.51,95.7
,24-Apr-23,404-02-700209-21,99.97,89.11,0.24,3172.67,727.19,100,81.82,96.97,6.67,55.52,75,4.02,0.38,0.24,,98.82,,-100.06,32.86,83.4,100
,25-Apr-23,404-02-700209-21,100,87.52,0.25,5770.77,573.34,99.12,96.88,100,7.61,36.27,95.56,1.65,0.45,0.81,,96.55,87.5,-98.02,28.41,50.61,100
,26-Apr-23,404-02-700209-21,99.97,91.86,0.22,4549.76,627.95,100,96.15,100,7.33,43.98,93.55,0.37,0.28,0.16,,97.44,66.67,-99.74,29.35,58.92,100
,27-Apr-23,404-02-700209-21,99.95,99.85,0,9350.82,832.13,98.43,98.82,100,7.62,31.1,100,2.16,0.11,0.04,,100,100,-97.12,12.2,20.07,66.67
PB_E_F3_HS_ULD209B_B,23-Apr-23,404-02-700209-22,99.98,97.42,0.13,3925.66,678.49,98.96,88.37,96,8.78,72.8,97.86,1.78,0.2,0.25,,98.21,66.67,-99.65,79.41,97.49,95.7
