"Short name",,"2G CGI","SDCCH Blocking Rate [BBH]","SDCCH Drop Call Rate [BBH]","TCH Blocking Rate [BBH]","TCH Drop Call Rate [BBH]","Handover Success Rate [BBH]","RX Quality [BBH]","Total Voice Traffic","Handover Success Rate_Denom [BBH]","Drop Call Rate_Nom [BBH]","Drop Call Rate_Denom [BBH]","Number of TRX [BBH]","ICM%[BBH]","Cell Downtime [sec] [BBH]","TCH Utilization [BBH]","Handover Success Rate_Nom [BBH]"
"ZTE-PJ2-ZLUD3329A","23 Feb 23","404-2-2042-33291",0.00,0.08,0.00,0.58,95.73,95.05,109.20,445.00,2.00,480.00,3.00,13.39,0.00,114.31,426.00
,"24 Feb 23","404-2-2042-33291",0.00,0.00,0.28,0.64,94.98,94.95,106.17,478.00,4.00,359.00,3.00,10.27,0.00,120.07,454.00
,"25 Feb 23","404-2-2042-33291",0.00,0.09,0.00,0.68,95.30,95.18,113.30,447.00,1.00,374.00,3.00,10.09,0.00,106.49,426.00
,"26 Feb 23","404-2-2042-33291",0.00,0.00,0.00,0.60,95.68,95.64,49.25,139.00,0.00,163.00,3.00,1.14,0.00,46.33,133.00
,"27 Feb 23","404-2-2042-33291",0.00,0.09,0.00,0.46,93.38,96.46,114.30,423.00,3.00,409.00,3.00,10.98,0.00,98.34,395.00
"ZTE-PJ2-ZLUD3329B","23 Feb 23","404-2-2042-33292",0.00,0.20,3.98,1.91,97.97,96.38,106.92,345.00,1.00,315.00,2.00,8.80,0.00,171.95,338.00
,"24 Feb 23","404-2-2042-33292",0.00,0.38,0.00,1.39,96.75,96.18,111.03,246.00,0.00,140.00,2.00,1.55,0.00,162.97,238.00
,"25 Feb 23","404-2-2042-33292",0.00,0.00,0.00,1.12,97.62,96.41,115.18,336.00,1.00,264.00,2.00,7.69,0.00,161.89,328.00
,"26 Feb 23","404-2-2042-33292",0.00,0.00,1.15,0.23,96.46,96.47,124.29,226.00,0.00,258.00,2.00,5.44,0.00,190.40,218.00
,"27 Feb 23","404-2-2042-33292",0.00,0.00,0.00,0.13,98.88,96.92,121.04,358.00,5.00,312.00,2.00,7.20,0.00,148.03,354.00
