"Short name",,"2G CGI","SDCCH Blocking Rate [BBH]","SDCCH Drop Call Rate [BBH]","TCH Blocking Rate [BBH]","TCH Drop Call Rate [BBH]","Handover Success Rate [BBH]","RX Quality [BBH]","Total Voice Traffic","Handover Success Rate_Denom [BBH]","Drop Call Rate_Nom [BBH]","Drop Call Rate_Denom [BBH]","Number of TRX [BBH]","ICM%[BBH]","Cell Downtime [sec] [BBH]","TCH Utilization [BBH]","Handover Success Rate_Nom [BBH]"
"ZTE-PJ2-ZLUD3329A","17 Feb 23","404-2-2042-33291",0.00,0.00,0.00,0.77,89.17,95.80,111.07,351.00,4.00,346.00,3.00,14.74,0.00,97.15,313.00
,"18 Feb 23","404-2-2042-33291",0.00,0.00,0.00,0.79,96.41,96.00,107.74,390.00,0.00,376.00,3.00,12.99,0.00,97.64,376.00
,"19 Feb 23","404-2-2042-33291",0.00,0.00,0.00,0.79,99.26,96.08,49.81,135.00,0.00,101.00,3.00,1.64,0.00,37.08,134.00
,"20 Feb 23","404-2-2042-33291",0.00,0.00,0.00,0.39,95.19,96.81,105.46,416.00,1.00,388.00,3.00,14.55,0.00,97.57,396.00
,"21 Feb 23","404-2-2042-33291",0.00,0.10,0.00,0.09,94.35,96.67,111.52,478.00,4.00,401.00,3.00,14.44,0.00,108.92,451.00
"ZTE-PJ2-ZLUD3329B","17 Feb 23","404-2-2042-33292",0.00,0.00,0.00,2.21,97.72,95.26,119.55,351.00,5.00,327.00,2.00,4.71,0.00,148.88,343.00
,"18 Feb 23","404-2-2042-33292",0.00,0.00,0.53,2.05,97.72,94.81,115.36,307.00,1.00,187.00,2.00,5.11,0.00,165.65,300.00
,"19 Feb 23","404-2-2042-33292",0.00,0.28,0.00,1.52,96.77,94.82,125.55,279.00,2.00,215.00,2.00,2.34,0.00,179.52,270.00
,"20 Feb 23","404-2-2042-33292",0.00,0.00,6.69,1.00,97.89,96.62,126.17,379.00,5.00,264.00,2.00,6.42,0.00,184.88,371.00
,"21 Feb 23","404-2-2042-33292",0.00,0.22,0.00,1.12,97.77,96.85,112.37,269.00,2.00,249.00,2.00,5.87,0.00,159.44,263.00
"ZTE-PJ2-ZLUD3329C","17 Feb 23","404-2-2042-33293",0.00,0.00,0.00,1.38,97.94,97.60,109.56,291.00,5.00,354.00,2.00,15.03,0.00,123.71,285.00
,"18 Feb 23","404-2-2042-33293",0.00,0.18,1.34,1.03,98.09,97.65,117.13,209.00,1.00,221.00,2.00,0.88,0.00,172.25,205.00
,"19 Feb 23","404-2-2042-33293",0.00,0.00,0.00,0.72,96.88,97.94,101.94,224.00,5.00,96.00,2.00,3.17,0.00,114.55,217.00
,"20 Feb 23","404-2-2042-33293",0.00,0.00,0.00,2.36,98.58,97.81,108.71,282.00,7.00,395.00,2.00,12.90,0.00,136.62,278.00
,"21 Feb 23","404-2-2042-33293",0.00,0.00,0.00,2.48,98.33,97.58,114.34,299.00,2.00,341.00,2.00,15.03,0.00,131.24,294.00
