Short name,,2G CGI,SDCCH Blocking Rate [BBH],SDCCH Drop Call Rate [BBH],TCH Blocking Rate [BBH],TCH Drop Call Rate [BBH],Handover Success Rate [BBH],RX Quality [BBH],Total Voice Traffic,Handover Success Rate_Denom [BBH],Drop Call Rate_Nom [BBH],Drop Call Rate_Denom [BBH],Number of TRX [BBH],ICM%[BBH],Cell Downtime [sec] [BBH],TCH Utilization [BBH],Handover Success Rate_Nom [BBH]
ZTE-PJ2-ZLUD3329A,26-Feb-23,404-2-2042-33291,0,0,0,0.6,95.68,95.64,49.25,139,0,163,3,1.14,0,46.33,133
,27-Feb-23,404-2-2042-33291,0,0.09,0,0.46,93.38,96.46,114.3,423,3,409,3,10.98,0,98.34,395
,28-Feb-23,404-2-2042-33291,0,0.15,0,0.33,97.37,96.46,139.19,495,6,480,3,11.75,0,120.93,482
,1-Mar-23,404-2-2042-33291,0,0.14,1.53,0.66,94.02,96.45,145.69,518,5,517,3,5.18,0,128.9,487
,2-Mar-23,404-2-2042-33291,0,0.13,0.17,0.98,95.81,95.68,136.43,596,0,572,3,4.3,0,137.24,571
ZTE-PJ2-ZLUD3329B,26-Feb-23,404-2-2042-33292,0,0,1.15,0.23,96.46,96.47,124.29,226,0,258,2,5.44,0,190.4,218
,27-Feb-23,404-2-2042-33292,0,0,0,0.13,98.88,96.92,121.04,358,5,312,2,7.2,0,148.03,354
,28-Feb-23,404-2-2042-33292,0,0.21,0,0.66,99.14,96.76,118.4,350,4,270,2,5.91,0,147.57,347
,1-Mar-23,404-2-2042-33292,0,0,0,1.03,97.76,96.69,125.61,313,2,162,2,2.77,0,159.06,306
,2-Mar-23,404-2-2042-33292,0,0,0.77,1.44,97.74,96.68,141.7,531,10,411,2,8.65,0,181.12,519
ZTE-PJ2-ZLUD3329C,26-Feb-23,404-2-2042-33293,0,0.24,0,0.51,97.07,97.04,91.55,239,5,185,2,13.38,0,110.87,232
,27-Feb-23,404-2-2042-33293,0,0,2.79,1.41,98.07,97.24,105.39,363,1,348,2,10.53,0,150.82,356
,28-Feb-23,404-2-2042-33293,0,0,4.42,1.2,98.54,97.05,104.51,342,0,327,2,12.26,0,158.39,337
,1-Mar-23,404-2-2042-33293,0,1.25,0,1,96.19,97.08,119.98,236,6,147,2,3.38,0,136.33,227
,2-Mar-23,404-2-2042-33293,0,0,2.87,1.46,98.86,97.13,116.95,351,8,338,2,10.5,0,138.95,347
ZTE-PJ2-ZLUD3329D,26-Feb-23,404-2-2042-33294,0,0,0,0.31,100,97.96,34.73,69,0,95,3,1.38,0,28.52,69
,27-Feb-23,404-2-2042-33294,0,0,0,0.14,99.44,98.47,64.09,179,2,314,3,2.71,0,81.26,178
,28-Feb-23,404-2-2042-33294,0,0,0,0.21,96.77,98.7,59.14,186,0,262,3,2.79,0,59.01,180
,1-Mar-23,404-2-2042-33294,0,0,0,0.21,97.67,98.91,46.13,172,0,246,3,1.72,0,58.1,168
,2-Mar-23,404-2-2042-33294,0,0,0,0.21,98.98,98.66,46.79,196,2,247,3,1.49,0,57.83,194
ZTE-PJ2-ZLUD890A,26-Feb-23,404-2-2047-64901,0,0,0,0.67,92.66,97.9,42.79,109,3,66,2,0,0,51.98,101
,27-Feb-23,404-2-2047-64901,0,0,0,2.19,97.35,97.56,49.11,113,2,134,2,0,0,65.95,110
,28-Feb-23,404-2-2047-64901,0,0.39,0,2.01,94.29,98.06,58.59,105,1,114,2,0,0,77.05,99
,1-Mar-23,404-2-2047-64901,0,0.17,0,2.31,95.59,97.91,46.16,136,1,135,2,0,0,60.13,130
,2-Mar-23,404-2-2047-64901,0,0.19,0,1.04,89.71,97.79,42.61,68,1,108,2,0.08,0,70.16,61
ZTE-PJ2-ZLUD890B,26-Feb-23,404-2-2047-64902,0,0,0,0.41,94.15,98.97,91.54,171,1,214,2,0,0,143.05,161
,27-Feb-23,404-2-2047-64902,0,0.27,0,0.3,93.4,98.95,104.7,197,1,312,2,0,0,139.63,184
,28-Feb-23,404-2-2047-64902,0,0,0.36,0.26,97.21,98.75,102.28,179,1,276,2,0.12,0,175.85,174
,1-Mar-23,404-2-2047-64902,0,0.37,0,0.38,96.62,98.77,100.66,148,0,268,2,0,0,127.87,143
