Short name,,4G_ECGI,MV_RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_E-UTRAN Average CQI [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],Paging record discarded At eNodeB [CDBH],MV_Average number of used DL PRBs [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE DCR [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],MV_PUSCH SINR [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE SRVCC Per Call Rate [CBBH],UL RSSI,MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_VoLTE SRVCC Per Call Rate_Nom [CBBH],MV_VoLTE SRVCC Per Call Rate_Denom [CBBH],MV_Average number of used UL PRBs [CDBH],TA Sampls > 1.5 Km % [CDBH],VoLTE Packet Loss DL_Nom [CBBH],VoLTE Packet Loss UL_Nom [CBBH],PS handover success rate_NOM [LTE Intra System] [CDBH],PS handover success rate_DENOM [LTE Intra System] [CDBH],PS handover success rate_NOM [LTE Inter System] [CDBH],PS handover success rate_DENOM [LTE Inter System] [CDBH],VoLTE IntraF HOSR Exec_DENOM [CBBH],VoLTE IntraF HOSR Exec_NOM [CBBH],VoLTE InterF HOSR Exec_DENOM [CBBH],VoLTE InterF HOSR Exec_NOM [CBBH]
PB_E_F3_OM_BTAL19A_A,26-Feb-23,404-02-916019-1,99.96,99.95,0.03,2201.02,7418.05,8.36,99.69,98.54,100,0,37.32,100,0,0.1,1,,,99.62,100,0,-116.52,18.7111,50.3,0,168,10.23,0,,,319,320,1690,1715,262,261,20,20
,27-Feb-23,404-02-916019-1,99.62,99.86,0.09,1558.26,5788.89,8.96,100,99.63,100,0,33.62,100,0,0.09,0.77,,,100,100,0,-115.28,20.7921,76.62,0,243,11.12,0,,,245,245,1361,1366,247,247,39,39
,28-Feb-23,404-02-916019-1,99.97,99.87,0.05,1767.63,10197.56,8.6,99.75,99.62,100,0,27.36,100,0,0.34,0.72,,,99.52,100,0,-115.54,20.8185,80.08,0,357,9.43,0.03,,,397,398,2092,2100,210,209,52,52
,1-Mar-23,404-02-916019-1,99.89,100,0.01,1650.98,10520.44,8.4,99.52,99.44,100,0,27.87,100,0,0.09,0.78,,,100,100,0,-115.82,23.7483,79.9,0,242,7.94,0.03,,,414,416,2128,2140,276,276,51,51
,2-Mar-23,404-02-916019-1,100,100,0.04,1815.72,7220.44,8.4,99.53,98.84,0,0,43.37,100,0,0.17,1.12,,,99.6,100,0,-115.82,21.5584,80.29,0,214,10.92,0.05,,,420,422,2215,2241,497,495,49,49
PB_E_F3_OM_BTAL19B_B,26-Feb-23,404-02-916019-2,100,99.94,0.04,2154.83,13060.81,9.23,100,88.53,0,0,24.37,100,0,0.26,0.77,,,99.66,100,0,-115.44,18.0908,53.71,0,141,7.55,4.89,,,298,298,1497,1691,294,293,34,34
,27-Feb-23,404-02-916019-2,100,99.89,0,1866.93,25132.95,10.19,100,97.72,0,0,12.7,100,0.28,0.22,1.15,,,99.55,100,0,-115.42,16.0876,59.4,0,226,4.75,4.9,,,139,139,902,923,448,446,41,41
,28-Feb-23,404-02-916019-2,99.85,99.77,0.11,2061.15,7170.19,8.64,99.8,98.19,100,0,34.59,100,0,0.05,0.52,,,98.95,100,0,-115.92,20.4848,63.85,0,171,10.51,5.82,,,500,501,1949,1985,286,283,37,37
,1-Mar-23,404-02-916019-2,99.85,99.87,0.1,2145.41,10973.54,8.54,99.57,72.37,100,0,29.07,100,0.35,0.09,0.69,,,99.73,97.87,0,-115.86,19.2947,63.71,0,197,10.42,8.34,,,701,704,2441,3373,372,371,47,46
,2-Mar-23,404-02-916019-2,100,99.89,0,2083.92,6316.59,8.25,99.33,93.08,100,0,36.13,100,0.4,0.2,0.4,,,100,100,0,-116.04,21.123,62.83,0,129,9.66,5.53,,,448,451,1964,2110,330,330,39,39
PB_E_F3_OM_BTAL19C_C,26-Feb-23,404-02-916019-3,99.92,99.94,0.04,1754.68,9164.72,8.47,99.79,99.62,100,0,38.07,100,0,0.02,0.67,,,100,100,0,-115.34,24.7275,63.27,0,154,12.24,0.02,,,476,477,2601,2611,190,190,128,128
,27-Feb-23,404-02-916019-3,99.96,99.94,0.02,1875.06,9896.66,8.73,99.61,99.43,100,0,35.86,100,0.31,0.04,0.86,,,100,98.43,0,-114.59,26.2298,79.84,0,211,12.38,0.08,,,760,763,3115,3133,384,384,127,125
,28-Feb-23,404-02-916019-3,99.98,99.94,0.03,2196.89,8412.77,8.67,99.36,99.66,100,0,41.93,99.66,0,0.03,0.58,,,100,100,0,-115.05,25.4612,89.81,0,305,14.21,0.02,,,466,469,2949,2959,295,295,129,129
,1-Mar-23,404-02-916019-3,99.97,100,0.1,1986.54,8275.74,8.41,99.32,99.68,100,0,44.6,100,0.33,0.04,0.35,,,99.69,99.15,0,-115.06,24.4368,82.48,0,205,11.8,0.02,,,291,293,2203,2210,318,317,118,117
,2-Mar-23,404-02-916019-3,100,100,0.06,2566.99,14143.51,9.1,100,99.55,100,0,31.47,100,0,0.02,0.37,,,100,100,0,-115.11,28.1353,87.11,0,176,7.98,0.05,,,222,222,1564,1571,358,358,156,156
PB_E_F8_OM_BTAL19A_A,26-Feb-23,404-02-916019-31,100,100,0,5797.71,6867.84,8.03,100,98.73,100,0,15.05,100,0,0.09,1.04,,,100,,0,-115.04,4.4273,13.86,0,28,5.21,0,,,104,104,155,157,53,53,0,0
,27-Feb-23,404-02-916019-31,100,100,0.28,1158.79,3769.39,7.82,100,99.43,100,0,23.14,100,0,1.75,1.01,,,100,100,0,-114.34,3.906,18.62,0,25,5.49,0,,,124,124,173,174,47,47,7,7
,28-Feb-23,404-02-916019-31,99.65,99.9,0,1767.5,8483.52,8.45,100,99.5,100,0,15.92,100,0,0.1,1.27,,,100,100,0,-114.36,5.0492,18.22,0,24,4.95,0,,,186,186,198,199,186,186,29,29
,1-Mar-23,404-02-916019-31,100,100,0,1571.01,3858.38,7.26,96.49,100,0,0,28.33,100,0,1.75,0.77,,,100,100,0,-114.7,3.8455,18.17,0,15,6.8,0,,,110,114,79,79,31,31,14,14
,2-Mar-23,404-02-916019-31,99.78,99.75,0.23,1400.43,4193.01,7.24,99.6,99.03,0,0,21.24,100,0,0.08,0.8,,,100,100,0,-114.4,4.5037,16.82,0,14,6.05,0.12,,,248,249,102,103,82,82,8,8
PB_E_F8_OM_BTAL19B_B,26-Feb-23,404-02-916019-32,100,99.68,0,1471.4,8389.75,7.94,100,100,0,0,23.28,100,0,0.06,0.73,,,100,,0,-112.53,8.6008,18.91,0,19,5.66,3.67,,,148,148,91,91,175,175,0,0
,27-Feb-23,404-02-916019-32,100,99.4,0.27,1924.05,3426.85,7.04,99.03,100,0,0,40.42,100,1.64,0.04,0.41,,,98.7,,0,-111.06,8.7461,33.34,0,23,9.39,3.98,,,205,207,171,171,154,152,0,0
,28-Feb-23,404-02-916019-32,99.81,100,0.12,1254.68,4893.36,7.57,99.3,98.31,100,0,32.85,100,0,0.06,0.59,,,100,,0,-111.63,10.5204,22.43,0,20,9.79,6.43,,,425,428,232,236,117,117,0,0
,1-Mar-23,404-02-916019-32,99.78,99.87,0.06,1594.81,7010.45,8.08,99.56,99.1,100,0,24.5,100,0,0.1,1.75,,,100,,0,-113.2,10.1024,31.39,0,30,6.63,5.65,,,228,229,441,445,120,120,0,0
,2-Mar-23,404-02-916019-32,100,100,0,1556.3,4741.6,7.47,99.7,95.54,100,0,31.6,100,0,0.05,0.61,,,99.67,,0,-112.31,9.5537,31.61,0,24,8.46,2.6,,,331,332,193,202,304,303,0,0
PB_E_F8_OM_BTAL19C_C,26-Feb-23,404-02-916019-33,99.88,100,0.1,1886.36,4567.02,7.98,100,100,100,0,57.33,100,1.52,0.15,1.53,,,100,100,0,-113.04,23.6962,29.22,0,27,15.9,0,,,127,127,301,301,69,69,106,106
,27-Feb-23,404-02-916019-33,100,100,0.14,1783.11,3109.35,7.69,100,99.64,0,0,75.11,100,0.82,0.07,1.29,,,100,95.03,0,-112.8,21.6469,34.33,0,62,19.69,0,,,85,85,273,274,121,121,161,153
,28-Feb-23,404-02-916019-33,100,99.9,0,1772.33,5251.7,8.13,100,100,0,0,64.22,100,0,0.03,0.39,,,100,100,0,-113.2,24.0453,43.66,0,41,13.88,0,,,47,47,136,136,118,118,100,100
,1-Mar-23,404-02-916019-33,99.91,100,0.2,1782.75,2875.76,7.87,100,95.67,0,0,73.87,100,0,0.2,1.12,,,100,100,0,-113.32,23.3831,33.61,0,50,16.77,0,,,95,95,309,323,85,85,120,120
,2-Mar-23,404-02-916019-33,100,99.88,0,1595.66,6174.31,8.3,98,100,0,0,37.57,100,0,0.05,1.55,,,100,100,0,-111,21.4053,41.44,0,63,13.27,0.07,,,98,100,218,218,144,144,80,80
PB_E_T1_HS_ULS457A_A,26-Feb-23,404-02-701457-41,99.4,99.41,0.45,1173.1,25933.72,11.94,98.65,94.12,0,0,9.97,100,0,0.06,2.47,,,100,,0,-104.22,10.8512,5.6,0,10,16.61,26.99,,,73,74,96,102,1,1,0,0
,27-Feb-23,404-02-701457-41,99.82,99.31,2.18,661.45,26256.38,11.04,97.62,98.04,0,0,8.44,100,0,0,4.22,,,,,0,-102.8,6.6332,7.9,0,2,14.62,41.94,,,82,84,50,51,0,0,0,0
,28-Feb-23,404-02-701457-41,99.85,99.81,0.13,573.2,16002.78,11.01,98.39,98.91,0,0,12.2,100,0,0,0.33,,,100,,0,-111.38,8.6957,6.79,0,3,13.93,38.32,,,122,124,91,92,4,4,0,0
,1-Mar-23,404-02-701457-41,100,100,0.1,761.26,26237.89,12.31,100,100,100,0,8.56,100,0,0.02,0.79,,,100,,0,-109.16,10.3015,5.81,0,29,11.5,42.22,,,69,69,70,70,10,10,0,0
,2-Mar-23,404-02-701457-41,100,99.58,0.52,597.74,17523.76,11.41,98.48,97.14,0,0,17.37,100,0,0,0.76,,,100,,0,-108.72,9.5829,5.18,0,12,19.22,51.83,,,65,66,34,35,15,15,0,0
PB_E_T1_HS_ULS457B_B,26-Feb-23,404-02-701457-42,100,100,0.4,512.31,14660.02,10.92,97.12,100,100,0,19.28,100,0,0.01,0.47,,,,,0,-106.1,13.7245,11.3,0,13,17.64,42.7,,,101,104,47,47,0,0,0,0
,27-Feb-23,404-02-701457-42,100,99.78,0.18,408.74,14100.43,10.14,91.67,96.77,0,0,16.14,100,0,0.05,0.71,,,100,,0,-101.55,9.1645,6.91,0,36,20.08,33.98,,,44,48,30,31,8,8,0,0
,28-Feb-23,404-02-701457-42,100,100,0,313.96,18721.13,11.03,100,100,0,0,18.03,100,0,0.01,0.71,,,100,,0,-112.69,13.5745,9,0,36,15.2,35.59,,,46,46,7,7,16,16,0,0
,1-Mar-23,404-02-701457-42,100,99.87,0.5,699.62,14223.63,9.99,98.57,98.04,0,0,13.25,100,0,0,0.01,,,100,,0,-110.92,10.2946,6.78,0,29,15.02,38.92,,,69,70,50,51,4,4,0,0
,2-Mar-23,404-02-701457-42,100,99.36,1.29,466.03,16094.39,10.89,97.92,100,0,0,10.67,100,0,0.04,0.01,,,100,,0,-108,9.0047,9.51,0,45,12.46,17.75,,,47,48,19,19,9,9,0,0
PB_E_T1_HS_ULS457C_C,26-Feb-23,404-02-701457-43,100,100,0.12,1417.39,14500.3,10.53,100,100,0,0,13.91,100,0,0.01,0.09,,,100,,0,-114.1,10.7864,8.11,0,43,14.34,19.57,,,249,249,42,42,15,15,0,0
,27-Feb-23,404-02-701457-43,100,100,0,405.39,13632.23,9.89,95.08,100,0,0,21.71,100,0,0,0.17,,,90,,0,-111.3,13.8407,9.35,0,34,20.05,15.88,,,58,61,23,23,10,9,0,0
,28-Feb-23,404-02-701457-43,100,99.74,0.25,342.19,9506.2,10.05,96.4,100,0,0,27.49,100,0,0,0.26,,,100,,0,-116.58,19.4414,13.75,0,65,22.09,21.1,,,134,139,39,39,16,16,0,0
,1-Mar-23,404-02-701457-43,99.87,99.53,0.22,729.93,19982.19,10.98,100,100,100,0,11.86,100,0,0.04,0.3,,,100,,0,-116.39,12.8532,7.74,0,50,24.7,18.52,,,196,196,36,36,12,12,0,0
,2-Mar-23,404-02-701457-43,100,99.74,0.5,1044.47,27713.97,11.32,98.78,100,0,0,12.23,100,0,0.01,0.32,,,100,,0,-113.24,14.8501,8.41,0,40,17.35,12.3,,,162,164,20,20,13,13,0,0
PB_E_T1_IM_DKL617B_M,26-Feb-23,404-02-10108-46,100,100,0,752.62,18495.79,10.74,98.71,99.7,0,0,23.44,100,,0,0.31,,,100,100,0,-116.58,30.1716,0.24,0,32,13.67,0.03,,,307,311,2643,2651,2,2,34,34
,27-Feb-23,404-02-10108-46,100,100,0,915.31,15134.25,9.38,100,99.78,0,0,25.38,100,0,0.19,2.47,,,100,97.62,0,-116.55,19.9864,0.28,0,35,13.87,0,,,391,391,2289,2294,2,2,84,82
,28-Feb-23,404-02-10108-46,100,100,0.02,537.32,11159.19,9.55,99.74,99.62,0,0,30.84,100,,0.26,3.13,,,100,100,0,-116.69,20.206,0.23,0,33,13.12,0,,,381,382,2626,2636,3,3,55,55
