Short name,,2G CGI,SDCCH Blocking Rate [BBH],SDCCH Drop Call Rate [BBH],TCH Blocking Rate [BBH],TCH Drop Call Rate [BBH],Handover Success Rate [BBH],RX Quality [BBH],Total Voice Traffic,Handover Success Rate_Denom [BBH],Drop Call Rate_Nom [BBH],Drop Call Rate_Denom [BBH],Number of TRX [BBH],ICM%[BBH],Cell Downtime [sec] [BBH],TCH Utilization [BBH],Handover Success Rate_Nom [BBH]
AMS326A,28-Feb-23,404-2-2006-61261,,,,,,,,,,,,,,,
,01-Mar-23,404-2-2006-61261,0,0.17,0,,,,14.91,0,0,141,2,0.32,0,54.85,0
,02-Mar-23,404-2-2006-61261,0,0.25,0,0,,94.51,58.12,0,0,196,2,0.18,0,101.12,0
,03-Mar-23,404-2-2006-61261,0,0,0,0,89.16,94.72,42.63,166,1,118,2,0.14,0,75.74,148
,04-Mar-23,404-2-2006-61261,0,0.25,0,0.28,92,95.96,44.06,100,0,152,2,0.24,0,58.67,92
AMS326B,28-Feb-23,404-2-2006-61262,,,,,,,,,,,,,,,
,01-Mar-23,404-2-2006-61262,0,0.8,0,,,,27.12,0,0,195,2,2.11,0,82.66,0
,02-Mar-23,404-2-2006-61262,0,1.14,0,0,,91.91,60.25,0,1,199,2,2.3,0,87.16,0
,03-Mar-23,404-2-2006-61262,0,0.81,0,0.25,95.11,91.23,52.14,307,0,212,2,1.77,0,105.79,292
,04-Mar-23,404-2-2006-61262,0,0.69,0,0.17,92.33,92.88,93.31,300,2,219,2,2.44,0,120.67,277
AMS326C,28-Feb-23,404-2-2006-61263,,,,,,,,,,,,,,,
,01-Mar-23,404-2-2006-61263,0,0.44,0,,,,22.31,0,0,226,2,11.25,356,103.08,0
,02-Mar-23,404-2-2006-61263,0,0.2,0,0,,93.14,51.84,0,0,321,2,6.19,0,104.39,0
,03-Mar-23,404-2-2006-61263,0,0.1,0.09,0,,91.48,61.46,0,0,979,2,17.13,0,186.27,0
,04-Mar-23,404-2-2006-61263,0,0.47,0,0,94.07,89.94,57.18,118,3,180,2,7.91,0,70.69,111
AMS326D,28-Feb-23,404-2-2006-61264,,,,,,,,,,,,,,,
,01-Mar-23,404-2-2006-61264,0,0.57,0,,,,11.28,0,0,68,2,1.1,0,44.35,0
,02-Mar-23,404-2-2006-61264,0,0.4,0,0,,91.42,29.97,0,0,99,2,0.56,0,49.65,0
,03-Mar-23,404-2-2006-61264,0,0,0,0,96.2,92.48,29.75,316,1,122,2,0.2,0,69.15,304
,04-Mar-23,404-2-2006-61264,0,0.3,0,0.27,96,94.02,45.88,175,0,58,2,0.12,0,69.84,168
CHD638A,28-Feb-23,404-2-2072-46631,0,0.25,0,1.56,94.12,96.8,42.12,68,1,115,2,2.5,0,64.19,64
,01-Mar-23,404-2-2072-46631,0,0.27,0,1.27,100,97.15,43.33,53,2,114,2,0.7,0,70.24,53
,02-Mar-23,404-2-2072-46631,0,0,0,1.36,98.73,97.19,35.25,79,0,124,2,1.46,0,56.29,78
,03-Mar-23,404-2-2072-46631,0,0.45,0,0.87,100,97.82,37.04,89,1,100,2,2.36,0,54.59,89
,04-Mar-23,404-2-2072-46631,0,0.23,0,0.92,98.81,97.41,39.31,84,1,128,2,1.05,0,59.36,83
CHD638B,28-Feb-23,404-2-2072-46632,0,0,0,2.35,100,98.07,26.24,106,0,108,2,17.68,0,50.09,106
,01-Mar-23,404-2-2072-46632,0,0,0,1.23,97.22,97.67,25.34,72,1,88,2,6.75,0,49.16,70
,02-Mar-23,404-2-2072-46632,0,0,0,0.38,100,97.85,23.99,67,0,86,2,10.22,0,41.95,67
,03-Mar-23,404-2-2072-46632,0,0,0,0.38,99.09,97.84,25.64,110,0,80,2,10.13,0,46.88,109
,04-Mar-23,404-2-2072-46632,0,0.38,0,0.38,97.4,97.95,29.75,77,0,159,2,0.57,0,61.75,75
CHD638C,28-Feb-23,404-2-2072-46633,0,0,0,0.58,98.74,98.32,75.59,159,3,360,2,6.58,0,128.77,157
,01-Mar-23,404-2-2072-46633,0,0.11,0,0.67,99.4,98.45,73.51,166,1,338,2,7.08,0,127.22,165
,02-Mar-23,404-2-2072-46633,0,0,0,0.57,99.39,98.46,69.4,165,0,332,2,4.89,0,141.69,164
,03-Mar-23,404-2-2072-46633,0,0.15,0,0.38,98.86,98.27,75.28,175,0,315,2,6.58,0,122.42,173
,04-Mar-23,404-2-2072-46633,0,0.65,0,0.1,97.16,98.45,68.24,141,1,288,2,8.85,0,110.19,137
CHD638D,28-Feb-23,404-2-2072-46634,,,,,,,,,,,,,,,
,01-Mar-23,404-2-2072-46634,,,,,,,,,,,,,,,
,02-Mar-23,404-2-2072-46634,,,,,,,,,,,,,,,
,03-Mar-23,404-2-2072-46634,,,,,,,,,,,,,,,
,04-Mar-23,404-2-2072-46634,,,,,,,,,,,,,,,
DKLH39A,28-Feb-23,404-2-2708-64391,0,0.31,0,0.36,92.68,97.23,60.38,41,0,134,2,0,0,95.78,38
,01-Mar-23,404-2-2708-64391,0,0.31,0,0,87.5,97.21,56.31,40,0,120,2,0,0,81.23,35
,02-Mar-23,404-2-2708-64391,0,0.19,0,0,94.34,96.96,63.76,53,1,123,2,0,0,95.2,50
,03-Mar-23,404-2-2708-64391,0,0.19,0,0.27,95.74,96.64,54.84,47,0,149,2,0.36,0,84.6,45
,04-Mar-23,404-2-2708-64391,0,0.19,0,0.27,97.83,96.95,60.92,46,1,146,2,0,0,102.91,45
DKLH39B,28-Feb-23,404-2-2708-64392,0,1.51,0,0.48,97.18,96.96,53.22,71,0,151,2,0,0,79.42,69
,01-Mar-23,404-2-2708-64392,0,0.55,0,0.48,91.67,96.07,48.31,48,5,125,2,0,0,65.81,44
,02-Mar-23,404-2-2708-64392,0,1.25,0,1.82,92.86,96.46,48.71,84,0,113,2,0,0,69.95,78
,03-Mar-23,404-2-2708-64392,0,0.66,0,1.33,94.92,96.24,47.11,59,2,125,2,0,0,82.58,56
,04-Mar-23,404-2-2708-64392,0,1.07,0,1.87,88.73,97.19,47.03,71,1,98,2,0,0,69.08,63
DKLH39C,28-Feb-23,404-2-2708-64393,0,0,0,0,100,98.44,40.42,34,1,102,2,0,0,72.14,34
,01-Mar-23,404-2-2708-64393,0,0,0,0.33,81.25,98.29,37.91,16,0,83,2,0.27,0,77.9,13
,02-Mar-23,404-2-2708-64393,0,0,0,0.33,95.45,98.02,40.16,44,0,52,2,0.08,0,55.54,42
,03-Mar-23,404-2-2708-64393,0,0,0,0.33,92.86,97.9,38.75,28,1,61,2,0,0,62.46,26
,04-Mar-23,404-2-2708-64393,0,0,0,0.55,100,98.15,35.98,39,0,110,2,0,0,66.68,39
PLKS01A,28-Feb-23,404-2-2066-28011,0,0.86,0,2.07,95.83,88.99,104.55,48,1,132,2,3.09,0,137.99,46
,01-Mar-23,404-2-2066-28011,0,1.45,0,1.65,98.48,89.97,126.85,66,2,283,2,7.91,0,165.73,65
,02-Mar-23,404-2-2066-28011,0,1.63,2.61,1.26,91.49,90.61,97.95,47,19,293,2,10.27,226,176.21,43
,03-Mar-23,404-2-2066-28011,0,2.02,0,2.65,91.67,91.63,106.84,36,4,164,2,3.74,0,147.92,33
,04-Mar-23,404-2-2066-28011,0,2.06,0,3.21,98.18,91.14,104.43,55,4,300,2,4.15,0,146.12,54
PLKS01B,28-Feb-23,404-2-2066-28012,0,1.64,9.94,1.07,94.52,97.22,48.06,73,1,152,2,0,0,431.79,69
,01-Mar-23,404-2-2066-28012,0,1.13,17.24,0.87,92.66,96.79,50.85,109,1,165,2,0.55,0,438.25,101
,02-Mar-23,404-2-2066-28012,0,1.72,3.11,0.82,95.5,97.33,47.43,111,3,155,2,0,0,395.38,106
,03-Mar-23,404-2-2066-28012,0,1.41,20.83,1.07,94.34,97.62,49.48,106,4,187,2,0,0,492.99,100
,04-Mar-23,404-2-2066-28012,0,0.38,14.29,1.56,95.56,97.63,56.84,90,1,173,2,0,0,459.34,86
PLKS01C,28-Feb-23,404-2-2066-28013,0,1.61,0,4.2,98.04,93.48,44.87,51,1,116,2,0,0,57.3,50
,01-Mar-23,404-2-2066-28013,0,1.62,0,2.21,95.77,92.6,46.28,71,2,103,2,0,0,71.77,68
,02-Mar-23,404-2-2066-28013,0,1.67,0,2.86,83.33,90.79,46.05,54,3,85,2,0,0,71.21,45
,03-Mar-23,404-2-2066-28013,0,1.87,0,2.11,98.08,93.04,50.83,52,2,116,2,0,0,76.13,51
,04-Mar-23,404-2-2066-28013,0,0.36,0,2.4,96.3,92.68,41.17,27,1,50,2,0,0,48.66,26
PLKS01D,28-Feb-23,404-2-2066-28014,0,0,0,0,,100,0.7,0,0,1,2,0,0,3.44,0
,01-Mar-23,404-2-2066-28014,0,0,0,0,,100,0.76,0,0,14,2,0.05,0,2.94,0
,02-Mar-23,404-2-2066-28014,0,0,0,0,100,100,1.01,1,0,11,2,0.05,0,2.82,1
,03-Mar-23,404-2-2066-28014,0,0,0,0,100,100,0.63,2,0,10,2,0,0,2.39,2
,04-Mar-23,404-2-2066-28014,0,0,0,0,100,99.97,0.98,2,0,7,2,0,0,3.19,2
PLKS01E,28-Feb-23,404-2-2066-28015,0,0,0,0,100,99.83,26.07,8,0,83,2,1.26,0,51.75,8
,01-Mar-23,404-2-2066-28015,0,0.65,0,0,100,99.85,23.29,10,0,77,2,1.21,0,38.02,10
,02-Mar-23,404-2-2066-28015,0,0,0,0,100,99.78,21.88,14,0,96,2,0.7,0,37.7,14
,03-Mar-23,404-2-2066-28015,0,0,0,0,100,99.8,27.34,11,0,98,2,0.25,0,59.82,11
,04-Mar-23,404-2-2066-28015,0,0,0,0,100,99.7,20.25,4,1,87,2,0.16,0,50.1,4
KIk330A,28-Feb-23,404-2-2097-62331,0,0,0,0.17,100,90.32,62.88,28,0,141,2,0.18,0,86.83,28
,01-Mar-23,404-2-2097-62331,0,0,0,0,100,92.03,71.46,24,2,100,2,0,0,84.37,24
,02-Mar-23,404-2-2097-62331,0,0,0,0.67,95.74,92.07,68.98,47,0,191,2,0,0,65.88,45
,03-Mar-23,404-2-2097-62331,0,0.63,0,0.67,97.22,92.27,62.96,36,1,149,2,0.52,0,64,35
,04-Mar-23,404-2-2097-62331,0,0.31,0,0.89,94.44,92.36,67.14,36,0,153,2,0.34,0,75.83,34
KIk330B,28-Feb-23,404-2-2097-62332,0,0,0,0,100,98.15,24.72,33,0,139,2,0.43,0,36.89,33
,01-Mar-23,404-2-2097-62332,0,0,0,0,94.44,98.57,25.42,36,0,146,2,0.85,0,54.07,34
,02-Mar-23,404-2-2097-62332,0,0,0,0,100,98.03,25.98,16,0,116,2,0,0,48.43,16
,03-Mar-23,404-2-2097-62332,0,0.38,0,0,100,97.99,24.67,25,0,119,2,1.95,0,38.21,25
,04-Mar-23,404-2-2097-62332,0,0,0,0,93.75,97.62,29.44,16,0,163,2,1.75,0,47.94,15
KIk330C,28-Feb-23,404-2-2097-62333,0,0.35,0,0.51,92.73,97.26,32.2,55,2,87,2,0,0,39.68,51
,01-Mar-23,404-2-2097-62333,0,0,0,0.77,91.07,97.8,26.13,56,2,133,2,0,0,46.37,51
,02-Mar-23,404-2-2097-62333,0,0,0,1.27,100,97.85,23.7,49,0,82,2,0,0,33.6,49
,03-Mar-23,404-2-2097-62333,0,0,0,1.27,88.89,97.42,26.43,45,1,114,2,0,0,39.47,40
,04-Mar-23,404-2-2097-62333,0,0,0,0.79,93.75,96.43,26.96,32,1,71,2,0.1,0,36.23,30
