"Short name",,"4G_ECGI","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","TA Sampls > 1.5 Km % [CDBH]","VoLTE Packet Loss DL_Nom [CBBH]","VoLTE Packet Loss UL_Nom [CBBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE IntraF HOSR Exec_DENOM [CBBH]","VoLTE IntraF HOSR Exec_NOM [CBBH]","VoLTE InterF HOSR Exec_DENOM [CBBH]","VoLTE InterF HOSR Exec_NOM [CBBH]"
"PB_E_F3_OM_CHD173A_A_FDD","28 Feb 23","404-02-912173-21",99.99,99.94,0.05,844.17,3553.44,10.13,100.00,99.59,100.00,0.00,87.39,100.00,0.00,0.01,0.06,,,100.00,100.00,0.00,-117.10,105.7906,202.00,0.00,381.00,28.39,0.00,,,440.00,440.00,6118.00,6143.00,186.00,186.00,84.00,84.00
,"1 Mar 23","404-02-912173-21",100.00,99.98,0.05,577.41,3724.96,10.49,100.00,99.84,100.00,0.00,84.55,100.00,0.00,0.01,0.03,,,100.00,100.00,0.00,-117.20,101.6049,181.14,0.00,263.00,29.11,0.04,,,327.00,327.00,6156.00,6166.00,124.00,124.00,56.00,56.00
,"2 Mar 23","404-02-912173-21",99.98,99.98,0.05,776.73,4033.92,10.36,99.69,99.77,100.00,0.00,85.47,100.00,0.18,0.02,0.03,,,99.31,100.00,0.00,-117.22,93.7565,181.22,0.00,340.00,25.76,0.00,,,326.00,327.00,6456.00,6471.00,144.00,143.00,86.00,86.00
,"3 Mar 23","404-02-912173-21",99.98,100.00,0.03,1361.53,6244.42,10.57,100.00,100.00,100.00,0.00,75.85,100.00,0.22,0.01,0.05,,,100.00,100.00,0.00,-117.17,96.4083,198.15,0.00,310.00,23.96,0.00,,,203.00,203.00,5122.00,5122.00,137.00,137.00,54.00,54.00
,"4 Mar 23","404-02-912173-21",99.88,99.89,0.13,923.60,2800.59,9.97,100.00,99.70,100.00,0.00,91.48,100.00,0.00,0.00,0.05,,,100.00,100.00,0.00,-117.29,105.5584,178.17,0.00,204.00,31.19,0.00,,,322.00,322.00,5064.00,5079.00,132.00,132.00,58.00,58.00
"PB_E_F3_OM_CHD173B_B_FDD","28 Feb 23","404-02-912173-22",100.00,100.00,0.00,1826.26,28563.69,10.38,100.00,99.72,100.00,0.00,12.69,100.00,0.00,0.00,0.03,,,100.00,100.00,0.00,-118.70,10.2694,17.94,0.00,24.00,2.79,0.00,,,136.00,136.00,350.00,351.00,45.00,45.00,4.00,4.00
,"1 Mar 23","404-02-912173-22",100.00,100.00,0.00,18465.59,39127.88,10.42,98.90,100.00,100.00,0.00,7.71,100.00,0.00,0.01,0.04,,,100.00,100.00,0.00,-118.55,12.2253,19.75,0.00,35.00,5.02,0.00,,,90.00,91.00,659.00,659.00,95.00,95.00,3.00,3.00
,"2 Mar 23","404-02-912173-22",100.00,99.86,0.00,1860.05,21762.21,9.43,100.00,100.00,0.00,0.00,11.44,100.00,0.00,0.01,0.03,,,100.00,100.00,0.00,-118.69,10.3311,16.36,0.00,29.00,3.96,0.00,,,199.00,199.00,654.00,654.00,78.00,78.00,1.00,1.00
,"3 Mar 23","404-02-912173-22",100.00,99.95,0.00,2261.53,25655.92,9.51,100.00,100.00,100.00,0.00,9.89,100.00,0.00,0.00,0.02,,,100.00,100.00,0.00,-118.89,8.9282,18.08,0.00,22.00,3.24,0.00,,,179.00,179.00,620.00,620.00,53.00,53.00,1.00,1.00
,"4 Mar 23","404-02-912173-22",100.00,99.91,0.00,1105.93,21133.16,8.97,99.35,100.00,100.00,0.00,21.73,100.00,0.00,0.00,0.04,,,100.00,,0.00,-118.86,12.1370,19.52,0.00,11.00,5.51,0.00,,,154.00,155.00,645.00,645.00,52.00,52.00,0.00,0.00
