"Short name",,"2G CGI","SDCCH Blocking Rate [BBH]","SDCCH Drop Call Rate [BBH]","TCH Blocking Rate [BBH]","TCH Drop Call Rate [BBH]","Handover Success Rate [BBH]","RX Quality [BBH]","Total Voice Traffic","Handover Success Rate_Denom [BBH]","Drop Call Rate_Nom [BBH]","Drop Call Rate_Denom [BBH]","Number of TRX [BBH]","ICM%[BBH]","Cell Downtime [sec] [BBH]","TCH Utilization [BBH]","Handover Success Rate_Nom [BBH]"
"ZTE-PJ2-ZLUD3329A","9 Feb 23","404-2-2042-33291",0.00,0.00,0.00,0.72,94.01,94.64,91.55,401.00,4.00,378.00,3.00,19.23,0.00,84.77,377.00
,"10 Feb 23","404-2-2042-33291",0.00,0.10,0.00,0.90,95.91,94.36,92.18,391.00,5.00,388.00,3.00,15.82,0.00,101.02,375.00
,"11 Feb 23","404-2-2042-33291",0.00,0.00,0.26,1.03,95.73,95.44,106.74,468.00,0.00,402.00,3.00,9.74,0.00,112.76,448.00
,"12 Feb 23","404-2-2042-33291",0.00,0.00,0.00,0.78,97.32,95.59,41.56,112.00,0.00,122.00,3.00,2.37,0.00,31.77,109.00
,"13 Feb 23","404-2-2042-33291",0.00,0.00,0.00,0.43,97.05,96.66,97.82,373.00,3.00,321.00,3.00,18.22,0.00,84.79,362.00
"ZTE-PJ2-ZLUD3329B","9 Feb 23","404-2-2042-33292",0.00,0.25,0.00,1.12,97.86,93.64,118.89,234.00,5.00,227.00,2.00,6.74,0.00,154.09,229.00
,"10 Feb 23","404-2-2042-33292",0.00,0.00,0.00,1.86,98.15,93.79,118.11,216.00,1.00,192.00,2.00,2.85,0.00,159.86,212.00
,"11 Feb 23","404-2-2042-33292",0.00,0.00,0.00,1.01,98.22,96.61,111.25,337.00,5.00,177.00,2.00,7.17,0.00,151.99,331.00
,"12 Feb 23","404-2-2042-33292",0.00,0.00,0.00,1.85,97.50,96.49,121.46,280.00,5.00,241.00,2.00,5.21,0.00,176.57,273.00
,"13 Feb 23","404-2-2042-33292",0.00,0.00,0.00,1.81,96.31,96.65,123.43,352.00,6.00,234.00,2.00,6.39,0.00,173.84,339.00
"ZTE-PJ2-ZLUD3329C","9 Feb 23","404-2-2042-33293",0.00,0.30,0.00,0.56,98.41,97.09,113.60,378.00,0.00,420.00,2.00,2.95,0.00,169.71,372.00
,"10 Feb 23","404-2-2042-33293",0.00,0.00,0.00,0.27,98.33,97.57,112.35,300.00,0.00,302.00,2.00,18.68,0.00,147.60,295.00
,"11 Feb 23","404-2-2042-33293",0.00,0.14,0.34,0.27,98.64,97.70,101.88,295.00,0.00,294.00,2.00,13.05,0.00,137.82,291.00
,"12 Feb 23","404-2-2042-33293",0.00,0.00,0.00,0.00,96.52,97.57,93.43,230.00,3.00,204.00,2.00,4.96,0.00,104.18,222.00
,"13 Feb 23","404-2-2042-33293",0.00,0.13,0.00,0.49,98.93,97.59,122.36,373.00,3.00,358.00,2.00,21.83,0.00,190.94,369.00
"ZTE-PJ2-ZLUD3329D","9 Feb 23","404-2-2042-33294",0.00,0.00,0.00,0.32,96.71,97.91,72.64,243.00,1.00,387.00,3.00,5.66,0.00,89.84,235.00
,"10 Feb 23","404-2-2042-33294",0.00,0.00,0.00,0.41,96.79,97.76,79.00,280.00,1.00,422.00,3.00,6.53,0.00,96.49,271.00
,"11 Feb 23","404-2-2042-33294",0.00,0.00,0.00,0.17,99.63,97.84,77.71,272.00,2.00,394.00,3.00,7.18,0.00,91.54,271.00
,"12 Feb 23","404-2-2042-33294",0.00,0.00,0.00,0.33,98.08,97.81,49.98,104.00,0.00,189.00,3.00,2.39,0.00,40.26,102.00
,"13 Feb 23","404-2-2042-33294",0.00,0.00,0.00,0.25,94.02,98.26,74.07,234.00,0.00,356.00,3.00,10.94,0.00,89.62,220.00
"ZTE-PJ2-ZLUD890A","9 Feb 23","404-2-2047-64901",0.00,0.18,0.00,2.92,91.47,97.41,49.70,129.00,4.00,124.00,2.00,0.31,0.00,70.03,118.00
,"10 Feb 23","404-2-2047-64901",0.00,0.00,0.00,2.50,98.32,97.55,51.77,119.00,1.00,135.00,2.00,0.15,0.00,63.77,117.00
,"11 Feb 23","404-2-2047-64901",0.00,0.00,0.00,1.79,90.74,97.48,49.53,108.00,2.00,116.00,2.00,0.00,0.00,63.42,98.00
,"12 Feb 23","404-2-2047-64901",0.00,0.29,0.00,1.90,92.50,97.75,48.65,120.00,2.00,67.00,2.00,0.00,0.00,64.18,111.00
,"13 Feb 23","404-2-2047-64901",0.00,0.00,0.00,1.82,90.57,97.78,41.94,106.00,2.00,96.00,2.00,0.23,0.00,60.40,96.00
"ZTE-PJ2-ZLUD890B","9 Feb 23","404-2-2047-64902",0.00,0.00,0.00,0.14,95.03,98.99,97.36,161.00,1.00,289.00,2.00,0.00,0.00,132.04,153.00
,"10 Feb 23","404-2-2047-64902",0.00,0.25,0.00,0.26,95.68,98.90,85.02,185.00,1.00,225.00,2.00,0.00,0.00,127.18,177.00
,"11 Feb 23","404-2-2047-64902",0.00,0.48,0.00,0.41,97.28,98.93,83.75,147.00,3.00,165.00,2.00,0.00,0.00,125.41,143.00
,"12 Feb 23","404-2-2047-64902",0.00,0.00,0.00,0.87,97.37,98.76,70.59,114.00,1.00,168.00,2.00,0.00,0.00,90.88,111.00
,"13 Feb 23","404-2-2047-64902",0.00,0.18,0.00,0.95,95.71,98.74,96.25,163.00,2.00,155.00,2.00,0.00,0.00,115.33,156.00
"ZTE-PJ2-ZLUD890C","9 Feb 23","404-2-2047-64903",0.00,0.00,0.00,1.45,100.00,97.60,33.82,68.00,0.00,44.00,2.00,0.00,0.00,48.92,68.00
,"10 Feb 23","404-2-2047-64903",0.00,1.27,0.00,1.45,98.11,97.81,38.16,106.00,0.00,61.00,2.00,0.00,0.00,67.10,104.00
,"11 Feb 23","404-2-2047-64903",0.00,0.00,0.00,0.65,98.44,98.36,29.25,64.00,1.00,46.00,2.00,0.27,0.00,54.08,63.00
,"12 Feb 23","404-2-2047-64903",0.00,0.00,0.00,0.72,97.01,98.34,30.18,67.00,0.00,55.00,2.00,0.07,0.00,40.38,65.00
,"13 Feb 23","404-2-2047-64903",0.00,0.00,0.00,0.72,98.77,98.39,32.88,81.00,0.00,70.00,2.00,0.00,0.00,45.95,80.00
"ZTE-PJ3-ZBTAL19A","9 Feb 23","404-2-2010-60191",0.00,0.00,0.00,0.52,97.06,97.75,27.53,68.00,1.00,49.00,2.00,0.00,0.00,40.52,66.00
,"10 Feb 23","404-2-2010-60191",0.00,0.00,0.00,1.21,98.04,97.81,24.05,306.00,0.00,93.00,2.00,0.09,0.00,35.54,300.00
,"11 Feb 23","404-2-2010-60191",0.00,0.00,0.00,1.21,98.48,98.22,24.40,263.00,1.00,117.00,2.00,0.48,0.00,40.77,259.00
,"12 Feb 23","404-2-2010-60191",0.00,0.00,0.00,0.97,98.88,97.21,17.71,357.00,0.00,87.00,2.00,0.13,0.00,29.33,353.00
,"13 Feb 23","404-2-2010-60191",0.00,0.66,0.00,0.28,95.45,96.54,24.60,242.00,0.00,184.00,2.00,0.22,0.00,39.28,231.00
"ZTE-PJ3-ZBTAL19B","9 Feb 23","404-2-2010-60192",0.00,1.79,0.00,0.29,98.49,96.75,34.10,661.00,0.00,89.00,2.00,0.09,0.00,65.06,651.00
,"10 Feb 23","404-2-2010-60192",0.00,0.00,0.00,0.29,99.69,96.85,37.28,321.00,1.00,129.00,2.00,0.29,0.00,57.64,320.00
,"11 Feb 23","404-2-2010-60192",0.00,0.00,0.00,0.55,99.44,97.14,34.22,711.00,0.00,67.00,2.00,0.08,0.00,51.42,707.00
,"12 Feb 23","404-2-2010-60192",0.00,0.68,0.00,0.26,97.06,97.35,33.07,238.00,1.00,54.00,2.00,0.00,0.00,52.19,231.00
,"13 Feb 23","404-2-2010-60192",0.00,0.44,0.00,0.88,99.39,97.54,35.15,495.00,0.00,100.00,2.00,0.07,0.00,46.87,492.00
"ZTE-PJ3-ZBTAL19C","9 Feb 23","404-2-2010-60193",0.00,1.51,0.00,0.00,96.00,98.13,48.77,100.00,0.00,156.00,3.00,0.00,0.00,58.05,96.00
,"10 Feb 23","404-2-2010-60193",0.00,0.73,0.00,0.00,96.99,98.27,49.41,166.00,1.00,204.00,3.00,0.38,0.00,73.34,161.00
,"11 Feb 23","404-2-2010-60193",0.00,0.00,0.00,0.16,98.44,98.12,47.40,128.00,1.00,147.00,3.00,0.99,0.00,71.03,126.00
,"12 Feb 23","404-2-2010-60193",0.00,0.35,0.00,0.39,98.53,98.35,45.50,136.00,0.00,148.00,3.00,0.22,0.00,63.02,134.00
,"13 Feb 23","404-2-2010-60193",0.00,0.28,0.00,0.39,97.26,98.34,53.55,146.00,0.00,193.00,3.00,2.27,0.00,80.94,142.00
