Short name,,4G_ECGI,MV_RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_E-UTRAN Average CQI [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],Paging record discarded At eNodeB [CDBH],MV_Average number of used DL PRBs [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE DCR [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],MV_PUSCH SINR [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE SRVCC Per Call Rate [CBBH],UL RSSI,MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_VoLTE SRVCC Per Call Rate_Nom [CBBH],MV_VoLTE SRVCC Per Call Rate_Denom [CBBH],MV_Average number of used UL PRBs [CDBH],TA Sampls > 1.5 Km % [CDBH],VoLTE Packet Loss DL_Nom [CBBH],VoLTE Packet Loss UL_Nom [CBBH],PS handover success rate_NOM [LTE Intra System] [CDBH],PS handover success rate_DENOM [LTE Intra System] [CDBH],PS handover success rate_NOM [LTE Inter System] [CDBH],PS handover success rate_DENOM [LTE Inter System] [CDBH],VoLTE IntraF HOSR Exec_DENOM [CBBH],VoLTE IntraF HOSR Exec_NOM [CBBH],VoLTE InterF HOSR Exec_DENOM [CBBH],VoLTE InterF HOSR Exec_NOM [CBBH]
PB_E_F3_OM_BTAL19A_A,09-Feb-23,404-02-916019-1,99.84,99.9,0.07,1837.52,10336.59,8.68,99.4,99.87,100,0,34.08,100,0,0.12,1.17,,,98.66,100,0,-115.58,22.3051,63.24,0,250,9.51,0.08,,,659,663,3090,3094,298,294,34,34
,10-Feb-23,404-02-916019-1,100,99.95,0,1822.59,9039.3,7.87,99.62,99.14,100,0,32.94,100,0,0.07,1.32,,,99.07,100,0,-115.75,21.1125,66.85,0,184,7.83,0,,,265,266,1153,1163,214,212,25,25
,11-Feb-23,404-02-916019-1,100,100,0.04,1920.03,6958.91,8.05,99.3,99.76,100,0,34.69,100,0,0.11,0.81,,,99.37,100,0,-115.39,22.4531,66.17,0,252,8.95,0,,,283,285,1229,1232,318,316,26,26
,12-Feb-23,404-02-916019-1,99.95,99.97,0.12,2033.94,8561.58,7.89,99.4,99.65,100,0,47.06,100,0,0.04,0.35,,,100,100,0,-116.02,15.2993,45.99,0,132,8.35,0,,,330,332,1419,1424,328,328,14,14
,13-Feb-23,404-02-916019-1,99.96,99.95,0,2935.98,10959.26,8.03,99.67,99.67,0,0,38.73,100,0,0.13,0.69,,,98.84,100,0,-115.53,20.8345,75.23,0,260,10.14,0,,,305,306,1512,1517,345,341,34,34
PB_E_F3_OM_BTAL19B_B,09-Feb-23,404-02-916019-2,99.48,99.79,0.2,1899.31,2167.63,6.28,98,95.52,100,0,79.53,99.03,0.34,0.26,1.77,,,98.52,100,0,-114.77,37.573,95.41,0,233,20.43,16.22,,,1175,1199,2604,2726,677,667,58,58
,10-Feb-23,404-02-916019-2,99.91,99.88,0.12,1893.42,2560.5,6.17,99.11,99.24,100,0,77.36,100,0,0.21,1.25,,,99.42,100,0,-115.47,34.0651,113.53,0,288,15.79,10.67,,,443,447,1824,1838,860,855,52,52
,11-Feb-23,404-02-916019-2,99.86,99.99,0.02,2051.06,9359.93,6.98,100,99.51,100,0,37.63,100,0.26,0.22,1.53,,,99.6,98.08,0,-115.2,34.0889,95.82,0,263,11.82,9.74,,,224,224,1023,1028,744,741,52,51
,12-Feb-23,404-02-916019-2,99.72,99.92,0.22,1602.58,2642.83,6.3,98.27,93.29,100,0,74.07,100,0.27,0.17,2.03,,,99.31,100,0,-115.39,30.4746,98.46,0,251,16.09,9.01,,,680,692,3144,3370,723,718,47,47
,13-Feb-23,404-02-916019-2,99.83,99.83,0.08,2315.65,2933.9,6.73,99.04,99.06,100,0,61.12,100,0,0.15,1.28,,,99.23,100,0,-115.68,28.1759,116.28,0,306,16.48,9.31,,,1033,1043,3602,3636,775,769,67,67
PB_E_F3_OM_BTAL19C_C,09-Feb-23,404-02-916019-3,99.82,99.94,0.14,1593.66,2752.25,7.02,99.52,99.35,100,0,75.01,99.65,0,0.04,0.76,,,100,99.8,0,-114.42,46.3091,94.46,0,313,22.5,0.62,,,1659,1667,5214,5248,269,269,1486,1483
,10-Feb-23,404-02-916019-3,99.76,99.95,0.14,1404.3,1389.52,6.36,98.82,99.63,100,0,90.36,99.7,0.22,0.09,0.79,,,99.57,99.41,0,-114.51,46.548,97.59,0,371,25.14,0.22,,,1002,1014,3743,3757,468,466,1356,1348
,11-Feb-23,404-02-916019-3,100,100,0.09,1729.66,2489.36,6.9,98.89,99.46,100,0,82.43,100,0,0.06,0.58,,,99.71,99.39,0,-114.48,45.3512,112.96,0,289,18.01,0.28,,,533,539,2971,2987,341,340,653,649
,12-Feb-23,404-02-916019-3,99.98,99.93,0.07,2076.59,3443.76,7.07,99.55,99.67,100,0,70.62,100,0,0.05,0.39,,,100,100,0,-115.19,44.0609,83.67,0,224,17.32,0.12,,,440,442,2982,2992,349,349,841,841
,13-Feb-23,404-02-916019-3,99.92,99.94,0.06,1712.33,7113.24,8.35,99.6,99.83,100,0,52.2,100,0,0.05,0.63,,,100,99.84,0,-114.58,42.4234,103.77,0,255,20.72,0.41,,,1246,1251,6491,6502,336,336,1271,1269
PB_E_F3_OM_KHER62A_A,09-Feb-23,404-02-913962-21,99.97,100,0.05,1073.62,12120.37,11.29,99.64,99.65,100,0,63.76,99.35,0.38,0.01,0.09,,,100,100,0,-118.31,95.6274,95.12,0,166,19.25,8.33,,,280,281,857,860,78,78,62,62
,10-Feb-23,404-02-913962-21,100,99.93,0.03,1116.79,12683.97,10.97,99.57,99.56,100,0,57.16,100,0,0.02,0.03,,,98.65,100,0,-118.62,87.8377,92.92,0,166,17.42,12.89,,,231,232,678,681,74,73,82,82
,11-Feb-23,404-02-913962-21,99.89,99.92,0.11,1720.12,11500.74,11.01,98.76,99.89,0,0,57.05,100,0,0.01,0.02,,,96.23,100,0,-118.52,87.9006,95.27,0,116,19.57,14.81,,,319,323,902,903,53,51,38,38
,12-Feb-23,404-02-913962-21,99.89,100,0.07,2591.2,11990.9,10.86,100,99.89,100,0,57.41,100,0,0.01,0.03,,,100,100,0,-118.53,85.1027,80.53,0,129,23.53,11.86,,,283,283,881,882,41,41,83,83
,13-Feb-23,404-02-913962-21,99.97,99.97,0.03,1546.87,20228.9,11.27,98.78,99.86,100,0,47.72,100,0,0,0.02,,,100,100,0,-118.63,79.3552,86.76,0,154,18.21,11.1,,,242,245,712,713,46,46,75,75
PB_E_F3_OM_KHER62B_B,09-Feb-23,404-02-913962-22,99.9,99.97,0.16,940.54,7729.97,10.16,98.84,99.25,100,0,73.04,100,0.42,0.14,0.21,,,98.42,97.46,0,-117,145.1852,61.91,0,324,32.25,29.57,,,1021,1033,2635,2655,317,312,354,345
,10-Feb-23,404-02-913962-22,100,99.96,0.05,1160.62,6832.87,10.46,98.66,99.95,100,0,74.68,100,0,0.01,0.29,,,98.11,99.69,0,-117.83,115.6911,60.82,0,282,24.55,28.51,,,812,823,2000,2001,159,156,318,317
,11-Feb-23,404-02-913962-22,99.86,99.92,0.09,704.04,2661.66,9.61,99.07,99.15,100,0,92.86,100,0,0.04,0.24,,,96.15,96.45,0,-117.64,140.75,56.41,0,262,39.57,40.9,,,1063,1073,3144,3171,182,175,282,272
,12-Feb-23,404-02-913962-22,99.91,99.94,0.07,679.46,2567.61,9.43,99.02,99.6,100,0,94.24,99.67,0,0.09,0.18,,,94.33,99.41,0,-117.45,131.9919,66.45,0,330,37.66,33.31,,,905,914,2519,2529,282,266,340,338
,13-Feb-23,404-02-913962-22,99.96,99.94,0.1,758.7,2464.51,9.43,99.46,99.51,100,0,93.95,100,0.38,0.06,0.45,,,98.91,99.69,0,-117.73,123.397,64.39,0,248,40.5,32.07,,,735,739,1622,1630,366,362,318,317
PB_E_F3_OM_KHER62C_C,09-Feb-23,404-02-913962-23,99.43,99.92,0.18,658.61,6160.26,8.04,99.82,94.66,100,0,58.43,100,0,0.07,0.37,,,100,100,0,-115.82,46.8037,18.19,0,90,15.94,74.14,,,558,559,461,487,94,94,55,55
,10-Feb-23,404-02-913962-23,99.95,99.95,0.04,1437.85,11171.47,8.99,99.85,98.89,100,0,41.13,100,0,0.04,0.13,,,100,100,0,-117.33,43.7338,18.3,0,93,10.71,69.31,,,653,654,357,361,118,118,53,53
,11-Feb-23,404-02-913962-23,100,99.94,0,643.63,6369.37,8.38,99.88,98.73,100,0,57.42,100,0,0.05,0.07,,,97.73,100,0,-117.08,45.1549,20.1,0,85,13.77,69.14,,,861,862,621,629,132,129,48,48
