"Short name",,"Radio NW Availability","E-UTRAN Average CQI [CDBH]","DL User Throughput_Kbps [CDBH]","UL RSSI [CDBH]","PS Drop Call Rate % [CDBH]","RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","PS handover success rate [LTE Intra System] [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_VoLTE Traffic","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","MV_VoLTE DCR [CBBH]","MV_CSFB Redirection Success Rate","MV_VoLTE ERAB Setup Success Rate","MV_4G Data Volume_GB","4G_ECGI","PS handover success rate [LTE Inter System] [CDBH]","VoLTE InterF HOSR Exec [CBBH]","VoLTE IntraF HOSR Exec [CBBH]","PS Drop Call Rate % [CBBH]","VoLTE SRVCC SR [CBBH]","VoLTE DCR_Nom [CBBH]","CA Data Volume [MB]"
"LAJ053Y","25 Feb 23",99.92,10.21,5957.17,-109.79,0.00,96.40,100.00,98.69,8.77,553.87,24.83,0.15,0.12,0.00,100.00,100.00,1.3350,"404-70-270169-22",91.18,100.00,99.20,0.54,,0.00,0.00
,"26 Feb 23",99.94,9.85,5219.12,-113.45,0.00,100.00,98.78,100.00,8.83,219.99,12.51,0.27,0.03,0.00,100.00,99.42,0.6755,"404-70-270169-22",98.97,,98.94,1.89,,0.00,0.00
,"27 Feb 23",100.00,9.51,8246.89,-109.78,0.00,98.81,100.00,98.31,7.08,1020.21,16.07,0.27,0.11,0.00,100.00,100.00,0.9265,"404-70-270169-22",99.02,98.18,100.00,2.56,,0.00,0.00
,"28 Feb 23",100.00,9.84,6182.11,-108.91,0.90,100.00,98.94,99.44,6.14,253.98,17.36,0.20,0.13,0.00,100.00,100.00,0.8634,"404-70-270169-22",99.38,100.00,98.25,1.77,,0.00,0.00
,"1 Mar 23",100.00,9.35,5063.77,-107.90,0.73,100.00,98.75,98.93,23.43,379.52,66.21,0.26,0.16,0.00,100.00,100.00,3.1681,"404-70-270169-22",98.20,100.00,99.09,0.73,,0.00,0.00
"LAJ053Z","25 Feb 23",99.93,9.11,8675.40,-116.78,0.00,98.91,98.54,,3.97,1995.71,16.76,0.09,0.03,0.00,100.00,100.00,0.9203,"404-70-270169-23",,100.00,99.26,0.00,,0.00,0.00
,"26 Feb 23",99.95,8.98,4510.52,-112.72,0.00,98.55,100.00,100.00,11.71,564.33,12.07,0.13,0.06,0.00,100.00,100.00,0.5447,"404-70-270169-23",,,100.00,0.00,,0.00,0.00
,"27 Feb 23",100.00,9.72,4857.73,-113.43,0.81,100.00,97.70,100.00,11.51,1454.62,30.12,0.16,0.05,0.00,100.00,100.00,1.4120,"404-70-270169-23",98.97,100.00,100.00,0.00,,0.00,0.00
,"28 Feb 23",100.00,9.95,6130.96,-112.74,0.00,98.48,100.00,100.00,10.13,649.38,32.56,0.19,0.05,0.00,100.00,100.00,1.7403,"404-70-270169-23",99.82,100.00,100.00,0.00,,0.00,0.00
,"1 Mar 23",100.00,9.69,5495.33,-111.67,0.00,100.00,99.40,99.29,30.33,1140.41,56.15,0.12,0.03,0.00,100.00,100.00,3.2234,"404-70-270169-23",98.95,100.00,99.25,0.00,,0.00,0.00
