"Short name",,"4G_ECGI","RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","PS Drop Call Rate % [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_UL User Throughput_Kbps [CDBH]","PS handover success rate [LTE Intra System] [CDBH]","PS handover success rate [LTE Inter System] [CDBH]","CSFB Redirection Success Rate [CDBH]","E-UTRAN Average CQI [CDBH]","MV_Average number of used DL PRBs [CDBH]","VoLTE ERAB Setup Success Rate [CBBH]","VoLTE Drop Call Rate [CBBH]]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","VoLTE Intra-LTE Handover Success Ratio [CBBH]","VoLTE Inter-Frequency Handover Success Ratio [CBBH]","UL RSSI [CBBH]","MV_4G Data Volume_GB","VoLTE Traffic","Radio NW Availability"
"PB_E_F3_HS_UBT070A_A","27 Apr 23","404-02-720070-21",99.94,99.87,0.02,9947.49,913.46,100.00,96.24,100.00,9.48,50.60,100.00,0.00,0.08,0.04,,99.25,100.00,-104.38,81.11,30.59,100.00
,"28 Apr 23","404-02-720070-21",100.00,99.90,0.00,5477.67,778.32,100.00,95.45,100.00,8.51,72.78,100.00,0.00,0.05,0.07,,98.90,100.00,-103.76,86.74,37.70,100.00
,"29 Apr 23","404-02-720070-21",100.00,99.84,0.00,7937.47,929.43,99.18,96.00,100.00,9.19,63.83,100.00,0.00,0.10,1.02,,100.00,100.00,-104.71,81.72,29.46,100.00
,"30 Apr 23","404-02-720070-21",99.97,99.93,0.00,4398.48,990.55,100.00,93.71,,8.30,77.35,100.00,0.00,0.02,0.07,,100.00,100.00,-102.85,92.94,31.89,100.00
,"1 May 23","404-02-720070-21",100.00,99.86,0.04,8038.06,1113.54,100.00,95.19,100.00,9.33,59.95,100.00,1.89,0.07,0.05,,100.00,100.00,-102.03,84.86,29.43,100.00
"PB_E_F3_HS_UBT070B_B","27 Apr 23","404-02-720070-22",99.81,100.00,0.08,5884.51,1387.50,100.00,87.13,100.00,7.48,60.25,100.00,1.22,0.05,0.03,,100.00,100.00,-104.55,38.73,18.92,100.00
,"28 Apr 23","404-02-720070-22",99.95,99.94,0.06,6403.77,517.85,100.00,96.15,100.00,7.68,54.08,100.00,0.00,0.05,0.04,,97.80,94.74,-103.33,33.07,25.18,100.00
,"29 Apr 23","404-02-720070-22",99.96,99.64,0.02,5264.66,852.20,98.10,86.64,100.00,7.36,60.80,100.00,0.00,0.03,0.03,,99.30,100.00,-102.14,41.29,24.62,100.00
,"30 Apr 23","404-02-720070-22",100.00,99.84,0.00,5272.40,589.06,100.00,89.20,100.00,7.34,65.75,100.00,0.00,0.09,0.02,,100.00,100.00,-105.62,42.64,26.80,100.00
,"1 May 23","404-02-720070-22",100.00,99.90,0.00,13619.25,1079.43,100.00,98.68,100.00,8.07,27.07,100.00,0.00,0.06,0.11,,97.59,95.12,-107.45,34.63,23.95,100.00
"PB_E_F3_HS_UBT070C_C","27 Apr 23","404-02-720070-23",99.77,99.94,0.12,7171.02,542.69,99.01,97.14,100.00,8.48,47.30,100.00,1.22,0.08,0.06,,95.87,89.41,-108.82,61.43,27.64,100.00
,"28 Apr 23","404-02-720070-23",99.85,99.86,0.07,4972.98,257.57,98.51,87.04,100.00,8.19,81.33,98.70,0.00,0.12,0.07,,83.46,64.80,-110.06,67.82,31.63,100.00
,"29 Apr 23","404-02-720070-23",99.82,99.81,0.09,5266.91,738.47,100.00,96.70,100.00,8.13,53.70,100.00,0.00,0.12,0.05,,99.63,100.00,-106.39,66.11,30.97,100.00
,"30 Apr 23","404-02-720070-23",99.78,99.85,0.08,8394.11,424.77,98.36,96.65,100.00,8.52,46.27,100.00,0.00,0.03,0.04,,97.62,93.33,-107.76,58.14,26.41,100.00
,"1 May 23","404-02-720070-23",99.72,99.83,0.07,4404.95,412.81,100.00,96.20,100.00,8.01,68.08,100.00,0.93,0.20,0.08,,99.43,98.00,-105.95,60.23,33.62,100.00
"PB_E_F3_HS_UGD031A_A","27 Apr 23","404-02-700231-21",99.98,99.76,0.08,4217.26,1132.88,99.40,96.75,100.00,7.62,84.67,100.00,0.00,0.02,0.06,,99.12,98.59,-100.09,103.89,83.49,100.00
,"28 Apr 23","404-02-700231-21",99.96,99.88,0.06,3808.88,619.52,99.18,95.98,100.00,7.57,83.50,99.79,0.00,0.01,0.05,,99.21,98.72,-101.07,106.82,92.57,100.00
,"29 Apr 23","404-02-700231-21",99.94,99.78,0.17,2145.47,669.76,98.54,95.48,100.00,7.30,89.40,100.00,0.00,0.01,0.04,,97.36,97.40,-99.92,107.64,94.98,100.00
,"30 Apr 23","404-02-700231-21",99.92,99.79,0.05,5658.53,633.20,99.32,97.27,100.00,8.19,73.10,100.00,0.00,0.01,0.07,,100.00,100.00,-100.08,76.96,59.42,100.00
,"1 May 23","404-02-700231-21",99.98,99.72,0.03,6227.00,549.91,99.57,97.88,100.00,8.49,77.75,100.00,0.00,0.03,0.04,,99.11,100.00,-100.02,94.06,80.47,100.00
"PB_E_F3_HS_UGD031B_B","27 Apr 23","404-02-700231-22",99.98,99.83,0.11,2093.60,725.46,99.01,84.29,100.00,5.61,92.72,100.00,0.34,0.06,0.05,,79.39,76.38,-99.60,68.36,51.07,100.00
,"28 Apr 23","404-02-700231-22",100.00,99.75,0.23,3893.28,951.02,98.51,87.55,100.00,6.34,79.17,100.00,0.00,0.01,0.04,,95.28,90.38,-97.54,65.66,44.09,100.00
,"29 Apr 23","404-02-700231-22",99.98,99.86,0.06,2374.16,759.91,98.70,90.15,100.00,5.59,85.58,100.00,0.00,0.01,0.04,,96.74,96.15,-99.62,67.16,52.73,100.00
,"30 Apr 23","404-02-700231-22",99.88,99.81,0.13,7913.48,1243.86,99.01,87.74,100.00,6.81,40.60,100.00,0.00,0.07,0.04,,84.85,78.57,-99.93,41.00,26.77,100.00
,"1 May 23","404-02-700231-22",99.89,99.90,0.11,6614.43,919.28,99.32,81.56,100.00,6.55,54.73,100.00,0.00,0.02,0.04,,93.68,93.88,-98.60,45.40,39.44,100.00
"PB_E_F3_HS_UGD031C_C","27 Apr 23","404-02-700231-23",99.98,99.96,0.02,2168.29,640.68,95.31,75.74,100.00,8.04,92.95,100.00,0.00,0.02,0.03,,95.85,92.20,-103.50,142.17,91.33,100.00
,"28 Apr 23","404-02-700231-23",99.98,99.78,0.07,1316.10,631.17,96.46,85.59,100.00,7.37,97.50,100.00,0.88,0.05,0.03,,88.89,83.83,-101.32,135.06,89.78,100.00
,"29 Apr 23","404-02-700231-23",99.97,99.91,0.10,1253.72,1422.73,97.48,86.96,100.00,8.11,97.70,100.00,0.38,0.06,0.03,,95.41,94.00,-100.24,139.72,82.70,100.00
,"30 Apr 23","404-02-700231-23",100.00,99.97,0.09,1543.51,846.21,97.04,79.63,100.00,8.38,96.80,100.00,0.00,0.03,0.04,,86.70,80.14,-101.50,153.93,88.75,100.00
,"1 May 23","404-02-700231-23",99.98,99.97,0.00,2798.67,995.16,100.00,83.49,100.00,8.55,91.62,99.69,0.00,0.05,0.08,,87.71,83.24,-103.15,155.18,81.12,100.00
"PB_E_F3_HS_ULD209A_A","27 Apr 23","404-02-700209-21",99.95,99.85,0.00,9350.82,832.13,98.43,98.82,100.00,7.62,31.10,100.00,2.16,0.11,0.04,,100.00,100.00,-97.12,12.20,20.07,66.67
,"28 Apr 23","404-02-700209-21",100.00,96.26,0.06,5793.76,758.10,99.56,93.65,86.67,7.64,32.52,100.00,0.56,0.23,0.06,,94.87,90.00,-96.69,19.77,31.59,90.44
,"29 Apr 23","404-02-700209-21",99.89,94.63,0.28,6434.69,671.05,100.00,99.14,100.00,7.87,33.98,98.31,1.57,0.12,0.05,,96.72,97.44,-97.14,21.49,33.04,97.28
,"30 Apr 23","404-02-700209-21",99.57,98.56,0.11,6681.24,915.87,98.89,100.00,100.00,7.34,19.98,100.00,1.41,0.41,0.02,,98.31,100.00,-100.59,14.68,25.23,100.00
,"1 May 23","404-02-700209-21",99.94,82.62,0.14,4253.57,753.06,100.00,83.33,100.00,7.21,27.50,95.71,0.00,0.22,0.09,,100.00,100.00,-96.89,16.54,33.38,100.00
"PB_E_F3_HS_ULD209B_B","27 Apr 23","404-02-700209-22",99.35,99.26,0.04,8199.70,973.21,98.87,98.67,100.00,9.27,52.27,97.35,0.53,0.08,0.03,,98.11,95.92,-96.25,49.88,45.38,66.67
,"28 Apr 23","404-02-700209-22",99.76,91.02,0.18,7464.10,915.74,100.00,96.43,100.00,9.77,42.25,98.45,0.40,0.07,0.03,,96.15,90.48,-96.73,68.48,104.98,90.44
,"29 Apr 23","404-02-700209-22",99.77,95.01,0.08,7493.65,809.21,99.17,95.75,93.75,9.70,54.67,100.00,0.44,0.05,0.03,,92.94,89.29,-97.04,76.52,123.17,97.28
,"30 Apr 23","404-02-700209-22",99.98,93.36,0.22,3728.19,688.05,99.08,91.43,100.00,8.92,57.48,96.30,0.27,0.23,0.11,,100.00,100.00,-97.72,64.13,96.79,100.00
,"1 May 23","404-02-700209-22",99.87,89.37,0.07,4709.12,877.20,100.00,96.00,100.00,9.24,48.48,96.73,0.56,0.14,0.06,,95.83,88.89,-97.38,60.52,98.15,100.00
"PB_E_F3_HS_ULD209C_C","27 Apr 23","404-02-700209-23",99.27,97.38,0.29,2484.60,592.86,98.96,96.64,100.00,7.63,76.28,96.54,1.82,0.41,0.15,,98.04,100.00,-99.25,46.08,56.32,66.67
,"28 Apr 23","404-02-700209-23",99.65,97.13,0.16,7048.88,1475.29,100.00,97.44,100.00,9.21,49.50,99.37,1.60,0.09,0.05,,96.43,95.24,-96.74,70.05,83.42,90.44
,"29 Apr 23","404-02-700209-23",99.72,94.61,0.55,4738.42,921.95,97.87,94.17,96.15,7.94,60.67,97.32,1.90,0.23,0.14,,97.78,100.00,-98.87,72.46,92.25,97.28
,"30 Apr 23","404-02-700209-23",99.82,97.74,0.15,2942.01,578.38,97.89,98.12,100.00,7.67,64.65,95.27,2.90,0.57,0.12,,98.70,96.97,-98.63,63.00,97.54,100.00
,"1 May 23","404-02-700209-23",99.74,87.47,0.48,1111.25,549.49,98.20,88.41,98.28,7.11,84.15,98.27,0.20,0.48,0.16,,94.12,88.89,-98.08,64.49,98.76,100.00
"PB_E_F3_HS_ULS019A_A","27 Apr 23","404-02-707019-21",,,,721.46,982.81,,,,,98.87,,0.00,0.02,0.69,,,,,146.16,,
,"28 Apr 23","404-02-707019-21",,,,852.41,992.31,,,,,97.78,,0.00,0.05,0.54,,,,,156.63,,
,"29 Apr 23","404-02-707019-21",,,,1376.85,1045.36,,,,,98.47,,0.00,0.02,0.31,,,,,125.67,,
,"30 Apr 23","404-02-707019-21",,,,936.41,1172.06,,,,,98.74,,0.64,0.07,0.56,,,,,201.95,,
,"1 May 23","404-02-707019-21",,,,1792.13,961.27,,,,,95.34,,0.28,0.13,1.03,,,,,192.99,,
"PB_E_F3_HS_ULS019B_B","27 Apr 23","404-02-707019-22",,,,847.41,895.39,,,,,98.86,,0.00,0.01,0.32,,,,,111.78,,
,"28 Apr 23","404-02-707019-22",,,,2252.31,1436.36,,,,,85.48,,0.00,0.04,0.10,,,,,130.02,,
,"29 Apr 23","404-02-707019-22",,,,865.03,1082.97,,,,,99.03,,0.00,0.04,0.38,,,,,106.20,,
,"30 Apr 23","404-02-707019-22",,,,1876.52,968.82,,,,,94.66,,0.31,0.09,0.69,,,,,151.58,,
,"1 May 23","404-02-707019-22",,,,923.44,1368.82,,,,,96.81,,0.27,0.04,0.68,,,,,141.78,,
"PB_E_F3_HS_UPK046A_A","27 Apr 23","404-02-704046-21",99.84,99.86,0.01,5964.67,1013.87,100.00,100.00,100.00,9.00,82.00,100.00,0.00,0.00,0.04,,100.00,,-98.24,67.47,38.31,71.12
,"28 Apr 23","404-02-704046-21",100.00,99.86,0.01,7371.77,831.89,100.00,100.00,100.00,9.08,70.75,100.00,0.00,0.01,0.03,,100.00,,-97.84,74.10,44.96,93.77
,"29 Apr 23","404-02-704046-21",99.93,100.00,0.07,7075.16,889.41,100.00,100.00,100.00,9.57,70.50,100.00,0.00,0.00,0.04,,100.00,,-97.27,80.59,42.37,100.00
,"30 Apr 23","404-02-704046-21",99.95,99.94,0.08,7875.32,1019.78,100.00,94.51,100.00,9.54,71.33,100.00,0.00,0.02,0.05,,100.00,,-96.49,103.12,40.67,100.00
,"1 May 23","404-02-704046-21",99.89,100.00,0.00,8178.88,865.37,100.00,100.00,100.00,9.22,74.55,100.00,0.00,0.02,0.03,,100.00,,-98.14,94.81,40.04,100.00
"PB_E_F3_HS_UPK046B_B","27 Apr 23","404-02-704046-22",99.58,99.69,0.23,1597.79,537.06,97.87,95.14,100.00,9.23,97.88,99.65,0.48,0.10,0.05,,96.33,100.00,-100.98,90.11,73.27,71.12
