"Short name",,"MV_RRC Setup Success Rate [CDBH]","MV_ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","MV_E-UTRAN Average CQI [CDBH]","UL RSSI PUCCH","MV_VoLTE DCR [CBBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","MV_4G Data Volume_GB","MV_VoLTE Traffic","MV_Average number of used DL PRBs [CDBH]"
"CH_ZQ_T1_IM_INJAM8D_D","27 Mar 23",100.00,99.94,0.00,7180.42,833.25,100.00,0.00,8.55,,0.00,100.00,100.00,,,0.22,0.06,2.7910,0.28,17.97
,"28 Mar 23",100.00,100.00,0.00,9453.59,746.35,99.71,0.00,9.13,,,96.67,100.00,100.00,,0.00,0.00,4.3026,0.07,17.70
,"29 Mar 23",99.81,100.00,0.08,6952.92,426.69,100.00,0.00,8.63,,0.00,97.76,100.00,100.00,,0.02,0.00,4.0004,0.13,34.86
,"30 Mar 23",100.00,100.00,0.00,7430.60,695.79,100.00,0.00,8.67,,0.00,98.03,100.00,100.00,,0.03,0.15,5.1593,0.11,26.58
,"31 Mar 23",100.00,100.00,0.00,7407.74,2091.09,100.00,0.00,9.07,,0.00,98.63,100.00,100.00,,0.00,0.00,5.5396,0.10,29.99
"CH_ZQ_T1_OM_ANNA25A_A","27 Mar 23",100.00,100.00,0.05,5180.75,766.67,99.83,0.00,8.22,,0.00,98.99,100.00,100.00,,0.08,0.07,7.4565,0.72,33.97
,"28 Mar 23",100.00,100.00,0.02,4344.33,928.64,99.60,0.00,7.42,,0.00,99.47,100.00,100.00,100.00,0.11,0.17,7.3776,0.79,33.94
,"29 Mar 23",100.00,99.88,0.03,11764.87,369.56,99.62,0.00,8.36,,0.00,98.96,100.00,100.00,,0.10,1.02,7.2195,0.92,21.72
,"30 Mar 23",99.97,99.92,0.06,4675.08,1107.78,99.62,0.00,7.56,,0.00,99.19,100.00,100.00,100.00,0.03,0.02,7.8378,1.10,37.76
,"31 Mar 23",99.93,99.96,0.08,4922.02,718.84,99.87,0.00,7.65,,0.00,99.50,100.00,100.00,100.00,0.16,2.74,7.2065,0.59,44.60
"CH_ZQ_T1_OM_ANNA25B_B","27 Mar 23",99.79,100.00,0.27,15750.59,890.47,100.00,0.00,10.73,,0.00,98.69,100.00,100.00,,0.00,0.01,18.2354,1.05,31.67
,"28 Mar 23",99.95,99.92,0.00,6064.64,638.17,99.71,0.00,8.68,,0.00,99.06,100.00,100.00,100.00,0.01,0.01,20.2193,0.77,59.41
,"29 Mar 23",99.97,99.93,0.04,5980.91,758.54,100.00,0.00,8.54,,0.00,98.86,100.00,100.00,100.00,0.00,0.09,16.8736,1.24,47.82
,"30 Mar 23",99.98,99.99,0.03,7999.54,900.69,99.89,0.00,8.75,,0.00,100.00,100.00,100.00,,0.53,0.00,22.0576,0.69,51.87
,"31 Mar 23",99.87,99.98,0.03,7672.25,834.01,100.00,0.00,9.13,,0.00,99.76,100.00,100.00,100.00,0.01,0.01,18.4549,1.42,36.15
"CH_ZQ_T1_OM_ANNA25C_C","27 Mar 23",100.00,100.00,0.31,9921.45,447.25,99.57,0.00,8.31,,0.00,100.00,100.00,,,0.00,0.00,7.9860,0.32,19.48
,"28 Mar 23",99.75,99.91,0.00,12197.87,305.11,100.00,0.00,8.30,,0.00,99.54,100.00,100.00,,0.01,0.01,11.2141,0.63,36.82
,"29 Mar 23",99.82,100.00,0.00,9755.37,772.05,100.00,0.00,8.02,,0.00,99.30,100.00,100.00,,0.01,0.79,7.8469,0.38,25.60
,"30 Mar 23",100.00,99.83,0.00,8160.40,886.14,100.00,,9.27,,0.00,99.55,100.00,100.00,,0.02,0.00,10.5782,2.53,31.76
,"31 Mar 23",100.00,100.00,0.03,7919.66,1878.87,100.00,0.00,7.95,,0.00,100.00,100.00,100.00,,0.02,0.00,7.3893,0.46,23.00
"CH_ZQ_T1_OM_ANNA25D_D","27 Mar 23",99.97,99.95,0.11,8279.83,600.49,100.00,0.00,9.55,,0.00,99.48,100.00,100.00,100.00,0.06,0.17,23.1824,0.98,45.56
,"28 Mar 23",99.98,99.98,0.05,7256.06,832.71,100.00,0.00,9.41,,0.00,99.57,100.00,100.00,,0.07,0.50,25.1171,1.12,47.26
,"29 Mar 23",99.97,99.95,0.04,7414.65,757.35,99.83,0.00,9.57,,0.00,99.04,100.00,100.00,100.00,0.00,0.03,23.9928,1.78,61.25
,"30 Mar 23",99.92,99.88,0.10,9970.80,741.10,99.70,0.00,9.50,,0.00,99.49,100.00,,100.00,0.05,1.79,30.1803,1.05,50.16
,"31 Mar 23",99.98,99.96,0.08,8374.67,831.43,100.00,0.00,9.56,,0.00,99.17,100.00,100.00,,0.12,0.71,25.1075,0.87,49.34
